accuracy	0.869310	0.866909	0.867635	0.869057	0.866625	0.866024	0.863181	0.867446	0.867130	0.865487	0.862233	0.864382	0.863750	0.867351	0.863150	0.862992	0.865708	0.866277	0.868330	0.867162	0.866007
recall	0.786705	0.793497	0.786815	0.783526	0.776425	0.782650	0.784197	0.796359	0.798408	0.778601	0.764709	0.781041	0.768326	0.786686	0.763789	0.768635	0.789689	0.786284	0.791713	0.795766	0.783191
precision	0.843002	0.833652	0.838100	0.846941	0.847201	0.840171	0.831519	0.832447	0.832486	0.842450	0.843173	0.835562	0.844286	0.839632	0.848535	0.843581	0.834001	0.837468	0.839239	0.833701	0.839357
f1score	0.808858	0.810339	0.807378	0.807707	0.802461	0.805003	0.803336	0.811779	0.813072	0.802723	0.792417	0.802470	0.795535	0.807723	0.792961	0.795514	0.807909	0.806737	0.811050	0.811824	0.804840
mcc	0.627186	0.625862	0.622806	0.627269	0.619597	0.620159	0.613894	0.627770	0.629973	0.617760	0.602797	0.614188	0.607884	0.624076	0.606430	0.607612	0.622115	0.621649	0.629159	0.628322	0.619825
srp	0.191249	0.206671	0.194058	0.193166	0.181825	0.190167	0.197419	0.209241	0.214732	0.182441	0.170563	0.190881	0.175015	0.193738	0.168447	0.176890	0.200162	0.196360	0.203069	0.208773	0.192243
sru	0.194823	0.204841	0.202506	0.152485	0.180549	0.203800	0.215968	0.211382	0.204510	0.216000	0.190561	0.206353	0.179968	0.206256	0.179267	0.180176	0.221619	0.200897	0.188072	0.212480	0.197626
fprp	0.047306	0.057912	0.050691	0.048237	0.042536	0.047142	0.053606	0.059520	0.062229	0.041855	0.038241	0.049452	0.040519	0.048591	0.036278	0.040946	0.053638	0.050973	0.054729	0.057672	0.049104
fpru	0.069249	0.078520	0.074784	0.040096	0.053850	0.075517	0.086991	0.084025	0.078158	0.084148	0.067018	0.079491	0.058414	0.079893	0.055167	0.060315	0.089882	0.076677	0.062699	0.087554	0.072122
tprp	0.600481	0.625421	0.602484	0.599972	0.573711	0.590624	0.599777	0.632378	0.640301	0.575484	0.544047	0.590864	0.555072	0.601090	0.540325	0.556794	0.611406	0.604339	0.618428	0.631037	0.594702
tpru	0.859551	0.878014	0.892128	0.757143	0.826923	0.885714	0.908571	0.900145	0.879828	0.918958	0.857550	0.864011	0.836469	0.897361	0.836182	0.838710	0.915014	0.863636	0.849930	0.895434	0.868064
spd	0.003574	0.001830	0.008447	0.040681	0.001276	0.013633	0.018549	0.002141	0.010222	0.033559	0.019998	0.015471	0.004954	0.012518	0.010819	0.003286	0.021458	0.004537	0.014996	0.003707	0.012283
aod	0.140506	0.136601	0.156868	0.074515	0.132263	0.161733	0.171090	0.146136	0.127729	0.192883	0.171140	0.151593	0.149646	0.163786	0.157373	0.150642	0.169926	0.142501	0.119736	0.147140	0.148190
eod	0.259070	0.252593	0.289644	0.157171	0.253212	0.295091	0.308795	0.267767	0.239528	0.343475	0.313503	0.273147	0.281397	0.296271	0.295857	0.281915	0.303608	0.259298	0.231501	0.264398	0.273362
