accuracy	0.742586	0.730769	0.732391	0.767377	0.731001	0.753475	0.751158	0.741659	0.727757	0.750463	0.748378	0.734013	0.711538	0.756487	0.724977	0.740732	0.717794	0.742586	0.748842	0.746525	0.740025
recall	0.730355	0.728012	0.724230	0.763098	0.717530	0.747009	0.744378	0.739560	0.716432	0.745549	0.745487	0.731678	0.696581	0.751080	0.713028	0.729535	0.699018	0.734442	0.742840	0.744036	0.732194
precision	0.748734	0.727925	0.735463	0.766178	0.741715	0.753333	0.751810	0.740562	0.734163	0.749989	0.746697	0.731837	0.729745	0.757363	0.735773	0.747212	0.745235	0.745624	0.747384	0.744169	0.744045
f1score	0.732426	0.727968	0.725517	0.764161	0.718457	0.748617	0.746018	0.739939	0.717588	0.746745	0.745973	0.731755	0.694510	0.752453	0.713245	0.731243	0.696066	0.736013	0.744222	0.744101	0.732851
mcc	0.478736	0.455937	0.459556	0.529267	0.458608	0.500302	0.496132	0.480121	0.450246	0.495518	0.492182	0.463515	0.425034	0.508404	0.448224	0.476420	0.441843	0.479936	0.490203	0.488205	0.475919
srp	0.673401	0.579740	0.645010	0.601519	0.690007	0.625939	0.625954	0.576422	0.673220	0.610766	0.588235	0.580297	0.722148	0.619146	0.688995	0.668269	0.743572	0.648148	0.616521	0.579878	0.637859
sru	0.629106	0.535201	0.601488	0.555091	0.650967	0.574184	0.582261	0.532027	0.629356	0.562609	0.537842	0.529287	0.679052	0.571578	0.645636	0.627273	0.709302	0.597621	0.567032	0.533568	0.592524
fprp	0.398261	0.304270	0.377327	0.284468	0.424138	0.316163	0.333916	0.298305	0.411559	0.316344	0.285464	0.299296	0.483536	0.320624	0.430314	0.394415	0.501701	0.354093	0.311734	0.277972	0.356195
fpru	0.387546	0.296727	0.372026	0.282828	0.427326	0.323508	0.328777	0.288028	0.406902	0.310811	0.289886	0.292264	0.479628	0.314631	0.429081	0.388286	0.504380	0.362411	0.318978	0.283539	0.354378
tprp	0.847253	0.751947	0.820399	0.809143	0.863075	0.819290	0.818182	0.765247	0.838496	0.801136	0.782267	0.754923	0.872946	0.816000	0.856018	0.845980	0.903371	0.832589	0.806100	0.771969	0.818817
tpru	0.854025	0.756757	0.823120	0.809717	0.860449	0.813014	0.819529	0.773138	0.842759	0.804928	0.777931	0.759388	0.874562	0.820055	0.855172	0.851049	0.900545	0.826657	0.800275	0.768759	0.819591
spd	0.044294	0.044539	0.043522	0.046429	0.039040	0.051754	0.043693	0.044396	0.043864	0.048157	0.050394	0.051010	0.043096	0.047568	0.043359	0.040997	0.034270	0.050527	0.049489	0.046310	0.045335
aod	0.001972	0.001367	0.001290	0.000533	0.000281	0.000534	0.001896	0.001193	0.000197	0.000871	0.000043	0.001284	0.001146	0.000969	0.001039	0.000530	0.000073	0.001193	0.000709	0.001178	0.000915
eod	0.006772	0.004810	0.002721	0.000574	0.002626	0.006277	0.001347	0.007891	0.004263	0.003792	0.004336	0.004465	0.001616	0.004055	0.000846	0.005070	0.002826	0.005932	0.005826	0.003210	0.003963
