accuracy	0.826505	0.821134	0.827357	0.822019	0.823851	0.820881	0.821576	0.821134	0.821829	0.821955	0.822271	0.821166	0.822461	0.822240	0.818480	0.819744	0.820250	0.821545	0.821450	0.822524	0.822019
recall	0.738018	0.731679	0.739718	0.729940	0.733284	0.733004	0.731776	0.731806	0.732659	0.734897	0.730477	0.726657	0.736572	0.728808	0.725590	0.729556	0.727331	0.731650	0.732436	0.735083	0.732047
precision	0.770865	0.763885	0.771624	0.766345	0.769591	0.764072	0.765535	0.763082	0.766338	0.765902	0.765629	0.765005	0.764431	0.767039	0.760802	0.762542	0.764225	0.765149	0.765231	0.766509	0.765690
f1score	0.751573	0.744895	0.752979	0.744514	0.747874	0.745833	0.745501	0.744719	0.746361	0.747725	0.744673	0.741802	0.748344	0.743947	0.739695	0.742989	0.742001	0.745292	0.745846	0.748066	0.745731
mcc	0.507822	0.494517	0.510346	0.494948	0.501562	0.496105	0.496164	0.493898	0.497859	0.499839	0.494859	0.490164	0.500228	0.494371	0.485116	0.490991	0.490169	0.495668	0.496586	0.500606	0.496591
srp	0.235766	0.235962	0.236554	0.231507	0.232875	0.238131	0.235037	0.236558	0.236048	0.238874	0.231647	0.227810	0.240834	0.229326	0.231910	0.235603	0.230654	0.235360	0.235804	0.238762	0.234751
sru	0.141295	0.143038	0.142678	0.139194	0.140402	0.145202	0.143270	0.142451	0.142899	0.145766	0.139688	0.138118	0.147961	0.137247	0.139938	0.142622	0.139054	0.141818	0.144849	0.143995	0.142074
fprp	0.087871	0.091471	0.088676	0.087967	0.086525	0.091965	0.089844	0.092712	0.089415	0.092115	0.087985	0.086246	0.093638	0.085496	0.090878	0.092107	0.088143	0.090270	0.090488	0.091064	0.089744
fpru	0.087908	0.090809	0.087259	0.086899	0.087013	0.092774	0.089763	0.090618	0.090304	0.091210	0.088960	0.086947	0.094309	0.087009	0.089247	0.090144	0.087993	0.089617	0.090849	0.091227	0.089543
tprp	0.563499	0.554491	0.566035	0.546679	0.553227	0.559421	0.552344	0.554525	0.555755	0.561183	0.550375	0.540907	0.567894	0.545006	0.540896	0.549515	0.542785	0.553214	0.555689	0.561354	0.553740
tpru	0.566349	0.555074	0.576170	0.551813	0.553586	0.551754	0.559122	0.561497	0.551228	0.563713	0.543058	0.533784	0.562235	0.536056	0.544580	0.555938	0.542535	0.553926	0.554447	0.560933	0.553890
spd	0.094471	0.092924	0.093876	0.092314	0.092473	0.092929	0.091767	0.094107	0.093149	0.093108	0.091959	0.089692	0.092872	0.092078	0.091972	0.092981	0.091600	0.093542	0.090955	0.094767	0.092677
aod	0.001443	0.000040	0.004359	0.002034	0.000424	0.003429	0.003349	0.002440	0.001819	0.000812	0.003171	0.003211	0.002494	0.003719	0.001027	0.002230	0.000200	0.000030	0.000440	0.000129	0.001840
eod	0.002849	0.000583	0.010135	0.005135	0.000360	0.007667	0.006778	0.006972	0.004527	0.002530	0.007317	0.007123	0.005658	0.008950	0.003685	0.006423	0.000250	0.000712	0.001242	0.000420	0.004466
