accuracy	0.762857	0.741429	0.735714	0.741429	0.764286	0.748571	0.772857	0.724286	0.737143	0.731429	0.745714	0.735714	0.720000	0.698571	0.722857	0.742857	0.777143	0.691429	0.757143	0.735714	0.739357
recall	0.674916	0.667330	0.649732	0.681347	0.669361	0.670448	0.656664	0.635243	0.648980	0.674331	0.657740	0.673019	0.631079	0.637173	0.660144	0.643625	0.654139	0.634791	0.659808	0.661688	0.657078
precision	0.727218	0.692386	0.670845	0.693877	0.715647	0.707292	0.729157	0.671818	0.682318	0.684293	0.686678	0.676745	0.650005	0.646092	0.663025	0.689515	0.776912	0.632630	0.706250	0.685650	0.689418
f1score	0.688502	0.675773	0.657203	0.686503	0.682671	0.681090	0.672869	0.643640	0.658450	0.678510	0.667201	0.674779	0.637463	0.640667	0.661512	0.654495	0.670684	0.633646	0.672415	0.669669	0.665387
mcc	0.398719	0.358842	0.319882	0.375015	0.382216	0.375939	0.378949	0.304876	0.329616	0.358486	0.343200	0.349744	0.280445	0.283125	0.323156	0.329964	0.413197	0.267412	0.363100	0.346510	0.344120
srp	0.801406	0.765432	0.777379	0.738516	0.805604	0.781139	0.841071	0.792115	0.790210	0.725352	0.784071	0.733449	0.772329	0.726148	0.729537	0.812950	0.871199	0.706406	0.809524	0.764388	0.776411
sru	0.763359	0.714286	0.720280	0.671642	0.759690	0.731884	0.807143	0.760563	0.734375	0.681818	0.740741	0.666667	0.736434	0.679104	0.666667	0.763889	0.843972	0.644928	0.759398	0.715278	0.728106
fprp	0.549383	0.525316	0.553191	0.467532	0.555556	0.540373	0.606897	0.600000	0.576159	0.469136	0.533784	0.476190	0.582781	0.537037	0.489510	0.591837	0.647436	0.513699	0.576159	0.532051	0.546201
fpru	0.557692	0.517857	0.550000	0.491803	0.560000	0.526316	0.615385	0.596491	0.559322	0.500000	0.600000	0.472727	0.568627	0.508475	0.491803	0.622951	0.653846	0.483871	0.566038	0.525424	0.548431
tprp	0.901720	0.858191	0.853365	0.839806	0.897129	0.877805	0.922892	0.869347	0.866983	0.827586	0.872902	0.822014	0.840476	0.801980	0.811456	0.892421	0.957816	0.774038	0.894231	0.855000	0.861858
tpru	0.898734	0.857143	0.843373	0.821918	0.886076	0.876543	0.920455	0.870588	0.884058	0.815789	0.837500	0.816901	0.846154	0.813333	0.805195	0.867470	0.955056	0.776316	0.887500	0.847059	0.856358
spd	0.038047	0.051146	0.057099	0.066874	0.045914	0.049255	0.033929	0.031551	0.055835	0.043534	0.043330	0.066783	0.035895	0.047044	0.062871	0.049061	0.027227	0.061478	0.050125	0.049111	0.048305
aod	0.002662	0.004254	0.006592	0.003191	0.003304	0.007660	0.003026	0.001134	0.000119	0.009534	0.015407	0.004288	0.004238	0.008605	0.001984	0.003082	0.001825	0.013775	0.008426	0.007284	0.005519
eod	0.002986	0.001048	0.009992	0.017888	0.011053	0.001262	0.002437	0.001242	0.017075	0.011797	0.035402	0.005113	0.005678	0.011353	0.006261	0.024951	0.002760	0.002277	0.006731	0.007941	0.009262
