accuracy	0.848118	0.849562	0.850375	0.850375	0.851638	0.848840	0.850375	0.851367	0.848299	0.850104	0.847667	0.850735	0.847126	0.851638	0.845772	0.847757	0.847306	0.847667	0.851457	0.851638	0.849391
recall	0.650897	0.642917	0.644796	0.642807	0.652190	0.653256	0.646888	0.653941	0.643019	0.650498	0.646699	0.643657	0.645561	0.645987	0.643319	0.643526	0.638125	0.643920	0.651185	0.646472	0.646483
precision	0.741947	0.744007	0.748262	0.743793	0.752543	0.742094	0.753123	0.746991	0.732501	0.746103	0.740585	0.746301	0.733918	0.747988	0.739080	0.740025	0.730514	0.743629	0.755464	0.748789	0.743883
f1score	0.677846	0.670760	0.673203	0.670714	0.680947	0.680089	0.675833	0.681719	0.669150	0.678286	0.673703	0.671893	0.671616	0.674449	0.670109	0.670635	0.664158	0.671474	0.680377	0.675018	0.674099
mcc	0.382147	0.373485	0.379196	0.373178	0.392094	0.385240	0.385647	0.389985	0.364703	0.384905	0.375731	0.376206	0.369049	0.380542	0.370215	0.371214	0.356874	0.374503	0.393051	0.381788	0.377988
srp	0.125819	0.115132	0.116232	0.114729	0.122506	0.127065	0.116397	0.124467	0.119137	0.122236	0.122068	0.115375	0.122637	0.116442	0.121560	0.119340	0.116825	0.118635	0.119524	0.116975	0.119655
sru	0.084610	0.078552	0.077818	0.078042	0.080602	0.086202	0.078412	0.083568	0.082041	0.082564	0.082490	0.077386	0.084275	0.077695	0.081319	0.080040	0.079011	0.079966	0.079921	0.078011	0.080626
fprp	0.048805	0.041101	0.044293	0.043493	0.039917	0.048304	0.039196	0.045946	0.050502	0.044521	0.044944	0.040628	0.048730	0.041555	0.045360	0.045899	0.048225	0.043388	0.040712	0.043330	0.044442
fpru	0.046090	0.043290	0.040398	0.041913	0.043942	0.047398	0.041506	0.045184	0.045491	0.044807	0.046265	0.042339	0.047680	0.042049	0.045549	0.044144	0.044987	0.043687	0.041600	0.041081	0.043970
tprp	0.343629	0.331349	0.324458	0.326923	0.353741	0.353346	0.338900	0.351220	0.324975	0.345813	0.342412	0.333002	0.338000	0.335953	0.333977	0.329787	0.317647	0.332031	0.344055	0.330693	0.336596
tpru	0.354730	0.325112	0.338926	0.329255	0.339326	0.355161	0.329682	0.355758	0.342497	0.345596	0.335578	0.324690	0.340402	0.331422	0.330000	0.334094	0.327850	0.330752	0.343267	0.339367	0.337673
spd	0.041209	0.036579	0.038414	0.036687	0.041904	0.040863	0.037985	0.040899	0.037096	0.039673	0.039578	0.037989	0.038362	0.038747	0.040241	0.039300	0.037814	0.038669	0.039602	0.038964	0.039029
aod	0.004192	0.002024	0.005287	0.000376	0.005195	0.000454	0.003454	0.001888	0.006256	0.000035	0.002757	0.003301	0.000676	0.002018	0.001894	0.001275	0.003482	0.000490	0.000050	0.003212	0.002416
eod	0.011100	0.006237	0.014469	0.002332	0.014416	0.001814	0.009217	0.004539	0.017522	0.000216	0.006834	0.008312	0.002402	0.004531	0.003977	0.004306	0.010203	0.001279	0.000787	0.008673	0.006658
