accuracy	0.871268	0.861538	0.871205	0.868678	0.864603	0.870415	0.865740	0.871142	0.863244	0.867256	0.865835	0.864761	0.866277	0.866625	0.866530	0.869594	0.867825	0.866877	0.867477	0.866814	0.867185
recall	0.804587	0.772191	0.799036	0.784514	0.797000	0.801140	0.802297	0.804456	0.763369	0.787715	0.776532	0.772831	0.791835	0.806143	0.788348	0.808407	0.817169	0.781516	0.811061	0.779530	0.792484
precision	0.835764	0.835299	0.838605	0.845029	0.827234	0.838055	0.826922	0.836171	0.850867	0.839829	0.842762	0.843479	0.832514	0.826433	0.836472	0.831933	0.824825	0.842824	0.826611	0.844890	0.836326
f1score	0.818241	0.795959	0.815772	0.807854	0.810204	0.816886	0.813330	0.818307	0.793116	0.808473	0.801365	0.798764	0.808855	0.815417	0.807841	0.819026	0.820869	0.805006	0.818319	0.804136	0.809887
mcc	0.639591	0.604204	0.636412	0.626628	0.623502	0.638129	0.628737	0.639841	0.607973	0.625377	0.615742	0.612247	0.623022	0.632251	0.622964	0.639907	0.641948	0.621323	0.637482	0.620990	0.626913
srp	0.226466	0.197036	0.217458	0.201111	0.228530	0.222369	0.236395	0.227715	0.177517	0.207478	0.193977	0.190660	0.218713	0.239731	0.210779	0.236906	0.254985	0.198970	0.244610	0.197036	0.216422
sru	0.138362	0.116091	0.134852	0.119794	0.140702	0.139561	0.132765	0.130533	0.115671	0.132571	0.121104	0.117503	0.122089	0.138713	0.130376	0.138858	0.145635	0.126457	0.150994	0.116602	0.130462
fprp	0.070388	0.055470	0.065755	0.053624	0.074513	0.066677	0.079711	0.070757	0.041619	0.059374	0.051952	0.050449	0.067565	0.081599	0.062055	0.077153	0.090592	0.053167	0.084290	0.052094	0.065440
fpru	0.031308	0.026617	0.023488	0.022305	0.036887	0.031174	0.028731	0.027295	0.016863	0.024159	0.022164	0.018813	0.027063	0.033244	0.027449	0.032293	0.036868	0.027689	0.036929	0.019397	0.027537
tprp	0.670202	0.595539	0.649633	0.615094	0.661855	0.658295	0.674766	0.671304	0.556747	0.621539	0.594849	0.587199	0.645827	0.683527	0.629236	0.683345	0.716382	0.608118	0.693512	0.602088	0.640953
tpru	0.705056	0.592908	0.736152	0.644286	0.670330	0.715714	0.691429	0.688857	0.643777	0.710564	0.655271	0.629121	0.635311	0.715543	0.675214	0.724340	0.718130	0.653409	0.753156	0.648012	0.680329
spd	0.088105	0.080945	0.082606	0.081317	0.087828	0.082808	0.103630	0.097182	0.061846	0.074907	0.072873	0.073157	0.096624	0.101019	0.080404	0.098048	0.109349	0.072513	0.093616	0.080434	0.085960
aod	0.002113	0.015742	0.022126	0.001064	0.014576	0.010959	0.017158	0.012955	0.031137	0.026905	0.015316	0.005143	0.025509	0.008170	0.005686	0.001933	0.025988	0.009907	0.006141	0.006613	0.013257
eod	0.034854	0.002631	0.086519	0.029192	0.008474	0.057419	0.016662	0.017553	0.087030	0.089026	0.060421	0.041922	0.010516	0.032016	0.045978	0.040995	0.001748	0.045292	0.059643	0.045924	0.040691
