accuracy	0.849882	0.847575	0.849534	0.846722	0.847007	0.846407	0.846912	0.846722	0.847133	0.846912	0.847133	0.847670	0.846912	0.848997	0.847607	0.846722	0.846501	0.846280	0.846817	0.847733	0.847359
recall	0.766074	0.765271	0.765225	0.763251	0.763544	0.763046	0.765623	0.762358	0.765115	0.763817	0.762957	0.763371	0.762533	0.766145	0.765255	0.764592	0.762472	0.761076	0.764335	0.765730	0.764089
precision	0.808488	0.805249	0.807742	0.804644	0.805807	0.804808	0.804451	0.804020	0.805764	0.805880	0.804668	0.806068	0.804418	0.808167	0.805660	0.804424	0.805104	0.804996	0.805005	0.806304	0.805583
f1score	0.783316	0.781647	0.782495	0.780064	0.780636	0.779961	0.781596	0.779269	0.781685	0.780838	0.779893	0.780634	0.779520	0.783219	0.781768	0.780893	0.779669	0.778676	0.780909	0.782295	0.780949
mcc	0.572994	0.569117	0.571387	0.566384	0.567780	0.566317	0.568750	0.564844	0.569430	0.568143	0.566090	0.567836	0.565402	0.572772	0.569483	0.567620	0.565973	0.564365	0.567886	0.570593	0.568158
srp	0.212483	0.217446	0.211957	0.214977	0.214273	0.214658	0.218010	0.214052	0.217303	0.215213	0.213783	0.213015	0.213499	0.214661	0.215626	0.217733	0.213711	0.212502	0.216351	0.216146	0.214870
sru	0.123410	0.115419	0.121185	0.121137	0.123368	0.123728	0.124243	0.117660	0.119053	0.120000	0.121104	0.122390	0.120054	0.120354	0.124717	0.117182	0.122343	0.119283	0.122403	0.123662	0.121135
fprp	0.074168	0.078096	0.074625	0.076720	0.075659	0.076494	0.078563	0.077122	0.077449	0.076793	0.075934	0.075573	0.076414	0.075127	0.076785	0.078400	0.076050	0.075362	0.077300	0.076299	0.076447
fpru	0.041656	0.038062	0.039417	0.042485	0.043080	0.042730	0.042565	0.039069	0.039882	0.037731	0.044327	0.040276	0.041265	0.040483	0.042788	0.039765	0.041173	0.040735	0.041977	0.044181	0.041182
tprp	0.605713	0.609708	0.603190	0.603052	0.604260	0.601507	0.608155	0.601040	0.607576	0.602198	0.602871	0.601720	0.600871	0.606260	0.606273	0.607108	0.600084	0.597341	0.605705	0.606959	0.604080
tpru	0.556180	0.527660	0.562682	0.544286	0.532967	0.554286	0.562857	0.542692	0.542203	0.558611	0.535613	0.548077	0.545586	0.557185	0.558405	0.542522	0.549575	0.538352	0.546985	0.558174	0.548245
spd	0.089073	0.102027	0.090772	0.093839	0.090905	0.090930	0.093767	0.096392	0.098250	0.095213	0.092679	0.090625	0.093445	0.094307	0.090909	0.100551	0.091368	0.093220	0.093948	0.092484	0.093735
aod	0.041023	0.061041	0.037858	0.046500	0.051936	0.040492	0.040648	0.048201	0.051470	0.041325	0.049432	0.044470	0.045217	0.041860	0.040933	0.051610	0.042693	0.046808	0.047022	0.040451	0.045550
eod	0.049534	0.082049	0.040508	0.058767	0.071293	0.047221	0.045298	0.058348	0.065372	0.043588	0.067258	0.053643	0.055285	0.049075	0.047868	0.064586	0.050509	0.058989	0.058720	0.048785	0.055835
