accuracy	0.700880	0.694161	0.703197	0.706441	0.704124	0.697405	0.698795	0.702271	0.695783	0.699027	0.694625	0.696247	0.699954	0.695783	0.697173	0.701112	0.698100	0.699490	0.707600	0.694856	0.699351
recall	0.686895	0.678642	0.692224	0.693429	0.690635	0.684245	0.685596	0.693536	0.682537	0.686892	0.682755	0.683419	0.687944	0.685010	0.685614	0.688055	0.685456	0.687725	0.692845	0.680471	0.686696
precision	0.705314	0.699823	0.709107	0.713343	0.711114	0.702466	0.705709	0.709175	0.702387	0.706406	0.700860	0.702455	0.707381	0.701792	0.703455	0.706823	0.703027	0.705493	0.714583	0.701348	0.705603
f1score	0.687377	0.678451	0.692167	0.693556	0.690642	0.684280	0.685229	0.692872	0.682050	0.686310	0.682181	0.683040	0.687397	0.684477	0.685162	0.688148	0.685527	0.687512	0.693234	0.680032	0.686482
mcc	0.391776	0.377872	0.400976	0.406284	0.401226	0.386282	0.390787	0.402407	0.384412	0.392814	0.383188	0.385405	0.394847	0.386438	0.388660	0.394432	0.388086	0.392816	0.406847	0.381248	0.391840
srp	0.793399	0.817740	0.775713	0.791463	0.807739	0.786148	0.793103	0.786420	0.794872	0.785803	0.802902	0.792030	0.785455	0.795818	0.801768	0.788835	0.806954	0.790754	0.806569	0.816667	0.796008
sru	0.625500	0.634984	0.618125	0.627860	0.627400	0.626109	0.631849	0.606959	0.631398	0.629946	0.620522	0.628807	0.628187	0.615187	0.620034	0.626002	0.616887	0.620206	0.633085	0.631185	0.625012
fprp	0.592334	0.637288	0.566434	0.569492	0.614094	0.589655	0.589041	0.560137	0.585284	0.585366	0.627986	0.593750	0.566102	0.604167	0.621908	0.562500	0.615385	0.591216	0.613793	0.619863	0.595290
fpru	0.427102	0.443362	0.417849	0.426082	0.424608	0.431490	0.437126	0.412449	0.441371	0.434242	0.427467	0.436158	0.434860	0.423100	0.423849	0.432254	0.422847	0.423628	0.425803	0.443038	0.429434
tprp	0.902072	0.918561	0.890595	0.916190	0.916824	0.893058	0.907692	0.913295	0.915385	0.897287	0.898876	0.902913	0.907547	0.900952	0.901768	0.910448	0.906934	0.903042	0.911654	0.921533	0.906831
tpru	0.803252	0.804970	0.804623	0.811135	0.811032	0.803171	0.809160	0.794068	0.803708	0.810959	0.800221	0.804573	0.807735	0.795681	0.801639	0.803180	0.796133	0.801430	0.818774	0.802972	0.804421
spd	0.167898	0.182756	0.157588	0.163603	0.180338	0.160039	0.161254	0.179460	0.163473	0.155857	0.182380	0.163223	0.157268	0.180631	0.181734	0.162833	0.190068	0.170548	0.173484	0.185481	0.170996
aod	0.132026	0.153758	0.117278	0.124232	0.147639	0.124026	0.125224	0.133457	0.127795	0.118726	0.149587	0.127966	0.115527	0.143169	0.149094	0.118757	0.151670	0.134600	0.140435	0.147693	0.134133
eod	0.098820	0.113590	0.085972	0.105055	0.105792	0.089887	0.098532	0.119227	0.111677	0.086328	0.098655	0.098340	0.099812	0.105271	0.100129	0.107268	0.110802	0.101612	0.092880	0.118561	0.102410
