accuracy	0.851366	0.848650	0.850987	0.849250	0.849092	0.847354	0.847639	0.848144	0.849755	0.848270	0.849060	0.849724	0.847449	0.850008	0.849029	0.848239	0.848302	0.847891	0.848144	0.848618	0.848849
recall	0.766235	0.764913	0.765189	0.764545	0.764122	0.762358	0.765042	0.762139	0.767794	0.764467	0.763977	0.764348	0.761081	0.766046	0.765986	0.765004	0.762988	0.761208	0.764367	0.765892	0.764385
precision	0.811833	0.807849	0.811123	0.809713	0.810281	0.807331	0.806356	0.807375	0.810255	0.808621	0.808517	0.810264	0.806409	0.810537	0.808477	0.807607	0.808955	0.808657	0.807982	0.808208	0.808817
f1score	0.784531	0.782274	0.783584	0.782624	0.782495	0.780311	0.781846	0.780219	0.785015	0.782187	0.781866	0.782681	0.779168	0.783935	0.783210	0.782239	0.781279	0.779942	0.781918	0.783043	0.782218
mcc	0.576267	0.571150	0.574479	0.572479	0.572546	0.567911	0.569902	0.567714	0.576487	0.571385	0.570759	0.572775	0.565676	0.574864	0.572889	0.571024	0.570093	0.567885	0.570685	0.572539	0.571475
srp	0.209355	0.213952	0.208692	0.211262	0.210635	0.211280	0.215326	0.210269	0.215724	0.213013	0.211206	0.209811	0.210047	0.212311	0.213680	0.214501	0.210700	0.208862	0.213114	0.214129	0.211893
sru	0.123410	0.117884	0.120501	0.121809	0.122242	0.123728	0.124243	0.118564	0.119955	0.121143	0.120436	0.123279	0.118472	0.119447	0.124264	0.119892	0.120760	0.120179	0.123744	0.125256	0.121460
fprp	0.071233	0.075056	0.071255	0.072380	0.071724	0.073902	0.076316	0.073790	0.074605	0.074304	0.073042	0.072233	0.073829	0.072737	0.074596	0.075059	0.072763	0.071820	0.074703	0.074556	0.073495
fpru	0.039798	0.038595	0.039147	0.041954	0.041465	0.040312	0.041766	0.037731	0.038812	0.038002	0.041953	0.038421	0.039389	0.039946	0.041173	0.041100	0.039290	0.040202	0.039320	0.043373	0.040087
tprp	0.602036	0.604938	0.600226	0.601092	0.601457	0.595926	0.604245	0.595981	0.609525	0.600807	0.601182	0.598900	0.594970	0.604024	0.605013	0.604181	0.597847	0.593422	0.600671	0.604175	0.601031
tpru	0.566011	0.540426	0.559767	0.551429	0.534341	0.567143	0.567143	0.555716	0.553648	0.564399	0.544160	0.563187	0.545586	0.554252	0.564103	0.552786	0.549575	0.546875	0.569425	0.572901	0.556144
spd	0.085945	0.096068	0.088191	0.089453	0.088392	0.087552	0.091083	0.091706	0.095769	0.091870	0.090770	0.086533	0.091575	0.092864	0.089416	0.094609	0.089940	0.088683	0.089370	0.088872	0.090433
aod	0.033730	0.050487	0.036284	0.040045	0.048688	0.031187	0.035826	0.038162	0.045835	0.036355	0.044056	0.034763	0.041912	0.041281	0.037166	0.042677	0.040873	0.039083	0.033315	0.031228	0.039148
eod	0.036025	0.064513	0.040459	0.049664	0.067117	0.028783	0.037102	0.040265	0.055877	0.036408	0.057023	0.035714	0.049384	0.049772	0.040910	0.051395	0.048272	0.046547	0.031246	0.031274	0.044887
