accuracy	0.813900	0.814153	0.812573	0.813679	0.809919	0.810741	0.814121	0.809667	0.809066	0.815353	0.811531	0.814026	0.812699	0.813679	0.813110	0.808940	0.812952	0.810867	0.811594	0.811467	0.812202
recall	0.815650	0.814313	0.816364	0.812957	0.812890	0.811885	0.814896	0.812249	0.812823	0.812367	0.816120	0.815809	0.814664	0.815800	0.816229	0.815554	0.814239	0.809821	0.814735	0.815027	0.814220
precision	0.759711	0.760257	0.758800	0.759659	0.757312	0.757616	0.760821	0.756088	0.756950	0.761279	0.758583	0.760421	0.758961	0.760441	0.760244	0.757410	0.759776	0.756821	0.759048	0.759036	0.758962
f1score	0.776048	0.776380	0.775109	0.775676	0.773042	0.773372	0.776863	0.771988	0.772554	0.777167	0.774670	0.776631	0.775108	0.776567	0.776326	0.773072	0.775744	0.772583	0.774925	0.774911	0.774937
mcc	0.572635	0.572021	0.572275	0.570130	0.567487	0.566909	0.573172	0.565555	0.567027	0.571367	0.571817	0.573561	0.570914	0.573575	0.573748	0.570006	0.571425	0.564158	0.571075	0.571326	0.570509
srp	0.368698	0.368109	0.372015	0.367575	0.376144	0.372733	0.370680	0.374959	0.379096	0.364479	0.374885	0.369867	0.370153	0.371361	0.373793	0.380555	0.370470	0.370215	0.373869	0.375587	0.372262
sru	0.187235	0.179740	0.187244	0.176892	0.178973	0.177109	0.174479	0.174119	0.174295	0.166857	0.191674	0.186362	0.186299	0.180870	0.179493	0.192368	0.183627	0.168161	0.190306	0.180824	0.180846
fprp	0.206735	0.205881	0.211040	0.205467	0.214225	0.211193	0.207637	0.214261	0.216877	0.202210	0.212494	0.207428	0.208611	0.208404	0.210500	0.217446	0.208277	0.209925	0.211126	0.212461	0.210110
fpru	0.086760	0.079851	0.082343	0.079926	0.078352	0.078205	0.074754	0.077602	0.075482	0.069761	0.089446	0.082936	0.084673	0.080697	0.078848	0.091273	0.080463	0.071619	0.087141	0.081627	0.080588
tprp	0.829161	0.824776	0.830604	0.822599	0.831698	0.825031	0.826840	0.829117	0.831778	0.818144	0.833240	0.829268	0.826637	0.828699	0.833240	0.836376	0.825692	0.820014	0.829558	0.831454	0.828196
tpru	0.719101	0.712057	0.753644	0.698571	0.692308	0.702857	0.710000	0.696093	0.702432	0.684515	0.743590	0.722527	0.735166	0.728739	0.712251	0.747801	0.726629	0.683239	0.734923	0.723122	0.716478
spd	0.181463	0.188369	0.184772	0.190683	0.197170	0.195623	0.196201	0.200839	0.204801	0.197622	0.183211	0.183505	0.183854	0.190491	0.194300	0.188187	0.186842	0.202054	0.183563	0.194762	0.191416
aod	0.115018	0.119374	0.102828	0.124784	0.137632	0.127581	0.124861	0.134842	0.135371	0.133039	0.106349	0.115616	0.107704	0.113833	0.126321	0.107374	0.113439	0.137541	0.109310	0.119583	0.120620
eod	0.110060	0.112719	0.076960	0.124027	0.139391	0.122174	0.116840	0.133025	0.129346	0.133629	0.089650	0.106741	0.091470	0.099960	0.120989	0.088576	0.099063	0.136775	0.094635	0.108332	0.111718
