accuracy	0.964555	0.964998	0.964050	0.965440	0.965914	0.965377	0.965693	0.964871	0.963829	0.965029	0.965314	0.963924	0.964082	0.962818	0.964113	0.965187	0.964113	0.966324	0.963513	0.964587	0.964686
recall	0.950435	0.951938	0.948869	0.951543	0.953657	0.952759	0.950730	0.950364	0.947795	0.952022	0.951610	0.949584	0.950581	0.948718	0.949815	0.950631	0.950697	0.953016	0.949681	0.951753	0.950810
precision	0.953672	0.953888	0.953631	0.955383	0.954938	0.954387	0.956860	0.954703	0.954859	0.954227	0.954760	0.953107	0.952576	0.951238	0.953560	0.955643	0.952943	0.956386	0.952349	0.953262	0.954119
f1score	0.952039	0.952908	0.951218	0.953443	0.954296	0.953569	0.953743	0.952508	0.951258	0.953118	0.953171	0.951328	0.951573	0.949969	0.951668	0.953102	0.951813	0.954685	0.951005	0.952504	0.952446
mcc	0.904101	0.905824	0.902487	0.906918	0.908595	0.907145	0.907569	0.905057	0.902626	0.906246	0.906364	0.902684	0.903155	0.899952	0.903367	0.906260	0.903638	0.909395	0.902026	0.905014	0.904921
srp	0.317794	0.317948	0.314576	0.318212	0.320954	0.319126	0.316705	0.316140	0.316968	0.319839	0.316611	0.317367	0.317771	0.320260	0.318911	0.319057	0.319907	0.318889	0.320533	0.321034	0.318430
sru	0.089519	0.095326	0.091935	0.091986	0.096080	0.096639	0.093299	0.089473	0.091401	0.095391	0.091391	0.093433	0.094369	0.090494	0.090502	0.089199	0.093223	0.092735	0.092951	0.094087	0.092672
fprp	0.032399	0.031848	0.031237	0.030935	0.032216	0.032670	0.028509	0.031062	0.028687	0.032655	0.031558	0.032223	0.033544	0.034403	0.032564	0.031067	0.033147	0.030841	0.033754	0.034200	0.031976
fpru	0.004793	0.006596	0.005440	0.004816	0.005670	0.005074	0.005325	0.004630	0.006871	0.004957	0.004641	0.005789	0.005373	0.005582	0.004599	0.003497	0.005712	0.004153	0.005260	0.004375	0.005158
tprp	0.950226	0.948653	0.945868	0.948983	0.952987	0.948791	0.946533	0.946298	0.945514	0.950545	0.949025	0.948019	0.949306	0.947667	0.946269	0.949066	0.947973	0.949925	0.951816	0.947518	0.948549
tpru	0.764094	0.795317	0.768511	0.779793	0.795781	0.806672	0.777027	0.775401	0.747671	0.788186	0.781195	0.771115	0.781541	0.764553	0.776224	0.764200	0.784722	0.792062	0.758105	0.802939	0.778755
spd	0.228275	0.222622	0.222640	0.226225	0.224874	0.222487	0.223406	0.226667	0.225567	0.224448	0.225220	0.223935	0.223402	0.229766	0.228409	0.229858	0.226684	0.226154	0.227581	0.226947	0.225758
aod	0.106869	0.089294	0.101577	0.097655	0.091876	0.084857	0.096345	0.098664	0.109829	0.095029	0.097374	0.101669	0.097968	0.105968	0.099005	0.106218	0.095343	0.092275	0.111103	0.087202	0.098306
eod	0.186133	0.153336	0.177357	0.169190	0.157206	0.142118	0.169506	0.170897	0.197843	0.162360	0.167830	0.176904	0.167765	0.183115	0.170045	0.184867	0.163250	0.157863	0.193712	0.144579	0.169794
