accuracy	0.831094	0.842910	0.830167	0.829472	0.844069	0.838044	0.850093	0.825765	0.850788	0.839203	0.831325	0.838740	0.841752	0.828082	0.823911	0.819972	0.826923	0.843142	0.841752	0.838508	0.835785
recall	0.823984	0.836593	0.823353	0.823958	0.838818	0.830418	0.844581	0.821046	0.846534	0.834001	0.824839	0.833058	0.836820	0.822932	0.818201	0.813020	0.821417	0.839010	0.835640	0.832634	0.830043
precision	0.834920	0.845853	0.837021	0.831876	0.846538	0.844735	0.853709	0.830439	0.852318	0.842618	0.837096	0.842243	0.844837	0.831632	0.827735	0.824187	0.829132	0.844700	0.844562	0.841421	0.839379
f1score	0.827012	0.839423	0.826238	0.826269	0.841191	0.833834	0.847208	0.822994	0.848468	0.836349	0.827629	0.835605	0.839071	0.825116	0.820558	0.815807	0.823684	0.840840	0.838362	0.835227	0.832544
mcc	0.658813	0.682384	0.660233	0.655787	0.685312	0.675001	0.698230	0.651417	0.698828	0.676564	0.661822	0.675238	0.681609	0.654506	0.645866	0.637110	0.650503	0.683686	0.680143	0.673998	0.669352
srp	0.667482	0.654921	0.661710	0.665854	0.654172	0.664642	0.646552	0.655556	0.655678	0.663761	0.668682	0.657534	0.650909	0.661747	0.659091	0.660194	0.665468	0.643552	0.659367	0.680952	0.659891
sru	0.588050	0.582307	0.596466	0.571796	0.572084	0.599485	0.579338	0.575870	0.560194	0.572730	0.588707	0.578423	0.571756	0.573508	0.580306	0.590206	0.570936	0.561534	0.579279	0.571922	0.578245
fprp	0.076655	0.071186	0.069930	0.084746	0.077181	0.079310	0.058219	0.072165	0.073579	0.080139	0.085324	0.083333	0.071186	0.069444	0.077739	0.065972	0.062937	0.050676	0.072414	0.092466	0.073730
fpru	0.275862	0.252741	0.290189	0.262620	0.242461	0.280048	0.243713	0.277487	0.223091	0.252370	0.280618	0.255370	0.248067	0.270477	0.278630	0.294964	0.267943	0.236874	0.251969	0.252562	0.261903
tprp	0.986817	0.981061	0.986564	0.992381	0.979206	0.983114	0.976923	0.982659	0.990385	0.988372	0.988764	0.978641	0.973585	0.986667	0.982318	0.979478	0.979927	0.977186	0.979323	0.994526	0.983395
tpru	0.867751	0.874662	0.881673	0.852620	0.870563	0.890104	0.884951	0.862899	0.865867	0.869041	0.875484	0.873163	0.872376	0.858250	0.859563	0.860197	0.850829	0.860836	0.872491	0.863511	0.868342
spd	0.079431	0.072614	0.065244	0.094057	0.082088	0.065157	0.067214	0.079686	0.095483	0.091031	0.079975	0.079111	0.079153	0.088238	0.078784	0.069988	0.094531	0.082018	0.080089	0.109031	0.081646
aod	0.040070	0.037578	0.057684	0.019057	0.028318	0.053864	0.046761	0.042781	0.012497	0.026450	0.041007	0.033279	0.037835	0.036308	0.039068	0.054856	0.037954	0.034924	0.036361	0.014541	0.036560
eod	0.119067	0.106398	0.104891	0.139761	0.108644	0.093011	0.091972	0.119760	0.124518	0.119331	0.113280	0.105478	0.101209	0.128416	0.122755	0.119280	0.129098	0.116350	0.106833	0.131014	0.115053
