accuracy	0.955714	0.970000	0.985714	0.935714	0.934286	0.977143	0.985714	0.981429	0.965714	0.968571	0.975714	0.921429	0.965714	0.972857	0.965714	0.978571	0.920000	0.975714	0.941429	0.942857	0.961000
recall	0.944569	0.966626	0.976610	0.917358	0.952265	0.974609	0.979251	0.980198	0.964626	0.954566	0.959585	0.868275	0.975904	0.959451	0.971478	0.981981	0.865385	0.963297	0.903839	0.918629	0.948925
precision	0.950570	0.963033	0.988534	0.930108	0.907803	0.972254	0.985325	0.976610	0.955004	0.972051	0.981715	0.942664	0.946903	0.977939	0.949565	0.968241	0.948905	0.978469	0.955343	0.946112	0.959857
f1score	0.947492	0.964802	0.982339	0.923365	0.924678	0.973419	0.982229	0.978376	0.959617	0.962686	0.969837	0.896219	0.959617	0.967988	0.959511	0.974727	0.895299	0.970470	0.925079	0.930819	0.952429
mcc	0.895119	0.929653	0.965070	0.847370	0.858918	0.946860	0.964557	0.956801	0.919580	0.926452	0.941040	0.807520	0.922350	0.937208	0.920782	0.950122	0.809995	0.941644	0.857636	0.864304	0.908149
srp	0.724077	0.716049	0.755835	0.738516	0.669002	0.708185	0.742857	0.711470	0.722028	0.735915	0.757522	0.794425	0.707531	0.731449	0.722420	0.717626	0.787120	0.758007	0.777778	0.753597	0.736570
sru	0.603053	0.578947	0.601399	0.582090	0.550388	0.594203	0.650000	0.584507	0.539062	0.590909	0.622222	0.722222	0.542636	0.597015	0.521739	0.569444	0.765957	0.557971	0.676692	0.611111	0.603078
fprp	0.086420	0.044304	0.042553	0.123377	0.006536	0.037267	0.020690	0.031250	0.033113	0.092593	0.081081	0.217687	0.000000	0.067901	0.013986	0.006803	0.237179	0.082192	0.178808	0.153846	0.077879
fpru	0.076923	0.035714	0.050000	0.147541	0.000000	0.017544	0.076923	0.000000	0.050847	0.053571	0.072727	0.363636	0.000000	0.101695	0.016393	0.016393	0.365385	0.032258	0.207547	0.118644	0.090187
tprp	0.977887	0.975550	0.997596	0.968447	0.911483	0.977556	0.995181	0.984925	0.969121	0.992611	0.997602	0.992974	0.961905	0.997525	0.964200	0.973105	1.000000	0.995192	0.995192	0.987500	0.980778
tpru	0.949367	0.974026	1.000000	0.945205	0.898734	1.000000	0.988636	0.976471	0.956522	0.986842	1.000000	1.000000	0.897436	0.986667	0.922078	0.975904	1.000000	0.986842	0.987500	0.952941	0.969259
spd	0.121024	0.137102	0.154436	0.156426	0.118614	0.113982	0.092857	0.126962	0.182965	0.145006	0.135300	0.072203	0.164895	0.134434	0.200681	0.148181	0.021162	0.200036	0.101086	0.142486	0.133492
aod	0.019008	0.005057	0.004925	0.000462	0.009643	0.001360	0.024845	0.019852	0.002568	0.022395	0.002978	0.076488	0.032234	0.011468	0.019858	0.006195	0.064103	0.029142	0.010523	0.034880	0.019899
eod	0.028520	0.001524	0.002404	0.023241	0.012749	0.022444	0.006544	0.008454	0.012599	0.005769	0.002398	0.007026	0.064469	0.010858	0.042123	0.002798	0.000000	0.008350	0.007692	0.034559	0.015226
