accuracy	0.934663	0.946034	0.945944	0.949012	0.936107	0.934573	0.940078	0.937641	0.949283	0.932136	0.943507	0.933670	0.948922	0.939356	0.936739	0.943778	0.943236	0.942875	0.941612	0.940709	0.940994
recall	0.878153	0.871014	0.865859	0.871140	0.860844	0.835448	0.866066	0.891084	0.861027	0.859437	0.855432	0.813623	0.882339	0.831259	0.867004	0.883805	0.845750	0.842186	0.835619	0.859669	0.858838
precision	0.890803	0.932500	0.938432	0.943064	0.907499	0.926996	0.917946	0.889947	0.954932	0.894745	0.941557	0.949549	0.931778	0.951345	0.906070	0.913807	0.947267	0.957623	0.961939	0.922945	0.929037
f1score	0.884296	0.897932	0.896865	0.902020	0.881800	0.872428	0.889146	0.890514	0.899549	0.875688	0.891049	0.863095	0.904597	0.877089	0.884862	0.897853	0.886398	0.886887	0.883267	0.887147	0.887624
mcc	0.768852	0.801159	0.801011	0.811021	0.766925	0.756927	0.782293	0.781030	0.810537	0.753356	0.792322	0.750970	0.812614	0.773335	0.772086	0.797047	0.786492	0.791435	0.787492	0.780052	0.783848
srp	0.256682	0.229251	0.221575	0.217248	0.236317	0.208895	0.233047	0.253701	0.199900	0.234307	0.210088	0.183482	0.224323	0.195652	0.244393	0.240180	0.202696	0.196792	0.192201	0.222786	0.220176
sru	0.116374	0.093702	0.091699	0.093147	0.101381	0.085083	0.100715	0.126550	0.086975	0.109152	0.089938	0.071369	0.105204	0.073598	0.104513	0.110107	0.079152	0.081644	0.077958	0.094538	0.094640
fprp	0.056314	0.029212	0.022487	0.018349	0.038181	0.021583	0.038514	0.052027	0.009030	0.044178	0.017365	0.007853	0.022306	0.008043	0.043629	0.037800	0.014066	0.005165	0.002395	0.028659	0.025858
fpru	0.025373	0.008017	0.007054	0.007199	0.017513	0.008967	0.011744	0.031356	0.004179	0.022724	0.006265	0.002237	0.013714	0.003061	0.017580	0.018366	0.003695	0.002560	0.001285	0.011829	0.011236
tprp	0.823359	0.813492	0.797830	0.809717	0.791059	0.747047	0.793713	0.836098	0.772317	0.781281	0.760700	0.694831	0.813000	0.745580	0.804054	0.820116	0.754902	0.740234	0.732943	0.786139	0.780921
tpru	0.754505	0.692825	0.682327	0.690768	0.693258	0.612653	0.706462	0.801596	0.676976	0.711260	0.674523	0.559188	0.745536	0.575688	0.708889	0.759407	0.631022	0.628319	0.604857	0.679864	0.679496
spd	0.140308	0.135549	0.129876	0.124101	0.134937	0.123812	0.132331	0.127151	0.112925	0.125156	0.120150	0.112113	0.119119	0.122054	0.139880	0.130073	0.123544	0.115148	0.114242	0.128248	0.125536
aod	0.049898	0.070931	0.065469	0.065049	0.059234	0.073505	0.057011	0.027586	0.050096	0.045738	0.048638	0.070629	0.038028	0.087437	0.060607	0.040071	0.067125	0.057260	0.064598	0.061552	0.058023
eod	0.068855	0.120667	0.115504	0.118949	0.097801	0.134395	0.087251	0.034501	0.095341	0.070021	0.086177	0.135643	0.067464	0.169891	0.095165	0.060709	0.123880	0.111916	0.128087	0.106274	0.101425
