accuracy	0.848144	0.845901	0.847038	0.845396	0.845459	0.843500	0.845648	0.845554	0.846280	0.847007	0.844448	0.845996	0.843911	0.846754	0.845238	0.843879	0.844732	0.845269	0.844448	0.845269	0.845494
recall	0.739376	0.737295	0.735090	0.736198	0.738550	0.732910	0.737865	0.734227	0.739434	0.739393	0.732145	0.737176	0.732896	0.737868	0.736879	0.732948	0.735096	0.734955	0.734587	0.735827	0.736036
precision	0.823200	0.820537	0.823282	0.820434	0.819423	0.818867	0.820504	0.821188	0.821819	0.824018	0.819775	0.820390	0.817417	0.822915	0.819395	0.819545	0.820270	0.821575	0.820110	0.821426	0.820804
f1score	0.767142	0.764709	0.763589	0.763750	0.765439	0.760582	0.765121	0.762327	0.766686	0.767148	0.760252	0.764600	0.760377	0.765706	0.764084	0.760780	0.762750	0.762937	0.762275	0.763611	0.763693
mcc	0.556296	0.551587	0.551363	0.550221	0.552081	0.545041	0.552220	0.548565	0.555174	0.557019	0.544919	0.551321	0.543783	0.554296	0.550120	0.545664	0.548796	0.549748	0.548065	0.550640	0.550346
srp	0.171119	0.172250	0.166807	0.171687	0.174328	0.169457	0.172893	0.168619	0.174357	0.172471	0.167323	0.171289	0.169874	0.171310	0.172119	0.169874	0.170345	0.169627	0.170027	0.170775	0.170828
sru	0.123187	0.121694	0.120729	0.120018	0.125619	0.123049	0.124916	0.118564	0.121759	0.122057	0.120882	0.126388	0.119828	0.120354	0.126075	0.116505	0.123926	0.120628	0.124637	0.120701	0.122076
fprp	0.047854	0.049090	0.046133	0.048386	0.050057	0.048637	0.049264	0.047636	0.049154	0.047828	0.046966	0.048903	0.049319	0.047645	0.049316	0.048177	0.048210	0.047481	0.048187	0.047861	0.048305
fpru	0.040064	0.040192	0.038877	0.041954	0.043080	0.039506	0.041234	0.037731	0.040418	0.038274	0.042216	0.041335	0.040729	0.039678	0.042788	0.039231	0.041173	0.039404	0.040914	0.040140	0.040447
tprp	0.521567	0.518939	0.510587	0.517782	0.523963	0.507744	0.518782	0.510540	0.523743	0.520941	0.507036	0.517412	0.510537	0.518374	0.517642	0.509965	0.513140	0.512386	0.511186	0.514266	0.515327
tpru	0.563202	0.556028	0.562682	0.540000	0.546703	0.567143	0.574286	0.555716	0.556509	0.568741	0.545584	0.567308	0.547033	0.561584	0.566952	0.541056	0.559490	0.553977	0.566620	0.561119	0.558087
spd	0.047933	0.050556	0.046078	0.051669	0.048709	0.046408	0.047977	0.050056	0.052598	0.050414	0.046442	0.044900	0.050046	0.050956	0.046044	0.053370	0.046419	0.048999	0.045390	0.050073	0.048752
aod	0.016923	0.014095	0.022420	0.007893	0.007882	0.025134	0.023737	0.017636	0.012015	0.019123	0.016899	0.021164	0.013953	0.017622	0.021391	0.011072	0.019657	0.016757	0.024080	0.019566	0.017451
eod	0.041635	0.037089	0.052095	0.022218	0.022740	0.059399	0.055503	0.045177	0.032766	0.047800	0.038548	0.049896	0.036497	0.043210	0.049309	0.031091	0.046351	0.041591	0.055434	0.046853	0.042760
