accuracy	0.900708	0.900239	0.900473	0.901223	0.899068	0.901223	0.898786	0.899724	0.899208	0.900005	0.901317	0.898786	0.902863	0.898740	0.902535	0.902441	0.900895	0.899770	0.902535	0.901598	0.900607
recall	0.701988	0.694786	0.695875	0.697255	0.696818	0.700665	0.689859	0.694863	0.691271	0.691300	0.699857	0.693824	0.697765	0.696429	0.703359	0.703195	0.701683	0.698054	0.706595	0.703100	0.697927
precision	0.796219	0.793279	0.794250	0.793874	0.793202	0.798876	0.790867	0.791234	0.792853	0.789240	0.794800	0.790771	0.800539	0.793807	0.802827	0.799038	0.796624	0.794275	0.801698	0.797616	0.795294
f1score	0.736238	0.729772	0.730895	0.731951	0.731300	0.735892	0.725117	0.729303	0.726759	0.725983	0.734244	0.728299	0.734088	0.731116	0.739090	0.738006	0.736113	0.732591	0.741347	0.737519	0.732781
mcc	0.489214	0.478024	0.480151	0.481531	0.480447	0.489792	0.469994	0.476449	0.473347	0.470454	0.485459	0.474798	0.487591	0.480467	0.496317	0.493003	0.489179	0.482835	0.499316	0.491715	0.483504
srp	0.141638	0.129508	0.136656	0.145270	0.138564	0.128978	0.140264	0.134715	0.140704	0.137124	0.145299	0.139384	0.133663	0.127451	0.129784	0.137540	0.136134	0.132107	0.137871	0.139573	0.136611
sru	0.081089	0.078096	0.078141	0.078124	0.080031	0.079927	0.076585	0.078750	0.076793	0.076652	0.079399	0.078798	0.076537	0.080322	0.079797	0.079911	0.080835	0.080172	0.081568	0.080745	0.079114
fprp	0.045455	0.048626	0.046316	0.053333	0.045652	0.043103	0.049892	0.040541	0.048780	0.045652	0.040179	0.051064	0.053079	0.046122	0.041126	0.048832	0.041943	0.046154	0.032037	0.041304	0.045459
fpru	0.030861	0.029931	0.029939	0.029974	0.030861	0.029797	0.029766	0.030821	0.029538	0.030243	0.030649	0.030682	0.028024	0.030691	0.029127	0.029818	0.030712	0.030670	0.030358	0.030597	0.030153
tprp	0.431507	0.408759	0.428571	0.436620	0.446043	0.428571	0.427586	0.444444	0.424658	0.442029	0.489051	0.421769	0.414815	0.414815	0.424460	0.421769	0.436620	0.405594	0.477941	0.442953	0.433429
tpru	0.435390	0.420579	0.421734	0.424398	0.423729	0.431607	0.408984	0.419531	0.411856	0.411648	0.427451	0.418677	0.424685	0.424416	0.436773	0.437549	0.434226	0.428350	0.441779	0.436719	0.426004
spd	0.060549	0.051413	0.058515	0.067146	0.058533	0.049051	0.063679	0.055965	0.063910	0.060471	0.065900	0.060587	0.057126	0.047129	0.049986	0.057629	0.055300	0.051935	0.056303	0.058828	0.057498
aod	0.005355	0.003437	0.011607	0.017791	0.018553	0.005135	0.019364	0.017316	0.016022	0.022895	0.035565	0.011737	0.007593	0.002914	0.000157	0.001617	0.006812	0.003636	0.018920	0.008471	0.011745
eod	0.003883	0.011820	0.006837	0.012222	0.022314	0.003036	0.018602	0.024913	0.012801	0.030381	0.061600	0.003092	0.009870	0.009602	0.012312	0.015780	0.002394	0.022756	0.036162	0.006234	0.016331
