accuracy	0.705978	0.699490	0.708990	0.707368	0.706209	0.704819	0.699722	0.702039	0.699490	0.698795	0.691381	0.702502	0.700880	0.695783	0.703661	0.703197	0.702039	0.705514	0.712465	0.698332	0.702433
recall	0.689065	0.681270	0.695975	0.691821	0.690353	0.689561	0.684238	0.691914	0.684578	0.685373	0.676638	0.688109	0.686516	0.682543	0.690386	0.688037	0.685379	0.691178	0.696042	0.681174	0.687508
precision	0.717386	0.712124	0.720864	0.720844	0.719451	0.715602	0.712511	0.713045	0.710645	0.709400	0.704542	0.713327	0.714952	0.708305	0.715176	0.713988	0.717536	0.719038	0.724091	0.712196	0.714751
f1score	0.688476	0.679850	0.695011	0.690662	0.689189	0.688842	0.682543	0.690250	0.683260	0.683997	0.673947	0.687086	0.684445	0.680328	0.689134	0.687167	0.683295	0.689678	0.695912	0.679200	0.686114
mcc	0.405463	0.392182	0.416095	0.411643	0.408770	0.404325	0.395740	0.404407	0.394362	0.394040	0.380157	0.400643	0.400459	0.389997	0.404804	0.401186	0.401630	0.409269	0.419195	0.392146	0.401326
srp	0.801956	0.823815	0.801735	0.810976	0.813785	0.800729	0.812808	0.817284	0.798535	0.801993	0.821040	0.811955	0.819394	0.815498	0.814394	0.816748	0.829736	0.807786	0.812652	0.825000	0.812891
sru	0.659520	0.666476	0.642633	0.657037	0.657208	0.650730	0.658105	0.624643	0.653417	0.644748	0.657495	0.646171	0.654540	0.648301	0.642736	0.647194	0.665135	0.653406	0.652547	0.665132	0.652359
fprp	0.595819	0.647458	0.590909	0.610169	0.607383	0.606897	0.613014	0.628866	0.595318	0.609756	0.651877	0.621528	0.620339	0.611111	0.618375	0.618056	0.646853	0.618243	0.627586	0.626712	0.618313
fpru	0.457955	0.469549	0.437943	0.453125	0.455971	0.448317	0.464072	0.426411	0.458809	0.449645	0.470273	0.446301	0.459845	0.460813	0.442739	0.449041	0.468301	0.449881	0.439128	0.474985	0.454155
tprp	0.913371	0.922348	0.917466	0.923810	0.930057	0.906191	0.925000	0.922929	0.915385	0.908915	0.913858	0.918447	0.930189	0.927619	0.923379	0.923507	0.925182	0.914449	0.913534	0.930657	0.920315
tpru	0.840108	0.841167	0.833242	0.842249	0.839432	0.834882	0.834787	0.815333	0.829880	0.825205	0.831765	0.828525	0.835359	0.824474	0.827869	0.828399	0.846961	0.841034	0.843733	0.838745	0.834158
spd	0.142436	0.157340	0.159102	0.153939	0.156576	0.149999	0.154703	0.192640	0.145118	0.157244	0.163545	0.165784	0.164854	0.167197	0.171658	0.169554	0.164601	0.154380	0.160105	0.159868	0.160532
aod	0.105563	0.129545	0.118595	0.119303	0.121018	0.114944	0.119577	0.155026	0.111006	0.121910	0.131848	0.132574	0.127662	0.126721	0.135573	0.132062	0.128386	0.120889	0.129130	0.121820	0.125158
eod	0.073263	0.081182	0.084225	0.081561	0.090625	0.071309	0.090213	0.107596	0.085505	0.083709	0.082092	0.089922	0.094830	0.103145	0.095510	0.095108	0.078221	0.073415	0.069801	0.091912	0.086157
