accuracy	0.865084	0.862467	0.864904	0.866167	0.864994	0.863279	0.864001	0.866709	0.865716	0.864814	0.864994	0.863099	0.864904	0.865987	0.861204	0.864001	0.865445	0.862828	0.864001	0.865265	0.864493
recall	0.667731	0.658217	0.664365	0.663275	0.667476	0.660955	0.665150	0.667787	0.655626	0.663112	0.663768	0.658242	0.661935	0.661361	0.660405	0.661833	0.656916	0.663537	0.664906	0.661605	0.662410
precision	0.799353	0.788414	0.796916	0.797733	0.797733	0.794915	0.798633	0.800637	0.797377	0.798823	0.801183	0.789285	0.795551	0.799551	0.791191	0.795789	0.795100	0.793706	0.799154	0.796994	0.796402
f1score	0.703521	0.692622	0.699955	0.699176	0.703062	0.696167	0.700791	0.703964	0.691513	0.698949	0.699888	0.692836	0.697433	0.697489	0.694904	0.697230	0.692518	0.698475	0.700615	0.697330	0.697922
mcc	0.448155	0.427234	0.441826	0.440964	0.446601	0.435743	0.444159	0.449189	0.430254	0.441550	0.444181	0.427912	0.437539	0.439709	0.432244	0.437576	0.430377	0.438323	0.444217	0.438159	0.438796
srp	0.135401	0.130567	0.131172	0.128720	0.134783	0.127065	0.132844	0.131995	0.119137	0.131385	0.128878	0.128335	0.130557	0.124688	0.133282	0.128847	0.125312	0.135438	0.131426	0.129663	0.129975
sru	0.061841	0.060036	0.061554	0.060420	0.063032	0.062413	0.061860	0.061584	0.057654	0.059754	0.060708	0.060593	0.059997	0.059613	0.061618	0.060841	0.056254	0.061513	0.062255	0.059104	0.060632
fprp	0.044710	0.045856	0.041567	0.041115	0.043388	0.045221	0.042263	0.043581	0.039465	0.044863	0.040858	0.043360	0.042896	0.039209	0.045014	0.042862	0.042532	0.044766	0.043106	0.042648	0.042964
fpru	0.022965	0.023890	0.024206	0.023356	0.024359	0.022418	0.023649	0.022512	0.021379	0.021443	0.022490	0.024605	0.023282	0.022716	0.024453	0.023200	0.021369	0.024324	0.022968	0.022538	0.023106
tprp	0.391892	0.377976	0.390533	0.389676	0.390671	0.362205	0.393910	0.387317	0.358074	0.380296	0.380350	0.375746	0.386000	0.375246	0.379344	0.375242	0.367647	0.392578	0.383041	0.382178	0.380996
tpru	0.334459	0.312780	0.322148	0.318131	0.335955	0.339623	0.322015	0.338655	0.316151	0.326644	0.327722	0.314543	0.316964	0.322248	0.320000	0.327252	0.311398	0.318584	0.332230	0.317873	0.323769
spd	0.073560	0.070530	0.069619	0.068301	0.071751	0.064652	0.070984	0.070411	0.061483	0.071631	0.068169	0.067742	0.070560	0.065075	0.071664	0.068005	0.069058	0.073925	0.069171	0.070559	0.069343
aod	0.039589	0.043581	0.042873	0.044652	0.036872	0.022693	0.045254	0.034866	0.030004	0.038535	0.035498	0.039979	0.044325	0.034745	0.039952	0.033826	0.038706	0.047218	0.035475	0.042207	0.038543
eod	0.057432	0.065196	0.068385	0.071545	0.054715	0.022582	0.071894	0.048663	0.041923	0.053651	0.052629	0.061202	0.069036	0.052998	0.059344	0.047990	0.056249	0.073994	0.050811	0.064305	0.057227
