accuracy	0.915714	0.930000	0.908571	0.881429	0.930000	0.925714	0.934286	0.872857	0.941429	0.921429	0.960000	0.918571	0.934286	0.882857	0.934286	0.921429	0.932857	0.945714	0.944286	0.952857	0.924429
recall	0.897456	0.912975	0.879421	0.885951	0.909908	0.897065	0.904865	0.822848	0.929592	0.900234	0.936863	0.869210	0.911150	0.821791	0.903127	0.905253	0.913383	0.923917	0.911626	0.931024	0.898383
precision	0.902820	0.920878	0.894035	0.855258	0.918651	0.927760	0.930184	0.872600	0.930768	0.914437	0.965860	0.931777	0.926832	0.910916	0.935791	0.906385	0.924317	0.944779	0.953333	0.957856	0.921262
f1score	0.900066	0.916780	0.886266	0.866938	0.914121	0.910323	0.916369	0.841588	0.930177	0.906841	0.949924	0.893622	0.918509	0.849902	0.917466	0.905816	0.918595	0.933500	0.929450	0.943008	0.907463
mcc	0.800258	0.833815	0.773317	0.740572	0.828512	0.824254	0.834665	0.693665	0.860359	0.814547	0.902257	0.798539	0.837835	0.727266	0.838281	0.811638	0.837629	0.868446	0.863954	0.888475	0.818914
srp	0.708502	0.715481	0.736952	0.607287	0.731006	0.719008	0.763103	0.743158	0.716599	0.713701	0.753507	0.777551	0.721212	0.788501	0.752577	0.705155	0.716387	0.727651	0.751037	0.734440	0.729141
sru	0.684466	0.680180	0.714932	0.708738	0.694836	0.740741	0.704036	0.777778	0.665049	0.691943	0.701493	0.761905	0.746341	0.774648	0.720930	0.702326	0.714286	0.721461	0.747706	0.697248	0.717552
fprp	0.131944	0.097744	0.138211	0.056338	0.119048	0.101449	0.168000	0.235294	0.093525	0.119718	0.128571	0.186047	0.038462	0.297872	0.145038	0.089552	0.089552	0.089552	0.134328	0.094891	0.127757
fpru	0.185714	0.185185	0.269231	0.191781	0.168831	0.312500	0.152778	0.432099	0.112676	0.223684	0.095238	0.356164	0.333333	0.425000	0.219178	0.216216	0.216216	0.202703	0.228571	0.179487	0.235329
tprp	0.945714	0.953623	0.943820	0.829545	0.944598	0.965318	0.974432	0.946903	0.960563	0.956772	0.997214	0.988920	0.964384	0.988439	0.977401	0.940171	0.961988	0.974063	0.988506	0.988406	0.959539
tpru	0.941176	0.964539	0.958042	0.992481	0.992647	0.992647	0.966887	0.972222	0.955556	0.955556	0.978261	0.978102	0.969925	0.984962	0.978873	0.957447	0.960000	0.986207	0.993243	0.985714	0.973224
spd	0.024036	0.035301	0.022020	0.101450	0.036170	0.021732	0.059067	0.034620	0.051551	0.021758	0.052014	0.015646	0.025129	0.013853	0.031647	0.002829	0.002101	0.006190	0.003331	0.037192	0.029882
aod	0.024616	0.049178	0.072621	0.149189	0.048916	0.119190	0.011383	0.111062	0.007072	0.051375	0.026143	0.079650	0.150207	0.061825	0.037806	0.071970	0.062338	0.062647	0.049490	0.040953	0.064382
eod	0.004538	0.010916	0.014222	0.162936	0.048049	0.027329	0.007544	0.025320	0.005008	0.001217	0.018954	0.010817	0.005541	0.003477	0.001472	0.017276	0.001988	0.012143	0.004737	0.002692	0.019309
