accuracy	0.704819	0.690454	0.700185	0.700880	0.699490	0.701112	0.692539	0.702271	0.690918	0.700417	0.687442	0.691149	0.697405	0.690918	0.697637	0.699954	0.699259	0.699027	0.699722	0.691844	0.696872
recall	0.687115	0.670004	0.686758	0.683942	0.681978	0.684715	0.675532	0.691907	0.673833	0.685799	0.672176	0.674417	0.682169	0.677253	0.683615	0.683189	0.682358	0.683797	0.681638	0.674088	0.680814
precision	0.718092	0.707304	0.711876	0.717385	0.716460	0.714310	0.708523	0.714117	0.706785	0.714887	0.701462	0.706676	0.713720	0.703930	0.710374	0.714651	0.714925	0.714194	0.713282	0.706054	0.711450
f1score	0.686023	0.666442	0.685189	0.681487	0.679297	0.683136	0.672284	0.690050	0.670434	0.683601	0.668837	0.671124	0.679206	0.674475	0.681587	0.681116	0.679954	0.681333	0.679979	0.671341	0.678345
mcc	0.404021	0.375459	0.397843	0.399931	0.396943	0.397926	0.382635	0.405416	0.379189	0.399629	0.372489	0.379724	0.394630	0.380248	0.393079	0.396594	0.395946	0.396828	0.393650	0.378796	0.391049
srp	0.732660	0.748802	0.709980	0.721685	0.733515	0.733788	0.725885	0.702536	0.726780	0.725328	0.736662	0.732119	0.727517	0.725207	0.714969	0.732830	0.724628	0.736626	0.724647	0.732155	0.727416
sru	0.673967	0.700876	0.658874	0.690028	0.688928	0.668888	0.691826	0.644732	0.692010	0.669341	0.673090	0.685956	0.679406	0.664106	0.665966	0.677622	0.686047	0.670049	0.684117	0.686116	0.677597
fprp	0.530435	0.569395	0.543147	0.530541	0.536207	0.539964	0.545455	0.501695	0.544658	0.527241	0.560420	0.551056	0.537262	0.537262	0.522648	0.542757	0.542517	0.551601	0.541156	0.555944	0.540568
fpru	0.470330	0.513455	0.444845	0.487013	0.492006	0.468009	0.497842	0.441549	0.501797	0.470128	0.486467	0.495702	0.482487	0.475142	0.467569	0.476500	0.481752	0.469504	0.480292	0.492386	0.479739
tprp	0.860440	0.860957	0.819290	0.846857	0.861953	0.854767	0.844649	0.838895	0.841814	0.853409	0.849607	0.844639	0.847755	0.849143	0.839145	0.856172	0.844944	0.852679	0.838780	0.844271	0.847508
tpru	0.863574	0.875000	0.865599	0.879892	0.873383	0.860274	0.873401	0.845511	0.874483	0.861054	0.853793	0.870654	0.872460	0.846841	0.857931	0.865944	0.876703	0.865331	0.875772	0.868349	0.866298
spd	0.058693	0.047927	0.051106	0.031657	0.044587	0.064900	0.034059	0.057804	0.034770	0.055987	0.063572	0.046163	0.048111	0.061100	0.049004	0.055207	0.038581	0.066577	0.040530	0.046039	0.049819
aod	0.028485	0.020949	0.025997	0.005247	0.016385	0.033225	0.009431	0.026765	0.005096	0.024734	0.034884	0.014670	0.015035	0.032211	0.018146	0.028242	0.014503	0.034722	0.011936	0.019740	0.021020
eod	0.003135	0.014043	0.046308	0.033035	0.011430	0.005507	0.028752	0.006616	0.032669	0.007645	0.004186	0.026015	0.024705	0.002302	0.018786	0.009772	0.031759	0.012653	0.036992	0.024078	0.019019
