accuracy	0.873669	0.870952	0.872816	0.872595	0.870921	0.869215	0.868425	0.864540	0.873227	0.866688	0.867983	0.867572	0.867793	0.869942	0.869278	0.871300	0.870510	0.869910	0.868931	0.867920	0.869709
recall	0.807218	0.810193	0.806138	0.813802	0.803459	0.786432	0.821290	0.825146	0.812521	0.794212	0.807159	0.817478	0.821004	0.773389	0.788038	0.807239	0.797442	0.793866	0.796921	0.818106	0.805052
precision	0.839687	0.833340	0.838039	0.835218	0.837728	0.845720	0.824548	0.815981	0.838113	0.833940	0.828016	0.823447	0.822480	0.859790	0.843826	0.836222	0.840502	0.841197	0.837172	0.824755	0.834986
f1score	0.821389	0.820669	0.820088	0.823574	0.818248	0.809421	0.822895	0.820369	0.823994	0.810887	0.816679	0.820385	0.821737	0.803444	0.810002	0.820035	0.815344	0.813186	0.813824	0.821334	0.817375
mcc	0.646089	0.643116	0.643387	0.648666	0.640271	0.629366	0.645829	0.641061	0.650130	0.626894	0.634833	0.640897	0.643482	0.627256	0.629396	0.642808	0.636488	0.633296	0.632814	0.642826	0.638945
srp	0.275303	0.286135	0.264503	0.292650	0.272454	0.243219	0.310123	0.333147	0.282751	0.262996	0.284889	0.296350	0.315757	0.215940	0.250058	0.280868	0.260654	0.256254	0.264594	0.310873	0.277976
sru	0.084777	0.091228	0.107756	0.085090	0.091445	0.082763	0.110533	0.098205	0.097488	0.093150	0.096692	0.124964	0.098350	0.076788	0.076294	0.088133	0.089225	0.086623	0.089562	0.095932	0.093250
fprp	0.089232	0.100231	0.083844	0.103025	0.088782	0.069008	0.117804	0.140624	0.094276	0.084768	0.101162	0.108931	0.125823	0.049118	0.074119	0.094429	0.080248	0.079353	0.084350	0.119394	0.094426
fpru	0.018519	0.019789	0.029377	0.016088	0.020499	0.016437	0.033145	0.026237	0.022467	0.023794	0.026412	0.042709	0.023358	0.013133	0.013579	0.019340	0.020543	0.016721	0.020712	0.024393	0.022363
tprp	0.687632	0.695958	0.667020	0.709007	0.674502	0.626157	0.730418	0.758714	0.693686	0.654415	0.692504	0.710863	0.737779	0.582087	0.635522	0.688723	0.655784	0.643797	0.661363	0.729089	0.681751
tpru	0.612316	0.654814	0.720851	0.629534	0.640506	0.597092	0.711993	0.680036	0.679932	0.624473	0.655536	0.760980	0.677392	0.582103	0.576923	0.629948	0.631944	0.638481	0.611804	0.661193	0.648892
spd	0.190526	0.194906	0.156747	0.207560	0.181010	0.160456	0.199589	0.234942	0.185263	0.169845	0.188197	0.171386	0.217408	0.139152	0.173764	0.192735	0.171429	0.169631	0.175032	0.214941	0.184726
aod	0.073015	0.060793	0.000318	0.083205	0.051139	0.040818	0.051542	0.096532	0.042781	0.045458	0.055859	0.008053	0.081426	0.017985	0.059570	0.066932	0.041772	0.033974	0.056599	0.081449	0.052461
eod	0.075316	0.041145	0.053831	0.079473	0.033996	0.029066	0.018425	0.078678	0.013753	0.029942	0.036968	0.050116	0.060387	0.000015	0.058599	0.058775	0.023840	0.005315	0.049559	0.067896	0.043255
