accuracy	0.769231	0.756951	0.772706	0.775255	0.775487	0.775255	0.767377	0.773633	0.776182	0.772475	0.767146	0.766450	0.768072	0.765524	0.755097	0.778962	0.756719	0.773865	0.770621	0.765987	0.769150
recall	0.758528	0.762600	0.768253	0.774146	0.765647	0.768808	0.758610	0.774303	0.770585	0.769956	0.764964	0.764926	0.757456	0.763110	0.751894	0.775739	0.744562	0.767303	0.767666	0.770588	0.764982
precision	0.775081	0.760679	0.772647	0.773336	0.782405	0.776082	0.772158	0.773102	0.776572	0.771013	0.765526	0.764544	0.780024	0.764189	0.753693	0.777349	0.767816	0.776181	0.768362	0.768619	0.770969
f1score	0.761273	0.756823	0.769526	0.773680	0.768244	0.770705	0.760832	0.773207	0.772237	0.770403	0.765219	0.764721	0.759409	0.763553	0.752561	0.776400	0.746563	0.769194	0.767985	0.765829	0.765418
mcc	0.533352	0.523275	0.540882	0.547482	0.547796	0.544842	0.530595	0.547405	0.547125	0.540968	0.530489	0.529470	0.537006	0.527298	0.505584	0.553086	0.511850	0.543412	0.536028	0.539203	0.535857
srp	0.786064	0.633050	0.744734	0.710976	0.748489	0.749696	0.748768	0.656790	0.713065	0.630137	0.712213	0.656289	0.767273	0.662977	0.686869	0.706311	0.794964	0.760341	0.703163	0.647619	0.710989
sru	0.596055	0.433725	0.536905	0.496568	0.601892	0.556828	0.590183	0.474900	0.556477	0.534870	0.509315	0.514375	0.619307	0.525264	0.530647	0.525773	0.620046	0.561248	0.521752	0.436997	0.537156
fprp	0.473868	0.257627	0.405594	0.338983	0.406040	0.403448	0.417808	0.274914	0.351171	0.264808	0.351536	0.267361	0.440678	0.288194	0.325088	0.326389	0.500000	0.442568	0.375862	0.239726	0.357583
fpru	0.325469	0.168697	0.264775	0.219952	0.327503	0.281250	0.323952	0.205934	0.280216	0.258886	0.244946	0.249403	0.355741	0.263406	0.279811	0.247002	0.367225	0.285203	0.241672	0.171187	0.268112
tprp	0.954802	0.842803	0.930902	0.920000	0.941399	0.938086	0.934615	0.870906	0.921154	0.833333	0.910112	0.873786	0.949057	0.868571	0.888016	0.910448	0.948905	0.939163	0.881579	0.864964	0.906130
tpru	0.838482	0.668828	0.790314	0.747817	0.850355	0.807545	0.832606	0.733632	0.806979	0.790137	0.755396	0.756124	0.864088	0.771318	0.762842	0.780702	0.853591	0.815732	0.772653	0.679692	0.783942
spd	0.190009	0.199325	0.207828	0.214408	0.146597	0.192868	0.158586	0.181890	0.156588	0.095267	0.202898	0.141914	0.147966	0.137713	0.156222	0.180537	0.174918	0.199093	0.181411	0.210622	0.173833
aod	0.132359	0.131453	0.140704	0.145607	0.084791	0.126370	0.097933	0.103127	0.092564	0.024559	0.130653	0.067810	0.084953	0.061021	0.085226	0.104566	0.114045	0.140398	0.121558	0.126905	0.105830
eod	0.116320	0.173975	0.140588	0.172183	0.091044	0.130541	0.102009	0.137274	0.114175	0.043196	0.154717	0.117662	0.084968	0.097254	0.125174	0.129746	0.095314	0.123432	0.108926	0.185272	0.122189
