accuracy	0.899302	0.899208	0.899630	0.899770	0.898365	0.899817	0.898505	0.897802	0.899255	0.899724	0.900614	0.898084	0.901223	0.898130	0.901551	0.901645	0.899161	0.899817	0.900145	0.900567	0.899616
recall	0.686289	0.680853	0.681749	0.681693	0.685187	0.686366	0.680849	0.676782	0.682626	0.679060	0.685757	0.681947	0.685599	0.683830	0.694779	0.688601	0.685300	0.687587	0.689221	0.688629	0.684635
precision	0.797979	0.795718	0.797821	0.795040	0.795976	0.800148	0.794220	0.791322	0.797756	0.794094	0.798904	0.793511	0.799400	0.797709	0.803020	0.803352	0.797215	0.800071	0.800078	0.800569	0.797695
f1score	0.723774	0.718662	0.719898	0.719290	0.722341	0.724340	0.718293	0.714139	0.720606	0.716832	0.723628	0.719049	0.723649	0.721530	0.732137	0.727064	0.722763	0.725357	0.726760	0.726403	0.722326
mcc	0.471213	0.462521	0.465311	0.463062	0.468235	0.473022	0.461344	0.453874	0.466383	0.458958	0.471268	0.462184	0.471458	0.467879	0.485889	0.478382	0.469356	0.474507	0.476576	0.476219	0.468882
srp	0.186007	0.160656	0.173633	0.177365	0.168614	0.155779	0.178218	0.160622	0.179229	0.157191	0.172650	0.176661	0.168317	0.151961	0.161398	0.168285	0.176471	0.172241	0.167539	0.175698	0.169427
sru	0.072127	0.070137	0.069598	0.069835	0.072944	0.072310	0.070364	0.069695	0.070334	0.069132	0.071064	0.071367	0.070461	0.072604	0.074976	0.071225	0.072014	0.072506	0.073382	0.072255	0.071416
fprp	0.072727	0.069767	0.065263	0.073333	0.063043	0.058190	0.073753	0.049550	0.062084	0.060870	0.060268	0.070213	0.076433	0.060797	0.056277	0.063694	0.075055	0.068132	0.054920	0.063043	0.064871
fpru	0.026626	0.025970	0.025702	0.026131	0.027279	0.026327	0.026410	0.026975	0.026128	0.026072	0.026255	0.026991	0.025496	0.026662	0.027090	0.025472	0.026529	0.026375	0.027003	0.026414	0.026395
tprp	0.527397	0.474453	0.523810	0.507042	0.517986	0.496241	0.510345	0.525926	0.541096	0.478261	0.540146	0.517007	0.488889	0.474074	0.510791	0.503401	0.500000	0.503497	0.529412	0.523490	0.509663
tpru	0.393093	0.384194	0.382503	0.384129	0.392142	0.394900	0.382422	0.373437	0.383775	0.379952	0.390980	0.384825	0.393139	0.391121	0.412335	0.397879	0.392705	0.396979	0.399613	0.397656	0.390389
spd	0.113880	0.090519	0.104035	0.107530	0.095671	0.083469	0.107854	0.090927	0.108896	0.088059	0.101586	0.105295	0.097856	0.079357	0.086422	0.097060	0.104457	0.099734	0.094157	0.103442	0.098010
aod	0.090203	0.067028	0.090434	0.085058	0.080804	0.066602	0.087633	0.087531	0.096639	0.066553	0.091589	0.087702	0.073344	0.058544	0.063822	0.071872	0.077911	0.074137	0.078858	0.081231	0.078875
eod	0.134305	0.090259	0.141307	0.122913	0.125844	0.101341	0.127923	0.152488	0.157321	0.098308	0.149166	0.132182	0.095750	0.082953	0.098456	0.105522	0.107295	0.106517	0.129799	0.125834	0.119274
