accuracy	0.797143	0.784286	0.801429	0.798571	0.792857	0.785714	0.805714	0.775714	0.782857	0.790000	0.795714	0.808571	0.794286	0.787143	0.795714	0.784286	0.780000	0.800000	0.795714	0.785714	0.792071
recall	0.724453	0.716501	0.718108	0.732942	0.709880	0.723800	0.718128	0.700427	0.708844	0.721887	0.714806	0.734522	0.714183	0.718952	0.717327	0.711949	0.693637	0.730066	0.708669	0.712012	0.716555
precision	0.772596	0.750917	0.767773	0.771773	0.756667	0.754988	0.771365	0.745306	0.746569	0.764118	0.760181	0.775492	0.756244	0.763674	0.760314	0.745709	0.744993	0.767838	0.765081	0.757007	0.759930
f1score	0.740074	0.728634	0.734732	0.746605	0.725372	0.735092	0.735849	0.714081	0.721769	0.735823	0.730170	0.749466	0.728787	0.733094	0.732152	0.724072	0.708872	0.743735	0.726047	0.726366	0.731040
mcc	0.494712	0.466149	0.483336	0.503219	0.464195	0.477771	0.486589	0.443468	0.453848	0.484167	0.472814	0.508366	0.468543	0.480549	0.475702	0.456411	0.435613	0.496469	0.470380	0.466855	0.474458
srp	0.796134	0.795414	0.833034	0.807420	0.809107	0.782918	0.825000	0.799283	0.821678	0.802817	0.821239	0.815331	0.807356	0.803887	0.830961	0.805755	0.821109	0.822064	0.830688	0.811151	0.812117
sru	0.679389	0.601504	0.615385	0.559701	0.682171	0.608696	0.678571	0.676056	0.531250	0.598485	0.622222	0.587302	0.658915	0.604478	0.565217	0.604167	0.673759	0.536232	0.646617	0.625000	0.617756
fprp	0.462963	0.487342	0.517730	0.474026	0.503268	0.459627	0.503448	0.506250	0.543046	0.487654	0.506757	0.476190	0.503311	0.493827	0.517483	0.496599	0.532051	0.500000	0.543046	0.512821	0.501372
fpru	0.461538	0.375000	0.383333	0.344262	0.440000	0.385965	0.423077	0.473684	0.305085	0.375000	0.400000	0.345455	0.392157	0.389831	0.360656	0.393443	0.480769	0.306452	0.377358	0.389831	0.390145
tprp	0.928747	0.914425	0.939904	0.932039	0.921053	0.912718	0.937349	0.917085	0.921615	0.928571	0.932854	0.932084	0.916667	0.928218	0.937947	0.916870	0.933002	0.935096	0.935096	0.927500	0.927442
tpru	0.822785	0.766234	0.783133	0.739726	0.835443	0.765432	0.829545	0.811765	0.724638	0.763158	0.775000	0.774648	0.833333	0.773333	0.727273	0.759036	0.786517	0.723684	0.825000	0.788235	0.780396
spd	0.116744	0.193911	0.217649	0.247719	0.126936	0.174222	0.146429	0.123227	0.290428	0.204332	0.199017	0.228029	0.148441	0.199409	0.265743	0.201589	0.147350	0.285832	0.184071	0.186151	0.194362
aod	0.053693	0.130267	0.145584	0.161038	0.074439	0.110474	0.094088	0.068943	0.217470	0.139034	0.132305	0.144086	0.097244	0.129441	0.183751	0.130495	0.098884	0.202480	0.137892	0.131127	0.129137
eod	0.105962	0.148192	0.156771	0.192313	0.085610	0.147286	0.107804	0.105321	0.196978	0.165414	0.157854	0.157436	0.083333	0.154884	0.210675	0.157834	0.146486	0.211412	0.110096	0.139265	0.147046
