accuracy	0.923481	0.915374	0.922918	0.924793	0.924090	0.923621	0.920763	0.918420	0.931259	0.921747	0.930275	0.927698	0.926480	0.926667	0.925074	0.925964	0.919310	0.924980	0.933977	0.933087	0.924999
recall	0.792952	0.743954	0.745050	0.822659	0.790855	0.820666	0.772284	0.756510	0.817943	0.782479	0.831579	0.873698	0.828526	0.833712	0.796434	0.763358	0.790756	0.808046	0.873985	0.839277	0.804236
precision	0.842534	0.834051	0.872317	0.830419	0.847157	0.830905	0.841439	0.839949	0.857436	0.835441	0.845559	0.827429	0.833352	0.837595	0.846222	0.870962	0.828041	0.840788	0.843789	0.853201	0.842929
f1score	0.814936	0.779054	0.790698	0.826471	0.815415	0.825665	0.801282	0.789947	0.836020	0.805694	0.838357	0.848198	0.830913	0.835637	0.818537	0.804520	0.807745	0.823205	0.857922	0.846033	0.819812
mcc	0.633549	0.570940	0.604106	0.653032	0.635523	0.651490	0.609814	0.590594	0.674224	0.615646	0.676993	0.699598	0.661860	0.671296	0.640725	0.625127	0.617672	0.648008	0.717139	0.692338	0.644484
srp	0.127986	0.111475	0.094855	0.148649	0.161937	0.184255	0.110561	0.105354	0.140704	0.102007	0.135043	0.173420	0.145215	0.158497	0.116473	0.084142	0.112605	0.118729	0.176265	0.178982	0.134358
sru	0.105950	0.087647	0.078382	0.121162	0.102883	0.121143	0.097468	0.091273	0.110056	0.102444	0.119580	0.148282	0.122402	0.126104	0.106172	0.085654	0.110768	0.113436	0.139879	0.119429	0.110506
fprp	0.015909	0.019027	0.008421	0.024444	0.032609	0.047414	0.019523	0.006757	0.013304	0.017391	0.013393	0.023404	0.029724	0.037736	0.012987	0.006369	0.017660	0.013187	0.025172	0.021739	0.020309
fpru	0.032182	0.026960	0.017171	0.041447	0.029924	0.040978	0.029051	0.027360	0.030583	0.032329	0.037076	0.054644	0.041101	0.041179	0.031439	0.019475	0.037206	0.035461	0.045977	0.035329	0.034344
tprp	0.465753	0.430657	0.374150	0.542254	0.589928	0.661654	0.400000	0.429630	0.534247	0.384058	0.532847	0.653061	0.548148	0.585185	0.460432	0.333333	0.415493	0.454545	0.661765	0.664430	0.506078
tpru	0.626310	0.519171	0.514712	0.694433	0.612866	0.683539	0.583203	0.545703	0.673557	0.608558	0.708627	0.809728	0.705836	0.714887	0.632661	0.558130	0.629414	0.661890	0.800387	0.716406	0.650001
spd	0.022036	0.023829	0.016473	0.027486	0.059054	0.063111	0.013093	0.014082	0.030648	0.000438	0.015463	0.025138	0.022813	0.032393	0.010301	0.001511	0.001837	0.005293	0.036387	0.059553	0.024047
aod	0.088414	0.048223	0.074656	0.084591	0.010127	0.007725	0.096366	0.068338	0.078295	0.119719	0.099732	0.093953	0.084532	0.066573	0.095341	0.118951	0.116734	0.114809	0.079714	0.032783	0.078979
eod	0.160556	0.088514	0.140562	0.152180	0.022938	0.021885	0.183203	0.116073	0.139310	0.224500	0.175781	0.156666	0.157688	0.129702	0.172229	0.224797	0.213921	0.207345	0.138622	0.051977	0.143922
