accuracy	0.847143	0.938571	0.951429	0.927143	0.928571	0.957143	0.927143	0.930000	0.958571	0.938571	0.917143	0.945714	0.947143	0.967143	0.960000	0.954286	0.875714	0.872857	0.955714	0.828571	0.926429
recall	0.768307	0.925686	0.924336	0.908583	0.927843	0.942499	0.938496	0.923896	0.936395	0.910170	0.895025	0.942721	0.952553	0.947964	0.966003	0.942503	0.829718	0.811034	0.941335	0.746823	0.904094
precision	0.865847	0.929089	0.956369	0.918665	0.905801	0.956900	0.898472	0.914744	0.964956	0.946256	0.902201	0.928214	0.925965	0.977092	0.942227	0.947541	0.864499	0.876798	0.950656	0.837430	0.920486
f1score	0.795801	0.927360	0.938596	0.913383	0.915647	0.949254	0.914519	0.919094	0.949174	0.925523	0.898500	0.935018	0.937661	0.960831	0.952886	0.944971	0.844156	0.834498	0.945831	0.771429	0.908707
mcc	0.626608	0.854768	0.880122	0.827186	0.833353	0.899284	0.836011	0.838590	0.900898	0.855666	0.797194	0.870815	0.878115	0.924597	0.907918	0.890030	0.693345	0.684681	0.891942	0.577185	0.823415
srp	0.815466	0.717813	0.768402	0.733216	0.695271	0.722420	0.689286	0.693548	0.758741	0.750000	0.743363	0.721254	0.697023	0.743816	0.718861	0.737410	0.767442	0.800712	0.733686	0.827338	0.741753
sru	0.770992	0.616541	0.650350	0.589552	0.620155	0.637681	0.571429	0.612676	0.601562	0.643939	0.614815	0.571429	0.596899	0.604478	0.521739	0.597222	0.666667	0.688406	0.654135	0.729167	0.627992
fprp	0.407407	0.094937	0.113475	0.129870	0.058824	0.080745	0.041379	0.087500	0.099338	0.160494	0.155405	0.054422	0.033113	0.104938	0.006993	0.088435	0.294872	0.301370	0.072848	0.480769	0.143357
fpru	0.519231	0.142857	0.200000	0.163934	0.120000	0.140351	0.019231	0.105263	0.169492	0.178571	0.163636	0.090909	0.039216	0.101695	0.049180	0.081967	0.250000	0.435484	0.150943	0.423729	0.177284
tprp	0.977887	0.958435	0.990385	0.958738	0.928230	0.980050	0.915663	0.937186	0.995249	0.985222	0.952038	0.950820	0.935714	1.000000	0.961814	0.970660	0.950372	0.975962	0.973558	0.962500	0.963024
tpru	0.936709	0.961039	0.975904	0.945205	0.936709	0.987654	0.897727	0.952941	0.971014	0.986842	0.925000	0.943662	0.961538	1.000000	0.896104	0.975904	0.910112	0.894737	0.987500	0.941176	0.949374
spd	0.044473	0.101272	0.118053	0.143663	0.075116	0.084739	0.117857	0.080872	0.157179	0.106061	0.128548	0.149826	0.100124	0.139339	0.197122	0.140188	0.100775	0.112306	0.079551	0.098171	0.113762
aod	0.035323	0.025262	0.036022	0.010266	0.034828	0.033605	0.020042	0.016759	0.022959	0.009849	0.009404	0.014665	0.015964	0.001622	0.011761	0.000612	0.042566	0.026445	0.046019	0.039182	0.022658
eod	0.041178	0.002604	0.014481	0.013532	0.008479	0.007604	0.017935	0.015755	0.024235	0.001620	0.027038	0.007158	0.025824	0.000000	0.065710	0.005243	0.040260	0.081225	0.013942	0.021324	0.021757
