accuracy	0.795714	0.784286	0.801429	0.795714	0.790000	0.788571	0.801429	0.770000	0.777143	0.777143	0.788571	0.788571	0.785714	0.785714	0.781429	0.780000	0.788571	0.792857	0.784286	0.781429	0.786929
recall	0.716886	0.709963	0.712166	0.721817	0.704954	0.725875	0.704337	0.689942	0.695238	0.701245	0.698120	0.711639	0.699332	0.709378	0.691374	0.700575	0.694184	0.713884	0.687619	0.703740	0.704613
precision	0.774754	0.753863	0.771429	0.772554	0.753109	0.759320	0.770060	0.739003	0.741188	0.749175	0.753600	0.746412	0.745447	0.767368	0.743111	0.741869	0.765045	0.761533	0.751740	0.752664	0.755662
f1score	0.734081	0.724072	0.730560	0.737793	0.720532	0.737812	0.723861	0.703763	0.709386	0.715420	0.714808	0.724289	0.714286	0.725430	0.706889	0.714137	0.712542	0.729390	0.704939	0.718483	0.720124
mcc	0.488222	0.461743	0.479949	0.491761	0.455525	0.484040	0.469823	0.426130	0.434000	0.447863	0.448300	0.456729	0.442381	0.473205	0.431393	0.440513	0.453729	0.473023	0.434655	0.453774	0.457338
srp	0.787346	0.779541	0.813285	0.791519	0.796848	0.759786	0.810714	0.786738	0.788462	0.785211	0.800000	0.782230	0.793345	0.789753	0.802491	0.782374	0.808587	0.798932	0.814815	0.785971	0.792898
sru	0.786260	0.744361	0.748252	0.716418	0.751938	0.717391	0.814286	0.767606	0.757812	0.742424	0.792593	0.722222	0.767442	0.761194	0.768116	0.756944	0.822695	0.710145	0.789474	0.756944	0.759726
fprp	0.456790	0.462025	0.460993	0.448052	0.483660	0.428571	0.475862	0.487500	0.463576	0.475309	0.472973	0.442177	0.470199	0.462963	0.482517	0.455782	0.512821	0.458904	0.523179	0.474359	0.469911
fpru	0.576923	0.535714	0.583333	0.524590	0.540000	0.473684	0.634615	0.614035	0.627119	0.571429	0.636364	0.545455	0.607843	0.593220	0.622951	0.590164	0.615385	0.532258	0.603774	0.559322	0.579409
tprp	0.918919	0.902200	0.932692	0.919903	0.911483	0.892768	0.927711	0.907035	0.904988	0.908867	0.916067	0.899297	0.909524	0.920792	0.911695	0.899756	0.923077	0.918269	0.920673	0.907500	0.912661
tpru	0.924051	0.896104	0.867470	0.876712	0.886076	0.888889	0.920455	0.870588	0.869565	0.868421	0.900000	0.859155	0.871795	0.893333	0.883117	0.879518	0.943820	0.855263	0.912500	0.894118	0.888047
spd	0.001087	0.035181	0.065034	0.075102	0.044910	0.042395	0.003571	0.019133	0.030649	0.042787	0.007407	0.060008	0.025903	0.028559	0.034375	0.025430	0.014108	0.088787	0.025341	0.029027	0.034940
aod	0.062632	0.033796	0.028559	0.016674	0.015466	0.020617	0.075749	0.045044	0.064060	0.027837	0.073662	0.031568	0.049958	0.051399	0.055928	0.057072	0.061654	0.005174	0.036211	0.035790	0.042442
eod	0.005132	0.006097	0.065222	0.043191	0.025407	0.003879	0.007256	0.036447	0.035423	0.040446	0.016067	0.040142	0.037729	0.027459	0.028578	0.020237	0.020743	0.063006	0.008173	0.013382	0.027201
