accuracy	0.956905	0.958063	0.956905	0.953892	0.952039	0.953429	0.953197	0.953892	0.956673	0.954356	0.953197	0.955051	0.952966	0.955051	0.952734	0.956905	0.955746	0.955514	0.951807	0.952966	0.954564
recall	0.954947	0.956444	0.955746	0.952312	0.950849	0.951926	0.951493	0.952892	0.955527	0.953372	0.951948	0.953635	0.951192	0.953751	0.951303	0.955123	0.954171	0.954538	0.950373	0.950847	0.953119
precision	0.958127	0.958839	0.957505	0.954766	0.952355	0.954130	0.954261	0.954550	0.957098	0.954667	0.953808	0.955796	0.954327	0.955879	0.953599	0.958096	0.956647	0.955812	0.952233	0.954459	0.955348
f1score	0.956318	0.957513	0.956524	0.953379	0.951538	0.952901	0.952674	0.953596	0.956241	0.953962	0.952767	0.954583	0.952479	0.954662	0.952286	0.956392	0.955249	0.955121	0.951219	0.952354	0.954088
mcc	0.913069	0.915280	0.913250	0.907074	0.903203	0.906053	0.905749	0.907441	0.912624	0.908038	0.905754	0.909428	0.905513	0.909627	0.904900	0.913214	0.910815	0.910349	0.902605	0.905298	0.908464
srp	0.613468	0.614648	0.606162	0.609116	0.598232	0.615700	0.609299	0.592872	0.613559	0.608006	0.606019	0.616059	0.612081	0.605372	0.611073	0.609890	0.606225	0.613169	0.610477	0.615228	0.609333
sru	0.540092	0.535902	0.523202	0.533473	0.532513	0.529288	0.534957	0.521526	0.523055	0.520753	0.525929	0.525406	0.531139	0.525838	0.526113	0.537063	0.534531	0.518544	0.532720	0.539543	0.529579
fprp	0.040000	0.033808	0.047377	0.052356	0.039655	0.039076	0.052448	0.035593	0.043783	0.045694	0.036778	0.047535	0.045061	0.045061	0.052265	0.041885	0.047619	0.040925	0.038529	0.052448	0.043895
fpru	0.074725	0.069818	0.062725	0.069986	0.071221	0.074047	0.073381	0.072535	0.062545	0.063300	0.073362	0.068052	0.080057	0.069602	0.071276	0.073030	0.069343	0.063121	0.074453	0.079043	0.070781
tprp	0.975824	0.977753	0.972284	0.973714	0.961841	0.975610	0.975834	0.971231	0.973451	0.971591	0.970819	0.969365	0.970427	0.974857	0.971879	0.978482	0.975281	0.972098	0.966231	0.973304	0.972594
tpru	0.973397	0.968919	0.967967	0.966937	0.964602	0.963014	0.967003	0.965205	0.964828	0.960986	0.964138	0.969402	0.973371	0.967033	0.966207	0.971564	0.968665	0.962017	0.963624	0.972715	0.967080
spd	0.073376	0.078746	0.082960	0.075643	0.065719	0.086412	0.074343	0.071346	0.090504	0.087252	0.080091	0.090654	0.080941	0.079534	0.084960	0.072827	0.071693	0.094624	0.077757	0.075685	0.079753
aod	0.016149	0.013588	0.005515	0.005426	0.017163	0.011188	0.006051	0.015458	0.005069	0.003500	0.014951	0.010276	0.018970	0.008359	0.006670	0.012113	0.007554	0.006057	0.016658	0.013003	0.010686
eod	0.002427	0.008834	0.004317	0.006778	0.002761	0.012596	0.008831	0.006026	0.008624	0.010605	0.006681	0.000037	0.002944	0.007824	0.005672	0.006918	0.006616	0.010082	0.002607	0.000589	0.006088
