accuracy	0.712234	0.699259	0.708295	0.706441	0.708526	0.712002	0.706441	0.710843	0.701576	0.711307	0.696942	0.706673	0.709222	0.698563	0.709222	0.706905	0.710843	0.704819	0.714782	0.697637	0.706627
recall	0.701794	0.687630	0.700666	0.696791	0.698992	0.702222	0.697103	0.705518	0.692558	0.703002	0.688137	0.697899	0.700585	0.691211	0.701819	0.697816	0.700974	0.696373	0.704078	0.687404	0.697629
precision	0.712763	0.699745	0.709060	0.707642	0.709408	0.713228	0.707576	0.711679	0.701987	0.712830	0.698157	0.707342	0.711186	0.699108	0.709679	0.707159	0.712557	0.705785	0.715940	0.697985	0.707541
f1score	0.703224	0.688724	0.701589	0.697820	0.700135	0.703448	0.698110	0.706175	0.693514	0.703958	0.688754	0.698933	0.701435	0.691894	0.702788	0.698963	0.702086	0.697260	0.705531	0.688351	0.698635
mcc	0.414412	0.387186	0.409640	0.404287	0.408267	0.415305	0.404544	0.417151	0.394432	0.415716	0.386163	0.405131	0.411634	0.390239	0.411423	0.404866	0.413369	0.402048	0.419850	0.385244	0.405045
srp	0.639057	0.644764	0.622237	0.622928	0.634262	0.643686	0.636364	0.612748	0.633220	0.632160	0.640903	0.641026	0.628859	0.634298	0.612440	0.627747	0.637348	0.631001	0.640027	0.634942	0.632501
sru	0.615684	0.626620	0.600779	0.622734	0.613357	0.611715	0.612870	0.581029	0.608237	0.606557	0.608970	0.601976	0.614296	0.593226	0.601472	0.609441	0.618746	0.606718	0.620092	0.619332	0.609692
fprp	0.415652	0.443060	0.433164	0.411867	0.417241	0.410302	0.417832	0.384746	0.429072	0.402460	0.436077	0.434859	0.407279	0.433276	0.393728	0.408377	0.435374	0.423488	0.427320	0.430070	0.419762
fpru	0.395604	0.418909	0.372747	0.406205	0.396802	0.397556	0.400719	0.366901	0.397556	0.391892	0.407407	0.385387	0.399571	0.387074	0.383464	0.395517	0.392701	0.392908	0.391971	0.414793	0.394784
tprp	0.780220	0.770857	0.746120	0.761143	0.775533	0.789357	0.780207	0.767549	0.762168	0.780682	0.772166	0.769147	0.768894	0.766857	0.753656	0.770102	0.770787	0.761161	0.772331	0.765295	0.769211
tpru	0.820600	0.819595	0.821031	0.825236	0.816201	0.815753	0.811448	0.792624	0.810345	0.813142	0.804138	0.812239	0.824807	0.792582	0.812414	0.809749	0.829700	0.814917	0.834592	0.811733	0.814642
spd	0.023374	0.018144	0.021458	0.000195	0.020906	0.031971	0.023494	0.031719	0.024984	0.025603	0.031933	0.039050	0.014563	0.041071	0.010968	0.018307	0.018602	0.024283	0.019935	0.015610	0.022808
aod	0.010166	0.012293	0.007247	0.029215	0.010115	0.006825	0.007064	0.003615	0.008330	0.010946	0.001651	0.003190	0.024103	0.010238	0.024247	0.013394	0.008120	0.011588	0.013455	0.015581	0.011569
eod	0.040380	0.048738	0.074911	0.064093	0.040668	0.026396	0.031241	0.025075	0.048177	0.032460	0.031972	0.043093	0.055914	0.025725	0.058758	0.039648	0.058914	0.053756	0.062260	0.046438	0.045431
