accuracy	0.798571	0.791429	0.801429	0.801429	0.798571	0.792857	0.805714	0.765714	0.781429	0.780000	0.792857	0.795714	0.785714	0.782857	0.792857	0.775714	0.781429	0.795714	0.780000	0.788571	0.789429
recall	0.722866	0.721645	0.716622	0.731120	0.719732	0.730243	0.713496	0.688105	0.701020	0.705832	0.706966	0.721072	0.703746	0.706071	0.708096	0.698913	0.687715	0.718691	0.683151	0.715368	0.710024
precision	0.776959	0.762241	0.768619	0.778935	0.763653	0.765359	0.774280	0.731264	0.747159	0.752557	0.758160	0.756272	0.743756	0.763146	0.759020	0.734573	0.751852	0.764930	0.744344	0.761076	0.757908
f1score	0.739654	0.735450	0.733710	0.746862	0.734928	0.742725	0.732617	0.700827	0.715486	0.720017	0.723282	0.734081	0.717487	0.721769	0.724334	0.711123	0.704593	0.734081	0.699685	0.730014	0.725136
mcc	0.496890	0.482180	0.482448	0.507809	0.481386	0.494356	0.483974	0.417143	0.445798	0.456002	0.462300	0.476045	0.445710	0.465733	0.464332	0.432017	0.434863	0.481406	0.423093	0.474246	0.465386
srp	0.780316	0.770723	0.804309	0.782686	0.782837	0.761566	0.801786	0.774194	0.790210	0.778169	0.791150	0.783972	0.788091	0.784452	0.802491	0.775180	0.806798	0.793594	0.813051	0.780576	0.787308
sru	0.786260	0.744361	0.741259	0.723881	0.767442	0.717391	0.814286	0.781690	0.742188	0.757576	0.792593	0.706349	0.744186	0.783582	0.739130	0.750000	0.808511	0.717391	0.789474	0.743056	0.757530
fprp	0.444444	0.430380	0.446809	0.422078	0.444444	0.422360	0.448276	0.475000	0.463576	0.462963	0.445946	0.428571	0.456954	0.450617	0.461538	0.462585	0.512821	0.438356	0.523179	0.455128	0.454801
fpru	0.557692	0.535714	0.566667	0.524590	0.540000	0.473684	0.634615	0.631579	0.593220	0.571429	0.636364	0.527273	0.588235	0.644068	0.573770	0.557377	0.634615	0.548387	0.622642	0.525424	0.574367
tprp	0.914005	0.902200	0.925481	0.917476	0.906699	0.897756	0.925301	0.894472	0.907363	0.903941	0.913669	0.906323	0.907143	0.918317	0.918854	0.887531	0.920596	0.918269	0.918269	0.907500	0.910558
tpru	0.936709	0.896104	0.867470	0.890411	0.911392	0.888889	0.920455	0.882353	0.869565	0.894737	0.900000	0.845070	0.846154	0.893333	0.870130	0.891566	0.910112	0.855263	0.900000	0.894118	0.888192
spd	0.005943	0.026362	0.063050	0.058805	0.015395	0.044175	0.012500	0.007497	0.048022	0.020593	0.001442	0.077623	0.043905	0.000870	0.063361	0.025180	0.001713	0.076203	0.023577	0.037520	0.032687
aod	0.067976	0.049619	0.030924	0.037724	0.050125	0.021229	0.090746	0.072230	0.045923	0.049631	0.088374	0.018724	0.035146	0.084234	0.031754	0.049414	0.055656	0.023512	0.040597	0.028457	0.048600
eod	0.022704	0.006097	0.058011	0.027065	0.004694	0.008867	0.004847	0.012119	0.037798	0.009204	0.013669	0.061253	0.060989	0.024983	0.048725	0.004036	0.010483	0.063006	0.018269	0.013382	0.025510
