accuracy	0.824058	0.829218	0.824427	0.827670	0.828849	0.829955	0.830324	0.830913	0.827744	0.832830	0.825533	0.828112	0.830545	0.824132	0.828112	0.829071	0.832461	0.831577	0.833198	0.827965	0.828835
recall	0.736519	0.742255	0.737927	0.739394	0.741249	0.741801	0.742408	0.742773	0.737924	0.744051	0.733054	0.738686	0.745639	0.732054	0.735681	0.736503	0.743285	0.741964	0.748101	0.738147	0.739971
precision	0.772808	0.777586	0.773962	0.774844	0.775020	0.776817	0.777772	0.782711	0.772768	0.781053	0.775262	0.777491	0.780710	0.770449	0.776935	0.777647	0.781885	0.781360	0.781276	0.774280	0.777132
f1score	0.751080	0.756669	0.752411	0.753813	0.755159	0.756147	0.756873	0.758669	0.752167	0.759118	0.749455	0.754161	0.759986	0.747296	0.751912	0.752740	0.758841	0.757739	0.761903	0.752804	0.754947
mcc	0.508033	0.518640	0.510620	0.513015	0.515164	0.517435	0.518977	0.523964	0.509502	0.523799	0.506561	0.514716	0.525179	0.501034	0.510953	0.512502	0.523750	0.521840	0.528336	0.511151	0.515759
sr00	0.090012	0.107143	0.078219	0.095526	0.096415	0.093023	0.071693	0.091346	0.100621	0.089773	0.075117	0.079545	0.095906	0.100230	0.086957	0.088750	0.089835	0.100490	0.087321	0.087209	0.090257
sr01	0.118558	0.127565	0.120354	0.124825	0.113881	0.120800	0.127429	0.131063	0.120056	0.117117	0.120897	0.117845	0.123446	0.120938	0.124159	0.125105	0.120200	0.122689	0.120646	0.124152	0.122086
sr10	0.212269	0.219272	0.206740	0.210526	0.212547	0.204239	0.216936	0.209632	0.210380	0.222744	0.211282	0.212683	0.223823	0.197305	0.200952	0.209174	0.208373	0.203260	0.203777	0.201311	0.209861
sr11	0.254830	0.248149	0.257862	0.249232	0.254044	0.252231	0.247472	0.245316	0.247329	0.247801	0.244805	0.248962	0.253351	0.245906	0.241541	0.238513	0.247152	0.244040	0.255797	0.248427	0.248638
fpr00	0.054449	0.067270	0.045932	0.050198	0.058433	0.067754	0.037685	0.061438	0.059379	0.062195	0.042199	0.049046	0.056628	0.061069	0.052163	0.054274	0.052699	0.069057	0.058065	0.061869	0.056090
fpr01	0.058196	0.064618	0.063456	0.064176	0.057382	0.064791	0.064589	0.065204	0.062901	0.058184	0.060720	0.059611	0.068690	0.059297	0.061776	0.064712	0.059777	0.060839	0.061740	0.061772	0.062122
fpr10	0.113065	0.101523	0.102113	0.101887	0.101058	0.100000	0.113971	0.098039	0.104637	0.119165	0.095174	0.109877	0.108776	0.099751	0.094363	0.095923	0.104369	0.092707	0.100128	0.092138	0.102433
fpr11	0.103273	0.096273	0.103087	0.099873	0.103498	0.096066	0.096595	0.089527	0.099260	0.092237	0.097539	0.096381	0.093360	0.100781	0.093938	0.090777	0.093019	0.091436	0.098124	0.099729	0.096739
tpr00	0.551724	0.567164	0.434783	0.585714	0.607143	0.412698	0.454545	0.432836	0.578125	0.466667	0.442857	0.465517	0.487179	0.475610	0.507692	0.492063	0.514706	0.476190	0.459016	0.382353	0.489729
tpr01	0.526201	0.570156	0.531765	0.555556	0.523364	0.526316	0.589499	0.568750	0.540094	0.551887	0.537961	0.545667	0.541463	0.559633	0.545652	0.551802	0.543430	0.554810	0.575309	0.558559	0.549894
tpr10	0.554113	0.624454	0.569106	0.584416	0.649770	0.554622	0.574468	0.584362	0.584034	0.560000	0.589520	0.600000	0.625000	0.527426	0.572650	0.578125	0.585903	0.585470	0.559471	0.551181	0.580704
tpr11	0.566094	0.564259	0.570052	0.563262	0.568294	0.580100	0.567948	0.567216	0.562644	0.575886	0.548485	0.561221	0.578947	0.551645	0.552783	0.552937	0.571045	0.566348	0.585660	0.567106	0.566097
wcspd	0.164818	0.141006	0.179643	0.153706	0.157629	0.159208	0.175778	0.153970	0.146708	0.158028	0.169687	0.169416	0.157445	0.145675	0.154585	0.149763	0.157318	0.143550	0.168476	0.161217	0.158381
wcaod	0.042485	0.045771	0.096212	0.033285	0.085040	0.097857	0.098104	0.094064	0.042838	0.075151	0.099819	0.097656	0.094984	0.057874	0.053579	0.063855	0.061433	0.066465	0.083352	0.111307	0.075057
wceod	0.039893	0.060196	0.135269	0.030159	0.126405	0.167401	0.134953	0.151526	0.043939	0.109219	0.146663	0.134483	0.137821	0.084023	0.064957	0.086062	0.071197	0.109280	0.126644	0.184753	0.107242
