accuracy	0.831945	0.839242	0.831134	0.839390	0.841085	0.841896	0.840938	0.838579	0.840938	0.838063	0.838137	0.838579	0.838653	0.835483	0.838210	0.840938	0.841159	0.838137	0.841306	0.840127	0.838697
recall	0.712982	0.722371	0.709275	0.721309	0.725121	0.723222	0.722027	0.718832	0.721313	0.713986	0.717483	0.719851	0.720592	0.714858	0.716292	0.718514	0.720340	0.714764	0.721168	0.721466	0.718788
precision	0.808066	0.816172	0.811046	0.816674	0.815672	0.819947	0.818744	0.821104	0.817130	0.815451	0.821003	0.818142	0.819086	0.810795	0.817887	0.823225	0.821492	0.818714	0.820431	0.816249	0.817351
f1score	0.740665	0.750881	0.737673	0.750088	0.753367	0.752558	0.751231	0.748446	0.750400	0.743485	0.747200	0.748929	0.749695	0.743198	0.745802	0.748857	0.750225	0.744578	0.750805	0.750274	0.747918
mcc	0.512299	0.530311	0.510271	0.529463	0.533158	0.534488	0.532051	0.530162	0.529849	0.519624	0.528442	0.528939	0.530614	0.516824	0.524429	0.531523	0.532307	0.523252	0.532424	0.529296	0.526986
sr00	0.050555	0.059524	0.046931	0.058041	0.058096	0.050000	0.048208	0.056490	0.059627	0.048864	0.045775	0.053030	0.057310	0.052995	0.043478	0.047500	0.050827	0.056373	0.041866	0.041860	0.051368
sr01	0.076035	0.080976	0.073471	0.081164	0.071671	0.072202	0.078000	0.083106	0.074576	0.071509	0.074945	0.073513	0.076271	0.080814	0.077354	0.078749	0.076238	0.079272	0.070801	0.083710	0.076719
sr10	0.135346	0.164208	0.126594	0.127680	0.151685	0.131985	0.134158	0.141643	0.140871	0.150376	0.144615	0.132683	0.153698	0.125120	0.128571	0.128440	0.132255	0.139022	0.137177	0.130150	0.137814
sr11	0.200905	0.197804	0.196069	0.199238	0.204657	0.202529	0.197392	0.192730	0.196979	0.191054	0.194953	0.199487	0.196901	0.197389	0.194492	0.190341	0.195270	0.187147	0.198316	0.199185	0.196642
fpr00	0.017264	0.021992	0.017060	0.014531	0.018592	0.021330	0.013459	0.027451	0.014845	0.020732	0.011509	0.021798	0.020592	0.015267	0.013995	0.016282	0.015424	0.022576	0.011613	0.015152	0.017573
fpr01	0.021339	0.022806	0.020176	0.023308	0.017730	0.019595	0.019799	0.021630	0.019255	0.016944	0.018153	0.017533	0.024920	0.021270	0.018983	0.020402	0.018124	0.020493	0.018554	0.023286	0.020215
fpr10	0.048995	0.059645	0.045775	0.040252	0.050529	0.045000	0.042892	0.039216	0.047562	0.055283	0.037534	0.045679	0.054388	0.038653	0.039216	0.034772	0.042476	0.043263	0.043646	0.040541	0.044766
fpr11	0.064727	0.059006	0.060272	0.060903	0.065253	0.059286	0.060215	0.054680	0.061000	0.058082	0.058413	0.060011	0.054475	0.064463	0.059166	0.054285	0.057749	0.054499	0.059163	0.061176	0.059341
tpr00	0.482759	0.492537	0.376812	0.528571	0.589286	0.412698	0.439394	0.388060	0.578125	0.433333	0.428571	0.448276	0.423077	0.414634	0.400000	0.412698	0.455882	0.460317	0.426230	0.352941	0.447210
tpr01	0.445415	0.489978	0.458824	0.492063	0.462617	0.453089	0.505967	0.491667	0.481132	0.474057	0.468547	0.484778	0.468293	0.504587	0.471739	0.490991	0.483296	0.489933	0.474074	0.504505	0.479777
tpr10	0.432900	0.524017	0.406504	0.428571	0.548387	0.424370	0.451064	0.485597	0.470588	0.460000	0.493450	0.460465	0.500000	0.417722	0.440171	0.433594	0.458150	0.470085	0.458150	0.417323	0.459055
tpr11	0.480583	0.486692	0.469978	0.490091	0.495649	0.503265	0.488770	0.477978	0.486549	0.471495	0.476515	0.484927	0.486749	0.477429	0.479846	0.479907	0.484255	0.467304	0.489434	0.494957	0.483619
wcspd	0.150350	0.138280	0.149137	0.141197	0.146560	0.152529	0.149185	0.136240	0.137352	0.142191	0.149178	0.146457	0.139591	0.144394	0.151014	0.142841	0.144443	0.130774	0.156450	0.157325	0.145274
wcaod	0.039278	0.035439	0.068189	0.041086	0.063765	0.064262	0.048066	0.058574	0.046291	0.037756	0.047424	0.037432	0.055360	0.055996	0.062509	0.052606	0.035349	0.019455	0.055377	0.094021	0.050912
wceod	0.049858	0.037325	0.093166	0.100000	0.126669	0.090567	0.066573	0.103607	0.107537	0.040723	0.064878	0.036652	0.076923	0.089953	0.079846	0.078293	0.028373	0.029615	0.063204	0.151563	0.075766
