accuracy	0.642896	0.674770	0.648298	0.649919	0.646677	0.654241	0.649919	0.663965	0.668828	0.656402	0.678012	0.672069	0.668287	0.662885	0.666667	0.646677	0.665046	0.667747	0.658563	0.666667	0.660427
recall	0.630668	0.663841	0.627479	0.633731	0.631466	0.640881	0.632705	0.638756	0.652997	0.639849	0.658220	0.655033	0.649996	0.642709	0.646301	0.629762	0.648504	0.652012	0.646458	0.652485	0.643693
precision	0.657509	0.693860	0.655396	0.661079	0.656902	0.662592	0.661368	0.663166	0.680698	0.659434	0.692552	0.686566	0.676116	0.667727	0.678173	0.662114	0.681957	0.672790	0.675009	0.682526	0.671377
f1score	0.621302	0.657028	0.621091	0.626553	0.624378	0.635941	0.625240	0.637172	0.648221	0.637089	0.653641	0.649674	0.646554	0.639546	0.641104	0.619935	0.641220	0.649712	0.638603	0.645925	0.637996
mcc	0.286925	0.356439	0.281494	0.293538	0.287243	0.302695	0.292672	0.300934	0.332543	0.298641	0.349088	0.340140	0.325065	0.309426	0.322904	0.290078	0.328763	0.324136	0.320196	0.333662	0.313829
sr00	0.681685	0.658683	0.674146	0.653654	0.671906	0.645793	0.669347	0.661570	0.634672	0.649590	0.680872	0.650447	0.645192	0.668352	0.664980	0.694915	0.684466	0.630631	0.645975	0.666343	0.661661
sr01	0.732632	0.725451	0.756522	0.749499	0.726899	0.709812	0.729293	0.721893	0.735294	0.712871	0.717742	0.755274	0.730022	0.715139	0.744813	0.741483	0.748963	0.720559	0.754797	0.722793	0.732588
sr10	0.720930	0.771429	0.757991	0.765000	0.715686	0.726804	0.786802	0.759825	0.809756	0.696429	0.764706	0.792035	0.786070	0.719626	0.792035	0.754902	0.753769	0.742857	0.770335	0.795812	0.759140
sr11	0.800000	0.778571	0.829932	0.869281	0.845070	0.826923	0.853659	0.843284	0.879195	0.760274	0.887324	0.840278	0.850340	0.828767	0.845161	0.848276	0.800000	0.780142	0.859155	0.809859	0.831775
fpr00	0.542125	0.494465	0.548757	0.530957	0.531599	0.490566	0.538752	0.495868	0.472590	0.508982	0.506876	0.470817	0.492395	0.512000	0.503984	0.553030	0.545624	0.455090	0.509091	0.505597	0.510458
fpr01	0.604061	0.575472	0.596685	0.582915	0.635000	0.589109	0.593909	0.595855	0.578431	0.560386	0.565854	0.635922	0.560847	0.572864	0.595000	0.590000	0.577540	0.589041	0.605128	0.572139	0.588808
fpr10	0.578947	0.542857	0.649351	0.588235	0.506849	0.545455	0.573529	0.626506	0.701493	0.487500	0.554054	0.662338	0.612903	0.544304	0.670732	0.644737	0.575000	0.592105	0.537313	0.652778	0.592349
fpr11	0.720000	0.625000	0.680000	0.820000	0.714286	0.736842	0.792453	0.743590	0.787234	0.652174	0.804348	0.687500	0.732143	0.717391	0.729167	0.836735	0.574468	0.658537	0.750000	0.653061	0.720746
tpr00	0.842105	0.852174	0.804781	0.793991	0.829167	0.813008	0.817597	0.822938	0.808943	0.797895	0.858000	0.837728	0.801556	0.828221	0.831276	0.852632	0.835700	0.807229	0.802495	0.840404	0.823892
tpr01	0.823741	0.836237	0.860215	0.860000	0.790941	0.797834	0.818792	0.799363	0.852941	0.818792	0.824742	0.847015	0.846715	0.808581	0.851064	0.842809	0.857627	0.822695	0.861314	0.828671	0.832504
tpr10	0.798561	0.885714	0.816901	0.856061	0.832061	0.820312	0.899225	0.835616	0.862319	0.812500	0.884615	0.859060	0.863309	0.822222	0.861111	0.820312	0.873950	0.828358	0.880282	0.882353	0.849742
tpr11	0.844444	0.858696	0.907216	0.893204	0.900000	0.878788	0.882883	0.884211	0.921569	0.810000	0.927083	0.916667	0.923077	0.880000	0.897196	0.854167	0.913978	0.830000	0.930233	0.892473	0.887294
wcspd	0.118315	0.119889	0.155786	0.215627	0.173165	0.181131	0.184312	0.181714	0.244523	0.110684	0.206452	0.189831	0.205148	0.160415	0.180182	0.153361	0.115534	0.149511	0.213180	0.143516	0.170114
wcaod	0.093468	0.068528	0.116839	0.194128	0.137688	0.156028	0.159493	0.154497	0.213635	0.081087	0.183277	0.147811	0.180634	0.128585	0.145552	0.142620	0.053561	0.113109	0.184323	0.099767	0.137732
wceod	0.045883	0.049477	0.102436	0.099212	0.109059	0.080954	0.081628	0.084847	0.112626	0.020897	0.102341	0.078938	0.121521	0.071419	0.065921	0.033854	0.078279	0.022771	0.127738	0.063802	0.077680
