accuracy	0.733333	0.770000	0.726667	0.756667	0.710000	0.753333	0.730000	0.790000	0.756667	0.760000	0.760000	0.713333	0.730000	0.726667	0.720000	0.756667	0.760000	0.736667	0.753333	0.763333	0.745333
recall	0.667029	0.661432	0.649932	0.652394	0.626911	0.662900	0.646173	0.694881	0.673810	0.659879	0.669240	0.621641	0.639271	0.619279	0.636949	0.663880	0.669314	0.661580	0.683517	0.685499	0.657276
precision	0.671962	0.726950	0.691115	0.698418	0.661810	0.684584	0.717067	0.743750	0.710429	0.693684	0.747310	0.671559	0.699047	0.636334	0.673660	0.720550	0.725000	0.686591	0.718933	0.706506	0.699263
f1score	0.669312	0.676961	0.658542	0.664887	0.633587	0.671111	0.653446	0.710792	0.685123	0.671053	0.682801	0.627512	0.647698	0.625365	0.644850	0.676986	0.682801	0.669801	0.694114	0.693750	0.667025
mcc	0.338955	0.382816	0.338552	0.347780	0.286604	0.346807	0.356255	0.435900	0.382489	0.351943	0.409168	0.288919	0.332995	0.255044	0.308431	0.380230	0.390363	0.347272	0.400889	0.391442	0.353643
sr00	0.617647	0.793103	0.761905	0.850000	0.823529	0.640000	0.689655	0.681818	0.727273	0.625000	0.750000	0.657143	0.580645	0.588235	0.724138	0.925926	0.696970	0.735294	0.647059	0.681818	0.709858
sr01	0.728571	0.796610	0.794118	0.765625	0.634921	0.724638	0.827586	0.730159	0.788732	0.701493	0.765432	0.800000	0.810811	0.761905	0.803030	0.823529	0.792453	0.631579	0.793103	0.785714	0.763000
sr10	0.720000	0.607143	0.692308	0.750000	0.851852	0.703704	0.761905	0.653846	0.517241	0.769231	0.666667	0.689655	0.700000	0.681818	0.652174	0.578947	0.750000	0.666667	0.608696	0.541667	0.678176
sr11	0.748538	0.869565	0.783784	0.816667	0.812500	0.821229	0.833333	0.857143	0.826347	0.862857	0.878049	0.859649	0.872727	0.839779	0.796703	0.801075	0.823232	0.806283	0.789189	0.788043	0.824335
fpr00	0.444444	0.636364	0.555556	0.733333	0.777778	0.333333	0.500000	0.555556	0.416667	0.437500	0.538462	0.461538	0.375000	0.466667	0.538462	0.916667	0.619048	0.538462	0.550000	0.500000	0.544742
fpr01	0.571429	0.529412	0.636364	0.571429	0.500000	0.500000	0.684211	0.368421	0.576923	0.588235	0.545455	0.608696	0.523810	0.642857	0.652174	0.521739	0.500000	0.363636	0.631579	0.571429	0.554390
fpr10	0.600000	0.461538	0.545455	0.750000	0.750000	0.714286	0.900000	0.500000	0.333333	0.750000	0.500000	0.583333	0.769231	0.500000	0.500000	0.285714	0.571429	0.800000	0.571429	0.454545	0.592015
fpr11	0.432432	0.644444	0.561404	0.533333	0.547170	0.538462	0.589286	0.585366	0.581395	0.560976	0.666667	0.720000	0.708333	0.659091	0.592593	0.560000	0.560000	0.576923	0.440000	0.465116	0.576150
tpr00	0.812500	0.888889	0.916667	0.920000	0.875000	0.812500	1.000000	0.769231	0.904762	0.812500	0.933333	0.772727	0.800000	0.684211	0.875000	0.933333	0.833333	0.857143	0.785714	0.833333	0.851009
tpr01	0.795918	0.904762	0.869565	0.860465	0.673469	0.816327	0.897436	0.886364	0.911111	0.740000	0.916667	0.904762	0.924528	0.795918	0.883721	0.977778	0.897436	0.800000	0.871795	0.877551	0.860279
tpr10	0.800000	0.733333	0.800000	0.750000	0.933333	0.692308	0.636364	0.833333	0.600000	0.777778	0.800000	0.764706	0.647059	0.750000	0.705882	0.750000	0.888889	0.615385	0.625000	0.615385	0.735938
tpr11	0.835821	0.942446	0.882812	0.911111	0.926829	0.900000	0.933824	0.932432	0.911290	0.955224	0.944000	0.917355	0.940171	0.897810	0.882812	0.889706	0.912162	0.892086	0.918519	0.886525	0.910647
wcspd	0.130891	0.262422	0.101810	0.100000	0.216931	0.181229	0.143678	0.203297	0.309106	0.237857	0.211382	0.202506	0.292082	0.251544	0.150856	0.346979	0.126263	0.174704	0.184408	0.246377	0.203716
wcaod	0.071528	0.196009	0.080237	0.110720	0.254932	0.146314	0.040823	0.131507	0.279676	0.138889	0.155333	0.201545	0.236752	0.203012	0.165006	0.407143	0.037363	0.152687	0.153473	0.189525	0.167624
wceod	0.039903	0.209113	0.116667	0.170000	0.259864	0.207692	0.363636	0.163202	0.311290	0.215224	0.144000	0.152649	0.293112	0.213600	0.177839	0.227778	0.078829	0.276702	0.293519	0.271140	0.209288
