accuracy	0.646677	0.642355	0.634792	0.639114	0.645597	0.644516	0.652620	0.672609	0.651540	0.654241	0.647758	0.662345	0.648838	0.652080	0.661264	0.639654	0.650459	0.665046	0.635332	0.645057	0.649595
recall	0.636086	0.632195	0.616785	0.624895	0.631997	0.632259	0.637318	0.652079	0.637614	0.640580	0.630904	0.646371	0.631987	0.633571	0.642056	0.625464	0.636055	0.651944	0.624249	0.632582	0.634850
precision	0.656233	0.652239	0.634662	0.643617	0.651724	0.648906	0.659926	0.669003	0.655909	0.653397	0.649779	0.671759	0.650574	0.652484	0.668846	0.645993	0.657957	0.665783	0.643676	0.651692	0.654208
f1score	0.629998	0.625472	0.612602	0.619819	0.627029	0.628267	0.632412	0.652717	0.634110	0.639606	0.627565	0.641731	0.628905	0.631143	0.637707	0.619500	0.630910	0.651184	0.617280	0.627486	0.630772
mcc	0.291624	0.283726	0.250811	0.267858	0.283034	0.280671	0.296383	0.320636	0.292953	0.293697	0.280048	0.317115	0.281950	0.285429	0.309746	0.270679	0.293195	0.317426	0.267220	0.283631	0.288392
sr00	0.691479	0.682635	0.684878	0.669670	0.680747	0.679061	0.689447	0.660550	0.668952	0.656762	0.704658	0.695134	0.679808	0.700708	0.706478	0.684945	0.700971	0.642643	0.680892	0.682832	0.682162
sr01	0.665263	0.667335	0.689130	0.691383	0.710472	0.640919	0.674747	0.670611	0.665966	0.641584	0.635081	0.687764	0.667387	0.633466	0.686722	0.667335	0.695021	0.634731	0.705757	0.687885	0.670928
sr10	0.674419	0.690476	0.680365	0.695000	0.661765	0.680412	0.705584	0.694323	0.726829	0.647321	0.681373	0.703540	0.706468	0.686916	0.716814	0.700980	0.618090	0.695238	0.669856	0.701571	0.686867
sr11	0.678571	0.735714	0.721088	0.745098	0.647887	0.698718	0.743902	0.708955	0.684564	0.664384	0.704225	0.722222	0.707483	0.732877	0.729032	0.800000	0.692857	0.709220	0.683099	0.612676	0.706129
fpr00	0.545788	0.560886	0.579350	0.560976	0.546468	0.547170	0.553875	0.487603	0.540643	0.514970	0.587426	0.535019	0.543726	0.560000	0.563745	0.551136	0.566108	0.479042	0.569091	0.542910	0.546797
fpr01	0.502538	0.504717	0.513812	0.502513	0.560000	0.470297	0.522843	0.507772	0.490196	0.473430	0.443902	0.538835	0.513228	0.462312	0.505000	0.510000	0.518717	0.465753	0.548718	0.522388	0.503848
fpr10	0.565789	0.471429	0.545455	0.529412	0.493151	0.500000	0.514706	0.518072	0.552239	0.437500	0.500000	0.545455	0.532258	0.544304	0.524390	0.592105	0.487500	0.578947	0.388060	0.569444	0.519511
fpr11	0.540000	0.625000	0.540000	0.640000	0.476190	0.596491	0.547170	0.538462	0.489362	0.521739	0.500000	0.541667	0.553571	0.565217	0.604167	0.734694	0.468085	0.487805	0.625000	0.510204	0.555241
tpr00	0.858947	0.826087	0.794821	0.793991	0.831250	0.821138	0.843348	0.828974	0.806911	0.806316	0.824000	0.862069	0.819066	0.844581	0.853909	0.833684	0.847870	0.807229	0.808732	0.834343	0.827363
tpr01	0.780576	0.787456	0.802867	0.816667	0.815331	0.765343	0.775168	0.770701	0.797794	0.758389	0.769759	0.802239	0.773723	0.745875	0.815603	0.772575	0.806780	0.765957	0.817518	0.804196	0.787226
tpr10	0.733813	0.800000	0.753521	0.780303	0.755725	0.773438	0.806202	0.794521	0.811594	0.763889	0.784615	0.785235	0.784173	0.770370	0.826389	0.765625	0.705882	0.761194	0.802817	0.781513	0.777041
tpr11	0.755556	0.793478	0.814433	0.796117	0.720000	0.757576	0.837838	0.778947	0.774510	0.730000	0.802083	0.812500	0.802198	0.810000	0.785047	0.833333	0.806452	0.800000	0.720930	0.666667	0.779883
wcspd	0.026216	0.068380	0.040723	0.075428	0.062585	0.057799	0.069155	0.048405	0.060863	0.022799	0.069577	0.034459	0.040096	0.099411	0.042310	0.132665	0.082880	0.074489	0.035900	0.088895	0.061652
wcaod	0.060811	0.073525	0.037597	0.063201	0.090764	0.066334	0.049606	0.019468	0.049981	0.059948	0.098882	0.033199	0.037921	0.098197	0.048526	0.142726	0.110298	0.054215	0.093473	0.100192	0.069443
wceod	0.125134	0.038631	0.060912	0.036364	0.111250	0.063562	0.068180	0.058273	0.037084	0.076316	0.054241	0.076834	0.045344	0.098706	0.068863	0.068059	0.141988	0.046035	0.096588	0.167677	0.077002
