accuracy	0.645597	0.666126	0.648838	0.654241	0.638033	0.650459	0.652080	0.647218	0.667747	0.661264	0.660184	0.666667	0.642896	0.661264	0.669908	0.641815	0.653701	0.663965	0.647758	0.640735	0.654025
recall	0.638511	0.665634	0.647703	0.652723	0.627282	0.643990	0.647990	0.648704	0.658832	0.648158	0.662925	0.663226	0.631493	0.655881	0.663692	0.641861	0.642556	0.658049	0.648078	0.643131	0.649521
precision	0.647120	0.665297	0.646566	0.652295	0.638509	0.648621	0.649128	0.645978	0.667087	0.660635	0.661419	0.663885	0.639192	0.656752	0.666070	0.641053	0.655624	0.660407	0.647516	0.642657	0.652791
f1score	0.636867	0.665387	0.646730	0.652447	0.625006	0.644070	0.648336	0.645070	0.658906	0.647638	0.659697	0.663484	0.631319	0.656230	0.664359	0.640928	0.640707	0.658649	0.647323	0.640664	0.648691
mcc	0.285502	0.330930	0.294266	0.305018	0.265554	0.292575	0.297116	0.294669	0.325815	0.308541	0.324340	0.327111	0.270576	0.312632	0.329753	0.282912	0.297894	0.318447	0.295593	0.285788	0.302251
sr00	0.538688	0.420160	0.436098	0.428428	0.544204	0.523483	0.488442	0.394495	0.505387	0.545082	0.430129	0.457795	0.526923	0.435794	0.458502	0.431705	0.613592	0.459459	0.421920	0.383123	0.472171
sr01	0.768421	0.619238	0.600000	0.599198	0.767967	0.672234	0.642424	0.629191	0.747899	0.726733	0.516129	0.670886	0.760259	0.705179	0.713693	0.581162	0.663900	0.706587	0.626866	0.591376	0.665467
sr10	0.706977	0.666667	0.675799	0.740000	0.750000	0.711340	0.670051	0.637555	0.746341	0.794643	0.720588	0.712389	0.671642	0.686916	0.716814	0.632353	0.743719	0.742857	0.636364	0.659686	0.701135
sr11	0.635714	0.635714	0.700680	0.705882	0.823944	0.692308	0.621951	0.679104	0.805369	0.828767	0.471831	0.590278	0.857143	0.794521	0.716129	0.641379	0.735714	0.702128	0.500000	0.528169	0.683336
fpr00	0.406593	0.273063	0.288719	0.296435	0.423792	0.364151	0.344045	0.241736	0.342155	0.403194	0.259332	0.284047	0.384030	0.270000	0.294821	0.289773	0.471136	0.291417	0.294545	0.251866	0.323742
fpr01	0.659898	0.457547	0.430939	0.412060	0.685000	0.549505	0.502538	0.487047	0.607843	0.570048	0.365854	0.533981	0.645503	0.587940	0.565000	0.410000	0.491979	0.575342	0.482051	0.422886	0.522148
fpr10	0.565789	0.457143	0.571429	0.588235	0.575342	0.621212	0.441176	0.481928	0.611940	0.662500	0.486486	0.519481	0.564516	0.556962	0.536585	0.513158	0.637500	0.592105	0.373134	0.541667	0.544914
fpr11	0.400000	0.458333	0.580000	0.620000	0.666667	0.561404	0.528302	0.538462	0.680851	0.673913	0.326087	0.458333	0.767857	0.608696	0.541667	0.632653	0.553191	0.512195	0.357143	0.387755	0.542675
tpr00	0.690526	0.593478	0.589641	0.579399	0.679167	0.695122	0.652361	0.543260	0.680894	0.694737	0.604000	0.638945	0.673152	0.605317	0.627572	0.589474	0.768763	0.628514	0.567568	0.525253	0.631357
tpr01	0.845324	0.738676	0.709677	0.723333	0.825784	0.761733	0.734899	0.716561	0.852941	0.835570	0.621993	0.776119	0.839416	0.782178	0.819149	0.695652	0.772881	0.808511	0.729927	0.709790	0.765006
tpr10	0.784173	0.771429	0.732394	0.818182	0.847328	0.757812	0.790698	0.726027	0.811594	0.868056	0.853846	0.812081	0.719424	0.762963	0.819444	0.703125	0.815126	0.828358	0.760563	0.731092	0.785686
tpr11	0.766667	0.728261	0.762887	0.747573	0.890000	0.767677	0.666667	0.736842	0.862745	0.900000	0.541667	0.656250	0.912088	0.880000	0.794393	0.645833	0.827957	0.780000	0.593023	0.602151	0.753134
wcspd	0.229733	0.246507	0.264583	0.311572	0.279739	0.187857	0.181609	0.284609	0.299982	0.283685	0.290459	0.254594	0.330220	0.358727	0.258312	0.209674	0.130126	0.283398	0.214443	0.276563	0.258820
wcaod	0.204051	0.181015	0.232263	0.265291	0.226854	0.159876	0.120516	0.245154	0.260273	0.237991	0.238500	0.204285	0.311381	0.306689	0.230878	0.199620	0.106364	0.250266	0.174933	0.247820	0.220201
wceod	0.154797	0.177950	0.173245	0.238783	0.210833	0.072555	0.138337	0.193583	0.181851	0.205263	0.312179	0.173135	0.238936	0.274683	0.191872	0.113651	0.059194	0.199844	0.192996	0.205840	0.185476
