accuracy	0.841011	0.847571	0.841159	0.844844	0.847940	0.850520	0.850446	0.847055	0.847719	0.848382	0.846982	0.846392	0.849783	0.843591	0.848235	0.849783	0.850520	0.850593	0.849856	0.846908	0.847464
recall	0.756173	0.764974	0.755762	0.761066	0.766292	0.765721	0.768523	0.760588	0.763124	0.759828	0.760873	0.761801	0.767189	0.759110	0.762210	0.763291	0.766017	0.764589	0.767307	0.762186	0.762831
precision	0.800121	0.806656	0.801627	0.801921	0.804628	0.810535	0.809284	0.809841	0.804566	0.808017	0.809419	0.806545	0.812214	0.800329	0.808889	0.810938	0.810884	0.812705	0.808306	0.804379	0.807090
f1score	0.773576	0.781891	0.773734	0.777654	0.782141	0.783742	0.785232	0.779797	0.780002	0.778832	0.779871	0.779641	0.785204	0.775780	0.780722	0.782158	0.784049	0.783617	0.784083	0.779274	0.780550
mcc	0.554556	0.570109	0.555499	0.561502	0.569631	0.574511	0.576368	0.568298	0.566175	0.565796	0.568222	0.566582	0.577651	0.557918	0.569188	0.572249	0.575154	0.575285	0.574151	0.564992	0.568192
sr00	0.049322	0.054762	0.046931	0.059250	0.055624	0.050000	0.048208	0.054087	0.054658	0.044318	0.043427	0.049242	0.056140	0.054147	0.048179	0.046250	0.052009	0.050245	0.041866	0.041860	0.050026
sr01	0.082512	0.090128	0.079760	0.087881	0.078187	0.081366	0.087714	0.091553	0.082768	0.077984	0.083972	0.081369	0.083616	0.086465	0.085202	0.088244	0.084307	0.087395	0.082130	0.088518	0.084554
sr10	0.170399	0.191740	0.173953	0.169591	0.181648	0.168593	0.172217	0.171860	0.171455	0.179511	0.175385	0.169756	0.185399	0.161694	0.167619	0.171560	0.168411	0.165868	0.172962	0.164794	0.172721
sr11	0.272683	0.269126	0.271990	0.270974	0.275980	0.269707	0.270135	0.262928	0.268943	0.262917	0.267318	0.269973	0.269586	0.272873	0.265992	0.261487	0.268450	0.262227	0.273005	0.270023	0.268816
fpr00	0.013280	0.016818	0.014436	0.013210	0.017264	0.021330	0.013459	0.022222	0.010796	0.017073	0.007673	0.019074	0.016731	0.011450	0.013995	0.012212	0.012853	0.017264	0.010323	0.015152	0.014831
fpr01	0.024248	0.026291	0.021803	0.026181	0.019342	0.022124	0.023044	0.024451	0.023427	0.019821	0.021283	0.020083	0.027476	0.023526	0.020914	0.024546	0.021622	0.023055	0.022713	0.024580	0.023026
fpr10	0.064070	0.072335	0.070423	0.060377	0.065805	0.058750	0.063725	0.057598	0.064209	0.070025	0.054960	0.064198	0.070457	0.059850	0.058824	0.055156	0.060680	0.054388	0.069320	0.054054	0.062460
fpr11	0.108909	0.103581	0.106946	0.108936	0.111292	0.101189	0.103943	0.098054	0.106479	0.099543	0.103049	0.104746	0.096845	0.111676	0.102130	0.098039	0.101974	0.096868	0.104978	0.106968	0.103807
tpr00	0.517241	0.492537	0.405797	0.557143	0.571429	0.412698	0.439394	0.417910	0.562500	0.416667	0.442857	0.431034	0.448718	0.463415	0.461538	0.444444	0.500000	0.444444	0.442623	0.352941	0.461267
tpr01	0.475983	0.538976	0.498824	0.526077	0.504673	0.510297	0.563246	0.537500	0.518868	0.507075	0.518438	0.531616	0.512195	0.534404	0.519565	0.538288	0.523385	0.536913	0.540741	0.533784	0.523542
tpr10	0.536797	0.602620	0.532520	0.545455	0.635945	0.537815	0.548936	0.555556	0.550420	0.536000	0.567686	0.567442	0.586207	0.506329	0.547009	0.550781	0.559471	0.551282	0.528634	0.519685	0.553329
tpr11	0.609037	0.613688	0.604893	0.611662	0.619750	0.623511	0.623144	0.603600	0.614912	0.607473	0.606061	0.608113	0.621127	0.612471	0.611516	0.609351	0.618280	0.611472	0.624528	0.619472	0.613703
wcspd	0.223361	0.214364	0.225059	0.211724	0.220356	0.219707	0.221928	0.208841	0.214284	0.218598	0.223891	0.220731	0.213445	0.218725	0.217813	0.215237	0.216440	0.211981	0.231139	0.228163	0.218789
wcaod	0.108857	0.103957	0.145803	0.084170	0.103514	0.145336	0.137117	0.130761	0.089548	0.136638	0.129290	0.131376	0.126262	0.124641	0.119056	0.125367	0.103700	0.123316	0.138281	0.179174	0.124308
wceod	0.133054	0.121151	0.199095	0.085584	0.131272	0.210813	0.183750	0.185690	0.096044	0.190806	0.163203	0.177079	0.172409	0.149057	0.149978	0.164906	0.118280	0.167028	0.181905	0.266531	0.162382
