accuracy	0.830471	0.837989	0.833272	0.828333	0.839906	0.840716	0.834893	0.836736	0.838579	0.823248	0.826859	0.830766	0.820520	0.839906	0.828333	0.836810	0.838874	0.838947	0.844697	0.842559	0.834621
recall	0.725822	0.729167	0.727519	0.705796	0.729369	0.723951	0.718819	0.728364	0.739322	0.702042	0.704184	0.708833	0.677354	0.753578	0.695080	0.721990	0.724447	0.744166	0.746771	0.737870	0.722222
precision	0.792783	0.805997	0.800368	0.796099	0.808159	0.815289	0.802537	0.805742	0.796035	0.779743	0.797167	0.803641	0.805376	0.794884	0.807079	0.806028	0.809803	0.796761	0.808103	0.808905	0.802025
f1score	0.748576	0.754588	0.751674	0.732370	0.755381	0.752288	0.745214	0.753746	0.760301	0.726132	0.730885	0.736343	0.705531	0.770176	0.724058	0.748646	0.751558	0.764043	0.769241	0.762498	0.747162
mcc	0.514264	0.529620	0.522836	0.493704	0.531721	0.531448	0.514590	0.528471	0.532345	0.475477	0.492653	0.503628	0.465445	0.546904	0.489511	0.521288	0.527387	0.538364	0.551474	0.542142	0.517664
srp	0.193047	0.178818	0.193440	0.155340	0.184655	0.174281	0.167855	0.177055	0.198547	0.155556	0.159510	0.162957	0.120911	0.226201	0.142545	0.166667	0.172346	0.201285	0.207174	0.196707	0.176745
sru	0.142595	0.146649	0.130515	0.148409	0.125375	0.119480	0.143189	0.152155	0.150748	0.166291	0.137533	0.128558	0.132196	0.148173	0.126499	0.148368	0.135811	0.163247	0.128234	0.123294	0.139866
fprp	0.059244	0.045034	0.055767	0.038657	0.052921	0.043895	0.042996	0.043471	0.060796	0.041024	0.042003	0.043589	0.020923	0.078142	0.032969	0.038789	0.043043	0.057644	0.061363	0.057896	0.048008
fpru	0.068643	0.068957	0.061799	0.070969	0.052140	0.049230	0.067207	0.071302	0.074151	0.089919	0.062107	0.054250	0.059381	0.069684	0.052902	0.071244	0.060158	0.085139	0.058190	0.052008	0.064969
tprp	0.482640	0.471843	0.487772	0.413310	0.477972	0.461809	0.446890	0.467765	0.508099	0.408644	0.413036	0.422467	0.335967	0.553841	0.386051	0.451828	0.459908	0.520534	0.527633	0.507415	0.460271
tpru	0.693798	0.738372	0.663968	0.737769	0.708678	0.676000	0.742268	0.736746	0.756148	0.789256	0.702448	0.721649	0.715164	0.737452	0.672381	0.737673	0.709865	0.756863	0.714592	0.664062	0.718758
spd	0.050452	0.032169	0.062925	0.006931	0.059281	0.054801	0.024666	0.024900	0.047799	0.010735	0.021977	0.034399	0.011284	0.078028	0.016046	0.018299	0.036535	0.038039	0.078939	0.073413	0.039081
aod	0.110279	0.145226	0.091114	0.178386	0.114962	0.109763	0.159795	0.148406	0.130702	0.214754	0.154758	0.154922	0.208827	0.087576	0.153131	0.159150	0.133536	0.131912	0.091893	0.075380	0.137724
eod	0.211158	0.266529	0.176196	0.324459	0.230706	0.214191	0.295378	0.268981	0.248049	0.380612	0.289412	0.299182	0.379197	0.183611	0.286330	0.285844	0.249956	0.236329	0.186959	0.156647	0.258486
