accuracy	0.900842	0.901498	0.901279	0.898437	0.902810	0.899530	0.899749	0.905980	0.901388	0.900514	0.898983	0.905105	0.894282	0.902482	0.898983	0.897890	0.899202	0.901498	0.897343	0.897999	0.900290
recall	0.742817	0.699320	0.718296	0.719133	0.713173	0.729280	0.748380	0.761942	0.716297	0.731296	0.721166	0.745338	0.746976	0.752139	0.715189	0.728010	0.717487	0.721967	0.717478	0.723149	0.728442
precision	0.775846	0.800746	0.790484	0.785442	0.786910	0.774769	0.775668	0.793625	0.787632	0.792215	0.783574	0.790176	0.767822	0.773672	0.777183	0.776606	0.776826	0.782128	0.769997	0.774053	0.781769
f1score	0.757748	0.735292	0.746873	0.745794	0.742172	0.748956	0.760941	0.776422	0.744577	0.756447	0.746625	0.764973	0.756739	0.762242	0.740418	0.748781	0.741886	0.746768	0.739515	0.744699	0.750394
mcc	0.517611	0.489671	0.503633	0.500199	0.494616	0.501993	0.523336	0.554663	0.498855	0.519954	0.500867	0.533634	0.514376	0.525370	0.488453	0.502271	0.490739	0.500492	0.484637	0.494590	0.506998
srp	0.115108	0.196850	0.136364	0.246324	0.162264	0.074906	0.248062	0.200000	0.172285	0.176692	0.125448	0.238866	0.364341	0.206349	0.129278	0.150407	0.178439	0.172932	0.391753	0.258824	0.197275
sru	0.107002	0.076802	0.090623	0.091042	0.085566	0.101914	0.107886	0.108666	0.088401	0.097737	0.095512	0.099213	0.111036	0.107813	0.092526	0.100775	0.092138	0.091994	0.087511	0.094804	0.096448
fprp	0.035556	0.057292	0.047368	0.144186	0.068293	0.014925	0.137255	0.090498	0.074766	0.068293	0.050691	0.123077	0.211340	0.085106	0.054187	0.051546	0.084906	0.066667	0.263158	0.141463	0.093529
fpru	0.047264	0.028630	0.036053	0.036009	0.034536	0.044826	0.046861	0.043545	0.035457	0.038735	0.039443	0.039693	0.050097	0.048420	0.039477	0.043791	0.039256	0.038575	0.036628	0.040683	0.040399
tprp	0.452830	0.629032	0.461538	0.631579	0.483333	0.257576	0.666667	0.578125	0.566038	0.540984	0.387097	0.673077	0.828125	0.562500	0.383333	0.519231	0.526316	0.571429	0.857143	0.740000	0.565798
tpru	0.536473	0.416667	0.473447	0.469388	0.460526	0.517724	0.540000	0.568182	0.464416	0.500000	0.487387	0.525688	0.532028	0.553009	0.475046	0.499102	0.472761	0.478664	0.455814	0.478182	0.495225
spd	0.008106	0.120048	0.045740	0.155281	0.076698	0.027008	0.140176	0.091334	0.083884	0.078955	0.029936	0.139653	0.253305	0.098536	0.036752	0.049631	0.086301	0.080938	0.304241	0.164019	0.103527
aod	0.047676	0.120514	0.000297	0.135184	0.028282	0.145024	0.108530	0.028448	0.070465	0.035271	0.044521	0.115387	0.228670	0.023089	0.038501	0.013942	0.049602	0.060428	0.313930	0.181299	0.089453
eod	0.083643	0.212366	0.011909	0.162191	0.022807	0.260148	0.126667	0.009943	0.101622	0.040984	0.100291	0.147389	0.296097	0.009491	0.091713	0.020128	0.053555	0.092764	0.401329	0.261818	0.125343
