accuracy	0.622907	0.634792	0.637493	0.620205	0.634792	0.636413	0.646677	0.637493	0.657482	0.646137	0.654241	0.651540	0.639114	0.656942	0.669368	0.632631	0.644516	0.638574	0.649919	0.650459	0.643085
recall	0.616265	0.634069	0.632503	0.616108	0.625213	0.630524	0.644302	0.646319	0.648169	0.643346	0.644895	0.650067	0.625655	0.652346	0.656915	0.628915	0.633269	0.621943	0.648899	0.652987	0.637635
precision	0.622407	0.633841	0.633196	0.617003	0.633781	0.633842	0.644198	0.644735	0.656475	0.642973	0.650618	0.649469	0.636208	0.652611	0.668345	0.629843	0.645588	0.640132	0.648716	0.652510	0.641825
f1score	0.614646	0.633907	0.632766	0.616331	0.623757	0.630610	0.644247	0.637288	0.647923	0.643127	0.645355	0.649648	0.624514	0.652469	0.657035	0.629163	0.631100	0.617753	0.648789	0.650400	0.636541
mcc	0.238594	0.267909	0.265699	0.233110	0.258853	0.264345	0.288500	0.291050	0.304532	0.286318	0.295457	0.299536	0.261651	0.304957	0.325060	0.258756	0.278584	0.261443	0.297616	0.305497	0.279373
srp	0.650704	0.551429	0.625683	0.628895	0.664740	0.620000	0.559557	0.501377	0.694915	0.581081	0.635838	0.608108	0.689655	0.616667	0.698163	0.630372	0.672566	0.740741	0.561254	0.531532	0.623164
sru	0.607620	0.512991	0.546801	0.543391	0.624585	0.579614	0.535570	0.444220	0.605210	0.532748	0.602658	0.510466	0.637392	0.544601	0.623810	0.540613	0.645503	0.672667	0.517333	0.464427	0.564611
fprp	0.539683	0.440678	0.511811	0.610169	0.521739	0.471545	0.421488	0.336066	0.578947	0.412698	0.441667	0.504000	0.601695	0.464000	0.553846	0.584000	0.527559	0.623932	0.333333	0.380165	0.492951
fpru	0.484522	0.368700	0.399148	0.405738	0.493225	0.442623	0.377410	0.280650	0.443383	0.379944	0.450980	0.343056	0.493706	0.376252	0.450142	0.390110	0.502762	0.540278	0.373154	0.301221	0.414850
tprp	0.711790	0.607759	0.686192	0.638298	0.735931	0.700441	0.629167	0.585062	0.750000	0.668033	0.738938	0.661224	0.734783	0.697872	0.772908	0.656250	0.759434	0.799145	0.684211	0.617925	0.691768
tpru	0.729084	0.658635	0.679898	0.674935	0.750978	0.710013	0.685864	0.580764	0.760471	0.672704	0.739570	0.668857	0.767766	0.693182	0.782552	0.682171	0.776650	0.794872	0.659603	0.618438	0.704350
spd	0.043084	0.038437	0.078882	0.085504	0.040155	0.040386	0.023986	0.057157	0.089705	0.048333	0.033180	0.097642	0.052263	0.072066	0.074353	0.089760	0.027064	0.068074	0.043920	0.067105	0.058553
aod	0.018934	0.010551	0.059479	0.083897	0.006734	0.009675	0.006310	0.029857	0.062546	0.014042	0.004973	0.076656	0.037502	0.046219	0.047030	0.083985	0.003790	0.043964	0.007607	0.039215	0.034648
eod	0.017293	0.050876	0.006295	0.036637	0.015047	0.009572	0.056697	0.004298	0.010471	0.004671	0.000632	0.007632	0.032984	0.004691	0.009644	0.025921	0.017216	0.004274	0.024608	0.000513	0.016999
