accuracy	0.813297	0.818088	0.812707	0.814992	0.818162	0.820152	0.817204	0.816761	0.818088	0.819783	0.814624	0.813739	0.816466	0.810496	0.816393	0.814624	0.822584	0.820668	0.817351	0.816835	0.816651
recall	0.719073	0.725335	0.719127	0.717228	0.726310	0.725222	0.719434	0.720514	0.719358	0.721831	0.716379	0.714628	0.725475	0.710461	0.716432	0.714778	0.726386	0.723629	0.720574	0.719795	0.720098
precision	0.757218	0.761065	0.757012	0.756653	0.758751	0.762619	0.758937	0.761822	0.759262	0.762065	0.758768	0.756533	0.759652	0.749942	0.759533	0.755470	0.767652	0.765507	0.758604	0.757888	0.759248
f1score	0.733862	0.739583	0.733815	0.732470	0.739537	0.740054	0.734787	0.736335	0.734866	0.737495	0.732412	0.730498	0.739187	0.725545	0.732748	0.730368	0.742440	0.739782	0.735505	0.734726	0.735301
mcc	0.474761	0.485086	0.474629	0.472238	0.483974	0.486405	0.476737	0.480563	0.476954	0.482221	0.473253	0.469293	0.483921	0.458707	0.474010	0.468485	0.492311	0.487340	0.477667	0.476161	0.477736
srp	0.231070	0.230019	0.234033	0.222646	0.236021	0.228860	0.222510	0.222945	0.221644	0.224959	0.226074	0.223211	0.235390	0.222926	0.219392	0.218811	0.224827	0.221109	0.227717	0.225057	0.225961
sru	0.138239	0.145074	0.134211	0.142045	0.136206	0.136965	0.138547	0.144825	0.136709	0.132220	0.132875	0.134068	0.141980	0.137962	0.137135	0.141977	0.134910	0.139991	0.133272	0.138990	0.137910
fprp	0.092122	0.089428	0.092628	0.089987	0.096263	0.087310	0.087555	0.083561	0.087590	0.087295	0.087722	0.088762	0.089762	0.093993	0.086385	0.085462	0.084180	0.081649	0.088566	0.089604	0.088491
fpru	0.088144	0.091094	0.088657	0.086655	0.086381	0.088362	0.087605	0.091024	0.085559	0.083333	0.084989	0.085249	0.095982	0.085626	0.083462	0.091895	0.082845	0.088235	0.088695	0.087539	0.087566
tprp	0.531798	0.537950	0.536345	0.515937	0.547203	0.541007	0.524109	0.526279	0.522887	0.529164	0.524573	0.515507	0.548609	0.508243	0.514970	0.516174	0.537619	0.531064	0.533542	0.528249	0.528561
tpru	0.511628	0.556202	0.487854	0.563601	0.533058	0.522000	0.540206	0.533821	0.540984	0.530992	0.491525	0.523711	0.510246	0.530888	0.535238	0.524655	0.529981	0.533333	0.506438	0.529297	0.526783
spd	0.092831	0.084944	0.099822	0.080601	0.099814	0.091895	0.083963	0.078121	0.084935	0.092739	0.093199	0.089143	0.093411	0.084963	0.082257	0.076835	0.089918	0.081118	0.094445	0.086067	0.088051
aod	0.012074	0.009959	0.026231	0.022166	0.012013	0.008978	0.008074	0.007502	0.008032	0.001067	0.017891	0.002346	0.016072	0.007139	0.008673	0.007457	0.004487	0.004428	0.013487	0.000509	0.009929
eod	0.020170	0.018251	0.048491	0.047664	0.014145	0.019007	0.016097	0.007542	0.018096	0.001828	0.033048	0.008205	0.038363	0.022645	0.020268	0.008480	0.007639	0.002270	0.027104	0.001048	0.019018
