accuracy	0.833198	0.832240	0.834304	0.833419	0.834083	0.836368	0.835631	0.837105	0.835852	0.835409	0.832977	0.834304	0.833567	0.835925	0.834967	0.836220	0.842117	0.837621	0.837326	0.835778	0.835421
recall	0.758586	0.761806	0.759337	0.760336	0.764240	0.762882	0.765421	0.765101	0.760231	0.761261	0.757597	0.761725	0.760777	0.765341	0.761360	0.763710	0.773895	0.763259	0.766945	0.760536	0.762717
precision	0.783210	0.777731	0.785838	0.779589	0.778584	0.782709	0.781151	0.787016	0.781679	0.780742	0.781566	0.782053	0.781696	0.782954	0.781968	0.782830	0.790518	0.785980	0.783516	0.782444	0.782689
f1score	0.769302	0.769089	0.770758	0.768988	0.770870	0.771790	0.772642	0.774826	0.769782	0.770026	0.768074	0.770807	0.770083	0.773342	0.770563	0.772330	0.781520	0.773315	0.774527	0.770263	0.771645
mcc	0.541236	0.539302	0.544530	0.539581	0.542635	0.545231	0.546345	0.551682	0.541485	0.541653	0.538630	0.543398	0.542069	0.548012	0.542937	0.546205	0.564168	0.548768	0.550211	0.542538	0.545031
srp	0.277567	0.284947	0.278415	0.280353	0.287603	0.283439	0.284295	0.279868	0.273802	0.282540	0.278949	0.280751	0.280201	0.284061	0.278422	0.279447	0.285746	0.273173	0.283696	0.276415	0.280684
sru	0.102476	0.112011	0.095634	0.105909	0.102097	0.095943	0.103736	0.109729	0.102647	0.095217	0.102706	0.103994	0.106712	0.105968	0.105906	0.105455	0.104955	0.108071	0.103962	0.100773	0.103695
fprp	0.117376	0.126158	0.116778	0.123891	0.129083	0.122426	0.124453	0.116084	0.119242	0.123072	0.120194	0.119353	0.118352	0.124267	0.119353	0.121413	0.121823	0.113392	0.121619	0.119104	0.120872
fpru	0.047062	0.053181	0.042503	0.047056	0.046693	0.044686	0.048379	0.050316	0.045113	0.045339	0.046266	0.050891	0.053238	0.046027	0.049307	0.046464	0.042569	0.050310	0.049987	0.045314	0.047535
tprp	0.624270	0.632739	0.623981	0.626270	0.640559	0.638508	0.641509	0.636300	0.621127	0.634926	0.621471	0.631633	0.628306	0.637671	0.631913	0.631857	0.650300	0.628291	0.639903	0.628531	0.632503
tpru	0.515504	0.560078	0.508097	0.553816	0.543388	0.502000	0.540206	0.539305	0.557377	0.502066	0.525424	0.527835	0.534836	0.555985	0.525714	0.556213	0.578337	0.547059	0.555794	0.521484	0.537526
spd	0.175091	0.172936	0.182781	0.174444	0.185506	0.187497	0.180558	0.170139	0.171155	0.187323	0.176243	0.176757	0.173488	0.178093	0.172515	0.173992	0.180791	0.165102	0.179734	0.175641	0.176989
aod	0.089540	0.072819	0.095079	0.074644	0.089781	0.107124	0.088689	0.081381	0.068939	0.105296	0.084987	0.086130	0.079292	0.079963	0.088123	0.075296	0.075609	0.072157	0.077870	0.090418	0.084157
eod	0.108766	0.072661	0.115884	0.072454	0.097171	0.136508	0.101303	0.096995	0.063750	0.132860	0.096047	0.103798	0.093470	0.081686	0.106198	0.075644	0.071964	0.081232	0.084109	0.107047	0.094977
