accuracy	0.815140	0.820299	0.818678	0.817572	0.822511	0.824722	0.823542	0.819415	0.819636	0.822879	0.819562	0.817941	0.823395	0.815435	0.818162	0.822584	0.822879	0.825533	0.823026	0.820963	0.820694
recall	0.726300	0.732257	0.731867	0.725811	0.734930	0.736919	0.733387	0.729622	0.727482	0.731784	0.726722	0.724126	0.739988	0.720902	0.722689	0.729589	0.730900	0.735451	0.734708	0.731186	0.730331
precision	0.758769	0.763405	0.764768	0.759320	0.764724	0.768137	0.767290	0.764249	0.760091	0.765261	0.765343	0.761997	0.768732	0.756744	0.761156	0.766838	0.766802	0.771401	0.765672	0.762778	0.764174
f1score	0.739431	0.745099	0.745215	0.739357	0.747373	0.749889	0.747215	0.743552	0.740806	0.745466	0.741873	0.739009	0.752064	0.735108	0.737766	0.744445	0.745347	0.749979	0.747557	0.744201	0.744038
mcc	0.483981	0.494682	0.495545	0.483972	0.498765	0.504091	0.499528	0.492655	0.486481	0.495917	0.490547	0.484645	0.507907	0.476299	0.482314	0.495027	0.496405	0.505576	0.499421	0.492954	0.493336
srp	0.240630	0.237035	0.243451	0.231810	0.241764	0.238634	0.231583	0.232874	0.231837	0.234373	0.231703	0.230160	0.244767	0.229803	0.225404	0.226432	0.231073	0.229931	0.239022	0.235307	0.234380
sru	0.140761	0.148673	0.137445	0.146364	0.136667	0.141672	0.144117	0.150155	0.142463	0.138538	0.138642	0.137511	0.146985	0.141139	0.142340	0.144716	0.140541	0.145691	0.138997	0.143995	0.142371
fprp	0.097363	0.091824	0.095964	0.092681	0.096891	0.089385	0.088962	0.088070	0.092604	0.090316	0.088853	0.090030	0.089283	0.094785	0.087494	0.084516	0.087357	0.083544	0.092836	0.092444	0.090760
fpru	0.089184	0.093639	0.085789	0.091026	0.084825	0.091139	0.088128	0.093805	0.089966	0.087639	0.084486	0.086024	0.098541	0.085626	0.088598	0.090088	0.087688	0.090299	0.088439	0.090628	0.089278
tprp	0.550705	0.555089	0.558764	0.539405	0.564336	0.567758	0.550314	0.548003	0.544718	0.552706	0.539909	0.534804	0.579182	0.528586	0.531877	0.542897	0.550689	0.555283	0.560306	0.555085	0.550521
tpru	0.525194	0.567829	0.538462	0.567515	0.549587	0.542000	0.585567	0.557587	0.557377	0.553719	0.544256	0.548454	0.534836	0.557915	0.540952	0.562130	0.541586	0.566667	0.562232	0.548828	0.552635
spd	0.099869	0.088362	0.106006	0.085446	0.105097	0.096962	0.087467	0.082718	0.089374	0.095835	0.093061	0.092648	0.097781	0.088664	0.083065	0.081716	0.090532	0.084241	0.100025	0.091312	0.092009
aod	0.016845	0.007278	0.015239	0.013228	0.013407	0.012002	0.017209	0.007660	0.005010	0.000832	0.000010	0.004822	0.017544	0.010085	0.005089	0.012402	0.004386	0.009070	0.001235	0.004036	0.008870
eod	0.025511	0.012740	0.020302	0.028110	0.014749	0.025758	0.035253	0.009584	0.012659	0.001013	0.004347	0.013650	0.044346	0.029329	0.009075	0.019233	0.009103	0.011384	0.001926	0.006257	0.016716
