accuracy	0.846705	0.849442	0.848179	0.844388	0.849021	0.846915	0.849653	0.840177	0.848389	0.844388	0.849231	0.848179	0.845020	0.846494	0.856180	0.849653	0.845441	0.850284	0.853653	0.840177	0.847578
recall	0.637189	0.644279	0.638788	0.630732	0.640671	0.638741	0.635476	0.630107	0.654841	0.635336	0.644791	0.639613	0.645135	0.635998	0.650568	0.635474	0.652671	0.639165	0.645092	0.635323	0.640499
precision	0.724481	0.745199	0.737937	0.739262	0.734163	0.728617	0.730846	0.716272	0.753733	0.723665	0.733890	0.746465	0.732072	0.743365	0.746865	0.742791	0.743989	0.733874	0.741836	0.719703	0.735951
f1score	0.662373	0.672212	0.665849	0.657506	0.667247	0.664445	0.661884	0.653905	0.683252	0.660293	0.671088	0.667667	0.670754	0.663522	0.679052	0.663309	0.679532	0.665895	0.672957	0.659356	0.667105
mcc	0.350977	0.376176	0.363443	0.353718	0.362988	0.356194	0.353689	0.335491	0.396426	0.347965	0.368050	0.370997	0.367051	0.363852	0.385591	0.362722	0.386006	0.360815	0.374639	0.344854	0.364082
srp	0.113018	0.112676	0.109549	0.109565	0.114548	0.119698	0.101526	0.117295	0.125824	0.110982	0.120639	0.117374	0.117681	0.113664	0.112009	0.107294	0.126667	0.111690	0.110135	0.118950	0.114539
sru	0.083361	0.081117	0.080210	0.073082	0.079920	0.079260	0.082102	0.082196	0.085065	0.084544	0.082080	0.073316	0.088793	0.074637	0.081206	0.074757	0.089061	0.078782	0.080539	0.086025	0.081003
fprp	0.045242	0.041009	0.043853	0.042553	0.051089	0.046404	0.043818	0.051118	0.037643	0.042570	0.047059	0.049883	0.042373	0.040717	0.044562	0.040833	0.041599	0.048165	0.042669	0.058548	0.045085
fpru	0.049383	0.043560	0.043201	0.039638	0.042383	0.047458	0.044337	0.049235	0.047032	0.050924	0.047103	0.036350	0.052491	0.040847	0.041998	0.039733	0.050448	0.042625	0.043381	0.047277	0.044970
tprp	0.325980	0.321101	0.304651	0.296053	0.318072	0.341121	0.274648	0.315036	0.366890	0.317016	0.346154	0.315068	0.337838	0.323944	0.330882	0.309756	0.372642	0.309524	0.318182	0.297235	0.322090
tpru	0.318653	0.342932	0.339474	0.309333	0.335938	0.305630	0.362881	0.304786	0.339152	0.320955	0.326371	0.325581	0.341270	0.300995	0.358289	0.312343	0.333333	0.337838	0.350543	0.348718	0.330751
spd	0.029657	0.031559	0.029339	0.036483	0.034627	0.040438	0.019424	0.035099	0.040759	0.026438	0.038559	0.044058	0.028888	0.039027	0.030803	0.032536	0.037606	0.032908	0.029596	0.032925	0.033536
aod	0.001593	0.012191	0.017085	0.005183	0.004579	0.017219	0.044376	0.006066	0.009174	0.006147	0.009870	0.001510	0.006775	0.011409	0.012421	0.000743	0.015229	0.011387	0.016537	0.020106	0.011480
eod	0.007328	0.021831	0.034823	0.013281	0.017865	0.035491	0.088233	0.010250	0.027738	0.003939	0.019783	0.010513	0.003432	0.022949	0.027406	0.002586	0.039308	0.028314	0.032362	0.051483	0.024946
