accuracy	0.841675	0.851036	0.844623	0.844992	0.849635	0.848235	0.848898	0.846466	0.844918	0.846318	0.847645	0.843886	0.846097	0.840569	0.844107	0.851920	0.849267	0.851183	0.850151	0.847055	0.846934
recall	0.765609	0.772730	0.789016	0.765842	0.759267	0.762291	0.759861	0.786316	0.776074	0.750457	0.784415	0.777074	0.764436	0.788703	0.757274	0.765211	0.781553	0.786853	0.772535	0.761681	0.771360
precision	0.797137	0.810362	0.795842	0.800017	0.812490	0.807130	0.810553	0.797758	0.793822	0.808684	0.800353	0.795029	0.805334	0.786161	0.802053	0.814914	0.801359	0.803818	0.806397	0.804975	0.802709
f1score	0.778950	0.788385	0.792309	0.780199	0.779782	0.780254	0.779612	0.791712	0.784186	0.772221	0.791766	0.785255	0.781045	0.787415	0.775077	0.784771	0.790534	0.794661	0.786885	0.779122	0.784207
mcc	0.561862	0.581877	0.584818	0.564826	0.569275	0.567652	0.568157	0.583961	0.569619	0.556101	0.584551	0.571821	0.568301	0.574859	0.557532	0.577992	0.582575	0.590427	0.577941	0.564999	0.572957
srp	0.277132	0.265870	0.313813	0.268027	0.242198	0.252141	0.245301	0.298621	0.289633	0.240722	0.294955	0.294648	0.264174	0.320087	0.248142	0.249075	0.280377	0.285808	0.268913	0.252862	0.272625
sru	0.083448	0.086595	0.097251	0.085909	0.079972	0.086079	0.079369	0.111728	0.085386	0.067690	0.103594	0.086547	0.079636	0.109371	0.094365	0.079890	0.107207	0.106247	0.081978	0.086442	0.089935
fprp	0.112929	0.099329	0.136161	0.107256	0.086683	0.093536	0.090213	0.124296	0.124726	0.086818	0.123748	0.127595	0.099026	0.148518	0.093359	0.088773	0.111658	0.114972	0.103432	0.095756	0.108439
fpru	0.028081	0.026972	0.035984	0.028028	0.022568	0.028528	0.021182	0.043995	0.029297	0.020517	0.034448	0.027383	0.028411	0.042942	0.033385	0.021941	0.041550	0.037926	0.027429	0.027806	0.030419
tprp	0.632520	0.630640	0.693614	0.623468	0.588462	0.601901	0.591894	0.677996	0.660211	0.580815	0.664343	0.657822	0.619375	0.699754	0.592110	0.606540	0.655599	0.665497	0.632603	0.604520	0.633984
tpru	0.496124	0.540698	0.572874	0.526419	0.537190	0.542000	0.538144	0.601463	0.528689	0.452479	0.621469	0.558763	0.489754	0.608108	0.546667	0.522682	0.605416	0.625490	0.538627	0.531250	0.549215
spd	0.193684	0.179275	0.216561	0.182118	0.162225	0.166062	0.165933	0.186893	0.204248	0.173033	0.191362	0.208100	0.184538	0.210716	0.153776	0.169184	0.173170	0.179560	0.186935	0.166420	0.182690
aod	0.110622	0.081150	0.110458	0.088139	0.057693	0.062454	0.061390	0.078417	0.113476	0.097319	0.066087	0.099636	0.100118	0.098611	0.052709	0.075345	0.060146	0.058526	0.084990	0.070610	0.081395
eod	0.136396	0.089942	0.120740	0.097049	0.051271	0.059901	0.053749	0.076533	0.131523	0.128336	0.042874	0.099059	0.129621	0.091646	0.045443	0.083858	0.050183	0.040006	0.093977	0.073270	0.084769
