accuracy	0.743333	0.756667	0.713333	0.760000	0.736667	0.723333	0.726667	0.786667	0.746667	0.733333	0.743333	0.716667	0.736667	0.750000	0.723333	0.740000	0.756667	0.713333	0.746667	0.766667	0.741000
recall	0.670561	0.721637	0.663048	0.679617	0.705830	0.657474	0.659849	0.770696	0.673016	0.641531	0.689224	0.647757	0.654728	0.618850	0.683517	0.670046	0.700251	0.641722	0.656556	0.687825	0.674687
precision	0.682808	0.707150	0.672773	0.701888	0.700683	0.654036	0.699490	0.740279	0.695527	0.657143	0.705357	0.673333	0.705144	0.666000	0.682520	0.691142	0.712759	0.656618	0.718438	0.711114	0.691710
f1score	0.675703	0.713016	0.666908	0.688150	0.703004	0.655654	0.668124	0.750662	0.681137	0.647556	0.695407	0.654804	0.664681	0.629684	0.683008	0.677579	0.705546	0.647059	0.668045	0.696812	0.678627
mcc	0.353157	0.428542	0.335680	0.380855	0.406481	0.311490	0.357146	0.510069	0.367855	0.298265	0.394251	0.320070	0.356323	0.280920	0.366036	0.360571	0.412820	0.297968	0.369854	0.398258	0.365331
srp	0.765306	0.669811	0.691943	0.760204	0.674877	0.728155	0.774648	0.688372	0.801020	0.800995	0.738220	0.765000	0.810256	0.862069	0.712195	0.746341	0.775701	0.803828	0.831731	0.769231	0.758495
sru	0.701923	0.693182	0.730337	0.769231	0.628866	0.691489	0.735632	0.576471	0.663462	0.696970	0.688073	0.720000	0.752381	0.773196	0.600000	0.747368	0.593023	0.593407	0.750000	0.750000	0.692751
fprp	0.489362	0.362069	0.455882	0.448980	0.369231	0.509434	0.560606	0.272727	0.519231	0.571429	0.470588	0.564516	0.655738	0.740000	0.466667	0.508772	0.578947	0.649123	0.614035	0.462963	0.513515
fpru	0.512821	0.357143	0.548387	0.583333	0.406250	0.448276	0.540541	0.250000	0.500000	0.545455	0.456522	0.527778	0.459459	0.517241	0.361111	0.514286	0.228571	0.371429	0.564103	0.548387	0.462055
tprp	0.852349	0.785714	0.804196	0.863946	0.818841	0.803922	0.870748	0.831250	0.902778	0.875000	0.835714	0.855072	0.880597	0.901961	0.813793	0.837838	0.847134	0.861842	0.913907	0.876623	0.851661
tpru	0.815385	0.850000	0.827586	0.867647	0.738462	0.800000	0.880000	0.736842	0.757576	0.772727	0.857143	0.828125	0.911765	0.882353	0.745763	0.883333	0.843137	0.732143	0.886792	0.852459	0.823462
spd	0.063383	0.023370	0.038394	0.009027	0.046011	0.036666	0.039016	0.111902	0.137559	0.104025	0.050147	0.045000	0.057875	0.088873	0.112195	0.001027	0.182678	0.210421	0.081731	0.019231	0.072926
aod	0.006753	0.029680	0.057948	0.069028	0.021680	0.032540	0.005407	0.058568	0.082216	0.064123	0.003681	0.031843	0.082555	0.121183	0.086793	0.025505	0.177186	0.203697	0.038524	0.030630	0.061477
eod	0.036964	0.064286	0.023390	0.003701	0.080379	0.003922	0.009252	0.094408	0.145202	0.102273	0.021429	0.026947	0.031168	0.019608	0.068030	0.045495	0.003997	0.129699	0.027115	0.024164	0.048071
