accuracy	0.840200	0.846171	0.840348	0.845360	0.846171	0.848235	0.847203	0.847424	0.846761	0.847055	0.844476	0.845434	0.846761	0.840422	0.845360	0.846318	0.850151	0.848824	0.848382	0.843886	0.845747
recall	0.757855	0.765033	0.755123	0.762802	0.766929	0.763802	0.764362	0.762008	0.763909	0.760873	0.758809	0.761852	0.765271	0.756803	0.759901	0.758885	0.767278	0.762714	0.765725	0.759779	0.761986
precision	0.797496	0.803524	0.800132	0.802206	0.800546	0.806324	0.804159	0.809866	0.802066	0.804364	0.804745	0.804341	0.806380	0.794534	0.803524	0.805301	0.809345	0.809611	0.805814	0.798869	0.803657
f1score	0.773892	0.780874	0.772813	0.778932	0.781124	0.781032	0.780677	0.780815	0.779682	0.778388	0.776944	0.778960	0.781963	0.772266	0.777382	0.777267	0.784406	0.781315	0.782167	0.775785	0.778834
mcc	0.553934	0.567253	0.553427	0.563633	0.566478	0.568538	0.567126	0.569868	0.564687	0.563562	0.561679	0.564596	0.570170	0.550044	0.561734	0.562273	0.575087	0.570400	0.570131	0.557278	0.564095
srp	0.219030	0.216396	0.214814	0.216664	0.220873	0.212872	0.216025	0.209746	0.214329	0.210187	0.211670	0.214809	0.216091	0.218439	0.212412	0.207502	0.214396	0.208661	0.215011	0.216771	0.214335
sru	0.122960	0.135703	0.120270	0.121964	0.130527	0.119073	0.117742	0.125859	0.132166	0.124486	0.118774	0.118877	0.131857	0.120084	0.119937	0.126455	0.118608	0.122109	0.121064	0.115664	0.123209
fprp	0.081345	0.078091	0.076806	0.079662	0.082376	0.075211	0.077820	0.071054	0.078318	0.073811	0.076166	0.076193	0.075973	0.083972	0.076038	0.072643	0.074736	0.071362	0.076471	0.081351	0.076970
fpru	0.045190	0.048046	0.047088	0.038015	0.046758	0.040701	0.040411	0.043011	0.046776	0.048960	0.031414	0.043394	0.046658	0.039673	0.041199	0.044558	0.038702	0.040973	0.042471	0.036737	0.042537
tprp	0.596301	0.604092	0.591098	0.603263	0.609573	0.603618	0.608995	0.594953	0.603437	0.598675	0.589165	0.599229	0.605374	0.598033	0.595106	0.592018	0.608582	0.596342	0.608183	0.602912	0.600448
tpru	0.539792	0.597973	0.495238	0.554817	0.622711	0.534884	0.518272	0.548387	0.579470	0.522581	0.565217	0.545788	0.567742	0.520376	0.541806	0.529781	0.552542	0.548822	0.545139	0.509317	0.547033
spd	0.096070	0.080693	0.094544	0.094699	0.090345	0.093799	0.098283	0.083887	0.082163	0.085701	0.092896	0.095931	0.084235	0.098355	0.092475	0.081047	0.095788	0.086552	0.093947	0.101107	0.091126
aod	0.046332	0.018082	0.062789	0.045046	0.011240	0.051622	0.064066	0.037305	0.027754	0.050473	0.034350	0.043120	0.033473	0.060978	0.044070	0.045162	0.046037	0.038955	0.048522	0.069104	0.043924
eod	0.056509	0.006119	0.095860	0.048445	0.013137	0.068735	0.090723	0.046566	0.023967	0.076095	0.023947	0.053442	0.037632	0.077657	0.053300	0.062238	0.056039	0.047521	0.063044	0.093595	0.054729
