accuracy	0.866498	0.870710	0.864814	0.861655	0.861445	0.866288	0.866077	0.856391	0.865866	0.860392	0.866077	0.867762	0.867551	0.863761	0.871341	0.867340	0.864182	0.872184	0.866498	0.861234	0.865403
recall	0.682290	0.691494	0.681669	0.676277	0.677592	0.679252	0.677903	0.667091	0.689475	0.672612	0.682873	0.690233	0.692906	0.680275	0.690444	0.676678	0.697353	0.694855	0.684406	0.690729	0.683820
precision	0.777311	0.800499	0.779770	0.782178	0.764288	0.781859	0.774267	0.759778	0.798727	0.766234	0.778068	0.793508	0.789534	0.786154	0.784638	0.791110	0.786973	0.789415	0.772298	0.770094	0.781335
f1score	0.713392	0.726043	0.713178	0.708556	0.706411	0.711604	0.709017	0.696097	0.723444	0.702441	0.713998	0.723374	0.724857	0.712992	0.722134	0.710985	0.727723	0.726860	0.714147	0.718437	0.715285
mcc	0.449671	0.479765	0.450890	0.446056	0.433292	0.449550	0.441783	0.416684	0.475821	0.428743	0.451004	0.472587	0.472663	0.454253	0.465650	0.453576	0.475962	0.474949	0.448167	0.453938	0.454750
srp	0.156805	0.156103	0.154071	0.155362	0.164948	0.159210	0.149061	0.160981	0.170162	0.156886	0.163808	0.165601	0.157865	0.160822	0.158776	0.153707	0.175758	0.157986	0.158172	0.175510	0.160580
sru	0.071592	0.070279	0.073307	0.068783	0.070263	0.064729	0.071921	0.069851	0.067857	0.070343	0.068672	0.068692	0.077153	0.068821	0.070268	0.062783	0.080671	0.073486	0.074293	0.079763	0.071176
fprp	0.063183	0.050473	0.061864	0.059890	0.072878	0.058778	0.057903	0.071086	0.055646	0.061920	0.063529	0.062354	0.053159	0.061075	0.064199	0.060048	0.064437	0.056575	0.064391	0.077283	0.062034
fpru	0.030303	0.027788	0.030053	0.028313	0.031310	0.028625	0.032414	0.032078	0.027249	0.033949	0.030280	0.025748	0.033473	0.027479	0.027620	0.022651	0.033632	0.030932	0.033283	0.034039	0.030061
tprp	0.450980	0.463303	0.427907	0.421053	0.460241	0.462617	0.422535	0.429594	0.483221	0.442890	0.471154	0.468037	0.463964	0.448357	0.465686	0.439024	0.497642	0.473810	0.447368	0.465438	0.455241
tpru	0.357513	0.366492	0.376316	0.354667	0.335938	0.321716	0.365651	0.324937	0.339152	0.326260	0.336815	0.361757	0.380952	0.345771	0.371658	0.335013	0.378251	0.378378	0.372283	0.389744	0.355963
spd	0.085213	0.085824	0.080764	0.086579	0.094685	0.094481	0.077140	0.091131	0.102305	0.086542	0.095136	0.096909	0.080711	0.092002	0.088508	0.090924	0.095086	0.084501	0.083879	0.095748	0.089403
aod	0.063173	0.059748	0.041701	0.048982	0.082936	0.085527	0.041186	0.071833	0.086233	0.072300	0.083794	0.071443	0.051349	0.068091	0.065304	0.070704	0.075098	0.060537	0.053097	0.059469	0.065625
eod	0.093467	0.096811	0.051591	0.066386	0.124303	0.140901	0.056884	0.104657	0.144069	0.116630	0.134339	0.106279	0.083012	0.102586	0.094029	0.104012	0.119391	0.095431	0.075086	0.075694	0.099278
