accuracy	0.836441	0.835557	0.837400	0.837694	0.842485	0.839537	0.841454	0.843075	0.839169	0.841454	0.840348	0.839611	0.838137	0.841085	0.837694	0.840716	0.844623	0.840127	0.842264	0.840127	0.839950
recall	0.760852	0.765599	0.762563	0.763278	0.772432	0.766295	0.770793	0.769770	0.763442	0.768508	0.766039	0.765360	0.763336	0.771058	0.762475	0.767899	0.774654	0.764624	0.770624	0.763321	0.766646
precision	0.788598	0.782592	0.790654	0.786538	0.791362	0.787543	0.790124	0.796786	0.786898	0.789776	0.792766	0.790780	0.789384	0.790665	0.786659	0.789857	0.794876	0.790275	0.791430	0.789764	0.789866
f1score	0.772761	0.773341	0.774605	0.773542	0.781016	0.775793	0.779533	0.781503	0.773807	0.778032	0.777633	0.776460	0.774651	0.779903	0.773094	0.777685	0.783776	0.775828	0.779966	0.774828	0.776888
mcc	0.548749	0.547927	0.552504	0.549324	0.563476	0.553430	0.560584	0.565911	0.549841	0.557878	0.558166	0.555558	0.552106	0.561381	0.548601	0.557324	0.569171	0.554306	0.561669	0.552452	0.556018
srp	0.232415	0.240222	0.231569	0.231859	0.237297	0.232325	0.237721	0.231586	0.229992	0.232470	0.230920	0.232851	0.231685	0.238851	0.231956	0.233193	0.237189	0.227878	0.235224	0.228972	0.233309
sru	0.127312	0.145934	0.141524	0.142472	0.139052	0.148051	0.132796	0.137493	0.137473	0.145576	0.137384	0.128233	0.138713	0.136340	0.135718	0.142328	0.133896	0.147391	0.134093	0.130705	0.138124
fprp	0.093565	0.101031	0.091720	0.095387	0.095603	0.094449	0.096409	0.088643	0.094028	0.093572	0.091099	0.092867	0.092286	0.097096	0.094873	0.094968	0.093768	0.090215	0.094694	0.092840	0.093956
fpru	0.047127	0.062780	0.053903	0.053479	0.056110	0.061991	0.052598	0.053763	0.054362	0.059976	0.050393	0.049870	0.056747	0.050378	0.053059	0.050923	0.051810	0.061460	0.051480	0.044209	0.053821
tprp	0.612883	0.630399	0.612872	0.616966	0.634972	0.623684	0.639527	0.628599	0.618969	0.628146	0.620445	0.621066	0.618971	0.639016	0.616639	0.627309	0.641991	0.616590	0.634043	0.617141	0.625011
tpru	0.557093	0.584459	0.590476	0.601329	0.626374	0.604651	0.548173	0.564516	0.572848	0.596774	0.581940	0.571429	0.558065	0.564263	0.578595	0.592476	0.579661	0.599327	0.579861	0.562112	0.580721
spd	0.105103	0.094288	0.090045	0.089388	0.098245	0.084274	0.104925	0.094093	0.092519	0.086894	0.093536	0.104618	0.092972	0.102511	0.096238	0.090865	0.103294	0.080487	0.101131	0.098266	0.095185
aod	0.051113	0.042095	0.030107	0.028772	0.024046	0.025745	0.067583	0.049481	0.042894	0.032484	0.039606	0.046317	0.048223	0.060736	0.039929	0.039439	0.052144	0.023010	0.048698	0.051830	0.042213
eod	0.055789	0.045940	0.022396	0.015637	0.008599	0.019033	0.091354	0.064083	0.046121	0.031372	0.038505	0.049638	0.060906	0.074753	0.038044	0.034832	0.062330	0.017264	0.054181	0.055029	0.044290
