accuracy	0.867762	0.867972	0.863761	0.860392	0.862076	0.864814	0.865235	0.858497	0.865235	0.861023	0.864814	0.863971	0.864393	0.858918	0.869025	0.865235	0.863129	0.868814	0.866077	0.858918	0.864003
recall	0.675499	0.678223	0.674170	0.663186	0.666989	0.668414	0.669761	0.661563	0.678477	0.665589	0.671131	0.673101	0.675124	0.659241	0.676737	0.662598	0.682384	0.677636	0.671405	0.673987	0.671261
precision	0.786019	0.799218	0.780033	0.786086	0.771350	0.782635	0.775265	0.770178	0.805193	0.772028	0.779742	0.790247	0.788771	0.780729	0.783411	0.792700	0.792544	0.786616	0.777091	0.769637	0.783475
f1score	0.709149	0.713712	0.706545	0.696868	0.698498	0.701849	0.701959	0.692959	0.714442	0.697222	0.703879	0.707193	0.708871	0.692219	0.709941	0.697780	0.715850	0.711267	0.703821	0.704120	0.704407
mcc	0.448090	0.461855	0.441694	0.432135	0.425735	0.436347	0.432339	0.417856	0.466776	0.424475	0.437596	0.448295	0.449759	0.422864	0.447612	0.436314	0.461976	0.451279	0.435865	0.433190	0.440603
srp	0.140828	0.142019	0.143527	0.140290	0.144330	0.147008	0.135563	0.145422	0.150989	0.144683	0.147250	0.149913	0.142939	0.139057	0.144919	0.133816	0.157576	0.145833	0.141183	0.155102	0.144612
sru	0.068650	0.066667	0.071663	0.062169	0.066600	0.060766	0.070936	0.065952	0.064286	0.066380	0.065402	0.063078	0.068839	0.063328	0.065960	0.059871	0.071959	0.065872	0.068047	0.073830	0.066513
fprp	0.049922	0.048107	0.056382	0.052797	0.059354	0.053364	0.053991	0.059105	0.046645	0.053406	0.054902	0.059236	0.048536	0.054560	0.058157	0.049640	0.056281	0.055810	0.055081	0.066354	0.054582
fpru	0.028807	0.024784	0.029301	0.024160	0.028637	0.026365	0.030179	0.028721	0.023890	0.031309	0.028411	0.022340	0.028908	0.024879	0.025728	0.021537	0.027653	0.026028	0.029170	0.031392	0.027110
tprp	0.426471	0.415138	0.402326	0.383772	0.416867	0.429907	0.380282	0.403341	0.436242	0.419580	0.430288	0.415525	0.418919	0.382629	0.426471	0.390244	0.450472	0.426190	0.406699	0.417051	0.413921
tpru	0.344560	0.358639	0.368421	0.330667	0.325521	0.305630	0.373961	0.317380	0.334165	0.312997	0.323760	0.341085	0.346561	0.320896	0.350267	0.319899	0.352246	0.351351	0.350543	0.361538	0.339504
spd	0.072179	0.075352	0.071863	0.078121	0.077730	0.086241	0.064627	0.079470	0.086703	0.078303	0.081848	0.086835	0.074100	0.075729	0.078960	0.073945	0.085617	0.079961	0.073136	0.081272	0.078100
aod	0.051513	0.039911	0.030493	0.040871	0.061032	0.075638	0.015066	0.058173	0.062416	0.064340	0.066510	0.055668	0.045993	0.045707	0.054316	0.049224	0.063427	0.052311	0.041033	0.045237	0.050944
eod	0.081911	0.056499	0.033905	0.053105	0.091347	0.124277	0.006320	0.085961	0.102077	0.106583	0.106529	0.074440	0.072358	0.061734	0.076203	0.070345	0.098226	0.074839	0.056155	0.055512	0.074416
