accuracy	0.809538	0.824501	0.817572	0.822879	0.814329	0.814108	0.815213	0.825754	0.826343	0.811233	0.820299	0.816614	0.800545	0.821036	0.817572	0.814624	0.816909	0.827891	0.811086	0.827302	0.817767
recall	0.799418	0.792525	0.801835	0.807471	0.807476	0.810789	0.808531	0.812411	0.802404	0.806937	0.807182	0.811012	0.811312	0.798072	0.805088	0.807625	0.802749	0.807429	0.809731	0.794854	0.805242
precision	0.755052	0.765842	0.762766	0.766045	0.758054	0.758666	0.759125	0.770830	0.767119	0.755059	0.764907	0.762268	0.751835	0.762792	0.760826	0.758572	0.759166	0.770539	0.756215	0.767894	0.761679
f1score	0.769626	0.776914	0.776809	0.780979	0.773882	0.774752	0.774993	0.785807	0.780820	0.770977	0.779789	0.777954	0.766214	0.776265	0.776047	0.774343	0.774296	0.784639	0.772155	0.779129	0.776319
mcc	0.552693	0.557730	0.563247	0.572018	0.563366	0.567064	0.565502	0.581756	0.568429	0.559596	0.570525	0.571203	0.559998	0.559753	0.564180	0.564068	0.560223	0.576789	0.563410	0.562102	0.565183
srp	0.358428	0.319044	0.350919	0.341984	0.361249	0.368412	0.360041	0.345238	0.323889	0.368407	0.348722	0.359574	0.398166	0.333448	0.350677	0.356256	0.346358	0.331739	0.372964	0.312570	0.350404
sru	0.158324	0.102316	0.128046	0.140853	0.139584	0.134879	0.144624	0.145955	0.144374	0.137346	0.139026	0.161805	0.169831	0.126377	0.142031	0.171429	0.148656	0.131253	0.131922	0.129149	0.141389
fprp	0.199581	0.163828	0.187199	0.181293	0.199675	0.205586	0.198360	0.178800	0.166339	0.207137	0.186133	0.195461	0.234677	0.175610	0.190210	0.196067	0.188233	0.169905	0.210957	0.157944	0.189650
fpru	0.072305	0.033312	0.055762	0.054124	0.067955	0.058860	0.066709	0.063251	0.064475	0.066095	0.055628	0.079016	0.078184	0.051637	0.062422	0.082113	0.067416	0.053137	0.057272	0.051059	0.062037
tprp	0.793686	0.754141	0.797310	0.795432	0.814718	0.830592	0.819764	0.807506	0.774620	0.827815	0.801677	0.814708	0.852379	0.779016	0.800979	0.812995	0.792663	0.788700	0.832733	0.753475	0.802245
tpru	0.619377	0.466216	0.498413	0.588040	0.560440	0.538206	0.548173	0.567742	0.562914	0.512903	0.565217	0.630037	0.638710	0.498433	0.568562	0.611285	0.589831	0.542088	0.534722	0.518634	0.557997
spd	0.200104	0.216728	0.222874	0.201131	0.221664	0.233533	0.215417	0.199284	0.179516	0.231062	0.209697	0.197769	0.228335	0.207071	0.208647	0.184827	0.197702	0.200486	0.241042	0.183420	0.209015
aod	0.150793	0.209220	0.215167	0.167281	0.192999	0.219556	0.201621	0.177656	0.156785	0.227976	0.183482	0.150558	0.185081	0.202278	0.180103	0.157832	0.161825	0.181690	0.225848	0.170863	0.185931
eod	0.174309	0.287925	0.298898	0.207392	0.254279	0.292386	0.271591	0.239764	0.211706	0.314911	0.236459	0.184671	0.213670	0.280584	0.232417	0.201709	0.202832	0.246613	0.298011	0.234841	0.244248
