accuracy	0.645057	0.673690	0.656942	0.652080	0.666126	0.656402	0.663965	0.663965	0.681794	0.654241	0.686116	0.678552	0.667207	0.674230	0.666667	0.649379	0.656402	0.665586	0.655862	0.663425	0.663884
recall	0.640054	0.671029	0.651265	0.644336	0.659125	0.651002	0.656730	0.655913	0.675103	0.652015	0.678325	0.670088	0.661231	0.669485	0.658212	0.643509	0.651885	0.660050	0.651327	0.660080	0.658038
precision	0.644258	0.672616	0.652772	0.650216	0.664993	0.654316	0.661898	0.657043	0.680175	0.651382	0.683404	0.677736	0.663386	0.670049	0.663078	0.646994	0.653773	0.662060	0.654950	0.661366	0.661323
f1score	0.639781	0.671325	0.651751	0.644343	0.659354	0.651341	0.657149	0.656381	0.675784	0.651605	0.679292	0.670577	0.661849	0.669733	0.658974	0.643783	0.652302	0.660616	0.651374	0.660424	0.658387
mcc	0.284281	0.343642	0.304034	0.294494	0.324066	0.305300	0.318586	0.312953	0.355242	0.303397	0.361693	0.347740	0.324610	0.339533	0.321252	0.290483	0.305652	0.322103	0.306256	0.321443	0.319338
srp	0.595122	0.557121	0.627677	0.648773	0.627981	0.603150	0.646434	0.603744	0.622400	0.572965	0.592476	0.629450	0.622951	0.589506	0.626374	0.583851	0.591640	0.599688	0.610475	0.599364	0.607557
sru	0.588188	0.555281	0.543408	0.583820	0.588380	0.571546	0.572148	0.567769	0.579119	0.518333	0.598516	0.603406	0.552780	0.546966	0.585667	0.587407	0.556550	0.559140	0.568548	0.536007	0.568149
fprp	0.457490	0.396154	0.450216	0.485944	0.462810	0.471042	0.492000	0.448276	0.430279	0.422925	0.430279	0.460630	0.469388	0.412245	0.439516	0.425703	0.397436	0.457692	0.450199	0.432000	0.444611
fpru	0.435691	0.366013	0.386667	0.435940	0.417349	0.397651	0.402010	0.384480	0.392617	0.347676	0.387650	0.412860	0.369048	0.357513	0.419521	0.433775	0.406807	0.370884	0.410049	0.366776	0.395049
tprp	0.687500	0.667546	0.736702	0.749380	0.731266	0.694149	0.740831	0.691932	0.751337	0.668342	0.697674	0.747253	0.726027	0.697270	0.745501	0.683544	0.708763	0.696335	0.722222	0.709763	0.712667
tpru	0.742671	0.748333	0.689441	0.732441	0.759411	0.738710	0.742857	0.729393	0.755556	0.678514	0.793651	0.778816	0.718224	0.722756	0.739683	0.741294	0.707516	0.731013	0.725522	0.703583	0.733969
spd	0.006934	0.001840	0.084269	0.064953	0.039601	0.031604	0.074286	0.035976	0.043281	0.054631	0.006040	0.026044	0.070171	0.042540	0.040706	0.003556	0.035090	0.040549	0.041926	0.063358	0.040368
aod	0.016686	0.025323	0.055405	0.033471	0.008658	0.014415	0.043982	0.013167	0.016721	0.032538	0.026674	0.008103	0.054072	0.014623	0.012907	0.032911	0.004062	0.026065	0.018426	0.035702	0.024696
eod	0.055171	0.080787	0.047261	0.016938	0.028145	0.044561	0.002026	0.037462	0.004219	0.010172	0.095976	0.031563	0.007804	0.025486	0.005819	0.057749	0.001247	0.034678	0.003299	0.006179	0.029827
