accuracy	0.861445	0.857023	0.858286	0.851127	0.859549	0.856812	0.861234	0.850916	0.853022	0.851127	0.857865	0.860181	0.858707	0.855970	0.862708	0.859760	0.853443	0.861023	0.858497	0.852601	0.857065
recall	0.655601	0.651279	0.657630	0.638608	0.656984	0.643698	0.653108	0.643389	0.649355	0.637913	0.651479	0.660756	0.660625	0.650311	0.655502	0.652402	0.657078	0.651178	0.646974	0.652427	0.651315
precision	0.772264	0.771640	0.768003	0.763009	0.766777	0.764226	0.768358	0.749883	0.775297	0.746919	0.762941	0.783189	0.775160	0.774311	0.769972	0.775573	0.771054	0.770574	0.759640	0.756876	0.767283
f1score	0.687963	0.683141	0.688946	0.668699	0.688310	0.674765	0.685034	0.672098	0.681080	0.666376	0.682368	0.694148	0.692798	0.682344	0.687710	0.685059	0.688242	0.683424	0.677668	0.681872	0.682602
mcc	0.411653	0.405430	0.411073	0.381865	0.409290	0.389711	0.405402	0.378579	0.405546	0.369071	0.399149	0.426729	0.420464	0.406113	0.409786	0.409868	0.412682	0.404500	0.390693	0.395752	0.402168
srp	0.091124	0.085681	0.090217	0.093333	0.103666	0.091807	0.088615	0.103531	0.103056	0.093550	0.094619	0.105171	0.097015	0.093108	0.095843	0.097046	0.098788	0.090278	0.080844	0.092711	0.094500
sru	0.084995	0.087685	0.092373	0.077050	0.082917	0.078269	0.085057	0.082196	0.078571	0.081902	0.085023	0.080581	0.089125	0.082714	0.081538	0.078964	0.090997	0.081430	0.088100	0.094595	0.084204
fprp	0.026521	0.022871	0.027408	0.033097	0.033058	0.030936	0.029734	0.040735	0.024550	0.030186	0.025882	0.032736	0.027735	0.026873	0.035498	0.032826	0.027732	0.027523	0.023274	0.030445	0.029481
fpru	0.039282	0.040556	0.042825	0.035108	0.040092	0.036535	0.038376	0.040283	0.038074	0.043757	0.042991	0.034078	0.040700	0.037133	0.035566	0.033791	0.042227	0.037722	0.043381	0.046142	0.039431
tprp	0.294118	0.268349	0.276744	0.260965	0.330120	0.275701	0.265258	0.291169	0.317673	0.284382	0.305288	0.317352	0.299550	0.284038	0.291667	0.292683	0.304245	0.285714	0.258373	0.276498	0.288994
tpru	0.401554	0.416230	0.439474	0.373333	0.375000	0.375335	0.432133	0.365239	0.349127	0.350133	0.378590	0.397933	0.425926	0.388060	0.406417	0.385390	0.399527	0.394595	0.413043	0.423077	0.394506
spd	0.006129	0.002004	0.002157	0.016283	0.020748	0.013538	0.003558	0.021335	0.024484	0.011648	0.009596	0.024590	0.007890	0.010394	0.014305	0.018082	0.007791	0.008848	0.007256	0.001883	0.011626
aod	0.060099	0.082783	0.089073	0.057190	0.025957	0.052617	0.087758	0.036809	0.022489	0.039661	0.045205	0.040962	0.069671	0.057141	0.057409	0.046836	0.054888	0.059539	0.087389	0.081138	0.057731
eod	0.107437	0.147882	0.162729	0.112368	0.044880	0.099634	0.166875	0.074070	0.031454	0.065750	0.073302	0.080581	0.126376	0.104022	0.114750	0.092708	0.095282	0.108880	0.154670	0.146579	0.105511
