accuracy	0.900405	0.902044	0.897453	0.897671	0.901826	0.901716	0.902044	0.902482	0.900405	0.901716	0.896906	0.904778	0.895594	0.902482	0.898983	0.894282	0.897562	0.901935	0.898546	0.900405	0.899962
recall	0.756921	0.761515	0.751365	0.751049	0.754306	0.760307	0.759332	0.758470	0.758216	0.753277	0.753820	0.758664	0.757756	0.755241	0.750473	0.742787	0.757175	0.759311	0.758120	0.753561	0.755583
precision	0.772531	0.782508	0.770725	0.775666	0.774301	0.776088	0.780428	0.783911	0.775015	0.789761	0.770782	0.785990	0.770053	0.773261	0.770672	0.763781	0.765828	0.776008	0.767881	0.775882	0.775054
f1score	0.764375	0.771391	0.760490	0.762467	0.763732	0.767843	0.769251	0.770281	0.766210	0.769648	0.761875	0.771295	0.763679	0.763788	0.759974	0.752608	0.761390	0.767263	0.762861	0.764003	0.764721
mcc	0.529223	0.543618	0.521731	0.526139	0.528229	0.536162	0.539348	0.541784	0.532966	0.541811	0.524328	0.543968	0.527665	0.528195	0.520753	0.506132	0.522931	0.535059	0.525910	0.528973	0.530246
srp	0.176259	0.157480	0.181818	0.139706	0.143396	0.179775	0.162791	0.185965	0.164794	0.172932	0.172043	0.137652	0.170543	0.202381	0.163498	0.170732	0.178439	0.154135	0.219931	0.184314	0.170929
sru	0.114105	0.115372	0.114879	0.115380	0.111687	0.114302	0.113849	0.111826	0.115315	0.110123	0.117163	0.110449	0.121611	0.109725	0.112674	0.114257	0.118157	0.114176	0.115854	0.112011	0.114146
fprp	0.075556	0.052083	0.094737	0.051163	0.058537	0.069652	0.078431	0.085973	0.070093	0.068293	0.087558	0.046154	0.087629	0.095745	0.068966	0.067010	0.084906	0.047619	0.114035	0.087805	0.074597
fpru	0.051503	0.049814	0.051706	0.051110	0.049885	0.050973	0.049044	0.047282	0.051387	0.045061	0.052849	0.046607	0.055248	0.049185	0.051141	0.053551	0.055035	0.051134	0.053207	0.049281	0.050750
tprp	0.603774	0.483871	0.500000	0.473684	0.433333	0.515152	0.481481	0.531250	0.547170	0.524590	0.467742	0.480769	0.421875	0.515625	0.483333	0.557692	0.526316	0.553571	0.603175	0.580000	0.514220
tpru	0.564174	0.577899	0.558056	0.557232	0.565789	0.575560	0.572727	0.567273	0.569343	0.553697	0.566667	0.567890	0.580071	0.563515	0.556377	0.538600	0.572484	0.570501	0.569302	0.556364	0.565176
spd	0.062154	0.042109	0.066939	0.024326	0.031710	0.065473	0.048942	0.074139	0.049479	0.062810	0.054880	0.027202	0.048932	0.092656	0.050824	0.056475	0.060281	0.039959	0.104078	0.072303	0.056783
aod	0.031826	0.045879	0.007513	0.041747	0.061902	0.020865	0.030929	0.001334	0.001734	0.002938	0.032108	0.043787	0.062908	0.000665	0.027609	0.016276	0.008149	0.010222	0.047350	0.031080	0.026341
eod	0.039600	0.094028	0.058056	0.083547	0.132456	0.060408	0.091246	0.036023	0.022173	0.029107	0.098925	0.087121	0.158196	0.047890	0.073044	0.019093	0.046168	0.016929	0.033872	0.023636	0.062576
