accuracy	0.786667	0.763333	0.766667	0.753333	0.740000	0.746667	0.740000	0.786667	0.766667	0.773333	0.766667	0.733333	0.770000	0.746667	0.723333	0.753333	0.766667	0.723333	0.743333	0.783333	0.756667
recall	0.725277	0.670669	0.700286	0.678523	0.651770	0.669725	0.676950	0.722336	0.684127	0.684269	0.690315	0.649626	0.697868	0.661321	0.636642	0.673599	0.677153	0.642872	0.678922	0.713680	0.679297
precision	0.739432	0.710368	0.745126	0.693333	0.710177	0.678219	0.716674	0.733213	0.725330	0.713287	0.745336	0.700732	0.750913	0.669966	0.679224	0.710573	0.735417	0.668153	0.704065	0.733497	0.713152
f1score	0.731484	0.683031	0.712722	0.684659	0.662162	0.673521	0.686428	0.727273	0.696812	0.695049	0.704042	0.659091	0.711599	0.665179	0.644889	0.684659	0.691612	0.650433	0.687293	0.721901	0.688692
mcc	0.464493	0.378963	0.443150	0.371561	0.357203	0.347840	0.391615	0.455419	0.407379	0.396496	0.432163	0.346611	0.445635	0.331174	0.312983	0.382389	0.408435	0.309996	0.382160	0.446737	0.390620
srp	0.760204	0.787736	0.758294	0.755102	0.798030	0.771845	0.755869	0.758140	0.785714	0.820896	0.801047	0.815000	0.800000	0.788177	0.809756	0.765854	0.799065	0.789474	0.721154	0.735577	0.778847
sru	0.701923	0.795455	0.775281	0.740385	0.814433	0.691489	0.758621	0.705882	0.769231	0.696970	0.752294	0.750000	0.733333	0.690722	0.747368	0.789474	0.802326	0.703297	0.793478	0.793478	0.750272
fprp	0.425532	0.551724	0.470588	0.469388	0.553846	0.547170	0.515152	0.400000	0.538462	0.551020	0.509804	0.629032	0.573770	0.600000	0.633333	0.543860	0.508772	0.596491	0.385965	0.407407	0.520566
fpru	0.410256	0.535714	0.548387	0.527778	0.687500	0.413793	0.540541	0.464286	0.500000	0.454545	0.543478	0.527778	0.405405	0.379310	0.555556	0.514286	0.628571	0.514286	0.666667	0.516129	0.516713
tprp	0.865772	0.876623	0.895105	0.850340	0.913043	0.849673	0.863946	0.881250	0.875000	0.907895	0.907143	0.898551	0.902985	0.849673	0.882759	0.851351	0.904459	0.861842	0.847682	0.850649	0.876787
tpru	0.876923	0.916667	0.896552	0.852941	0.876923	0.815385	0.920000	0.824561	0.924242	0.818182	0.904762	0.875000	0.911765	0.823529	0.864407	0.950000	0.921569	0.821429	0.886792	0.934426	0.880803
spd	0.058281	0.007719	0.016987	0.014717	0.016403	0.080355	0.002752	0.052257	0.016484	0.123926	0.048754	0.065000	0.066667	0.097456	0.062388	0.023620	0.003260	0.086177	0.072324	0.057901	0.048671
aod	0.002062	0.012017	0.039623	0.030496	0.048767	0.083833	0.040722	0.003799	0.005390	0.093094	0.015647	0.062403	0.079793	0.123417	0.048065	0.034537	0.068455	0.061310	0.159906	0.096249	0.055479
eod	0.011151	0.040043	0.001447	0.002601	0.036120	0.034289	0.056054	0.056689	0.049242	0.089713	0.002381	0.023551	0.008780	0.026144	0.018352	0.098649	0.017110	0.040414	0.039110	0.083777	0.036781
