accuracy	0.640194	0.670448	0.652080	0.649379	0.654241	0.657482	0.656942	0.658023	0.680173	0.646137	0.682874	0.667207	0.660724	0.670989	0.657482	0.647758	0.658023	0.658563	0.642896	0.655321	0.658347
recall	0.635273	0.667651	0.646073	0.641218	0.646400	0.651923	0.648871	0.650233	0.672871	0.643453	0.674296	0.658704	0.654355	0.666204	0.648326	0.640899	0.652597	0.652492	0.638311	0.651577	0.652086
precision	0.639166	0.669376	0.647764	0.647627	0.653125	0.655488	0.655003	0.651058	0.678891	0.643028	0.680397	0.665755	0.656741	0.666757	0.653669	0.645700	0.655559	0.654873	0.641622	0.653156	0.655738
f1score	0.634991	0.667936	0.646576	0.641047	0.646203	0.652252	0.649025	0.650588	0.673480	0.643198	0.675229	0.659009	0.654972	0.666447	0.648924	0.640944	0.653032	0.653066	0.638239	0.651919	0.652354
mcc	0.274411	0.337023	0.293833	0.288774	0.299449	0.307391	0.303812	0.301290	0.351710	0.286481	0.354640	0.324383	0.311087	0.332960	0.301948	0.286559	0.308142	0.307356	0.279914	0.304728	0.307795
srp	0.603252	0.566510	0.637562	0.661043	0.640700	0.609449	0.657056	0.595944	0.640000	0.579109	0.606583	0.639159	0.632787	0.608025	0.632653	0.608696	0.609325	0.616822	0.617021	0.605723	0.618371
sru	0.581715	0.553630	0.542605	0.584654	0.596563	0.571546	0.580537	0.567769	0.580750	0.520833	0.602638	0.597729	0.552780	0.536991	0.591433	0.593206	0.564687	0.557486	0.565323	0.540098	0.569149
fprp	0.461538	0.400000	0.463203	0.493976	0.495868	0.471042	0.524000	0.439655	0.450199	0.438735	0.442231	0.476378	0.485714	0.424490	0.451613	0.453815	0.423077	0.469231	0.486056	0.440000	0.459541
fpru	0.438907	0.372549	0.393333	0.444260	0.436989	0.399329	0.413735	0.393298	0.397651	0.359725	0.399657	0.423012	0.377551	0.357513	0.438356	0.443709	0.411669	0.384749	0.414911	0.383224	0.404206
tprp	0.698370	0.680739	0.744681	0.764268	0.731266	0.704787	0.738386	0.684597	0.767380	0.668342	0.713178	0.752747	0.731507	0.719603	0.748072	0.706329	0.721649	0.717277	0.708333	0.715040	0.720828
tpru	0.726384	0.738333	0.681677	0.725753	0.756137	0.737097	0.747899	0.721617	0.753968	0.672052	0.790476	0.758567	0.710567	0.703526	0.733333	0.742952	0.718954	0.715190	0.714286	0.695440	0.727210
spd	0.021537	0.012880	0.094957	0.076389	0.044137	0.037903	0.076519	0.028175	0.059250	0.058276	0.003945	0.041429	0.080007	0.071034	0.041220	0.015489	0.044638	0.059337	0.051699	0.065625	0.049222
aod	0.002692	0.015072	0.066437	0.044116	0.017004	0.019702	0.050376	0.004668	0.032980	0.037650	0.017362	0.023773	0.064552	0.041527	0.013998	0.013258	0.007051	0.043285	0.032596	0.038188	0.029314
eod	0.028015	0.057595	0.063004	0.038515	0.024871	0.032310	0.009513	0.037021	0.013411	0.003710	0.077298	0.005820	0.020940	0.016077	0.014739	0.036623	0.002695	0.002088	0.005952	0.019600	0.025490
