accuracy	0.840127	0.844402	0.842485	0.840422	0.848751	0.851036	0.848530	0.846097	0.841969	0.848161	0.846539	0.842338	0.844476	0.842854	0.842633	0.847129	0.850372	0.849267	0.847866	0.846023	0.845574
recall	0.763026	0.771981	0.761165	0.768774	0.765824	0.764854	0.767955	0.788613	0.768644	0.773155	0.771247	0.784416	0.782548	0.738047	0.749818	0.761529	0.762806	0.760811	0.776958	0.774780	0.767848
precision	0.795058	0.796970	0.801752	0.789946	0.806658	0.812245	0.805323	0.796542	0.790575	0.801165	0.803107	0.790519	0.795189	0.812054	0.802758	0.805738	0.812410	0.811803	0.799970	0.797241	0.801351
f1score	0.776519	0.782972	0.777552	0.778243	0.782518	0.783692	0.783487	0.792420	0.778436	0.785350	0.784796	0.787371	0.788469	0.763309	0.769946	0.779255	0.782286	0.780651	0.787221	0.784809	0.781465
mcc	0.557165	0.568402	0.561452	0.558319	0.571023	0.575150	0.572058	0.585102	0.558789	0.573637	0.573469	0.574902	0.577599	0.545101	0.550035	0.565541	0.573073	0.570338	0.576469	0.571579	0.567960
srp	0.272461	0.275628	0.260013	0.281990	0.256935	0.254997	0.254699	0.316382	0.277814	0.276081	0.272878	0.306590	0.302769	0.218559	0.243988	0.252014	0.246193	0.249210	0.276957	0.286119	0.269114
sru	0.090784	0.103464	0.091707	0.098182	0.084121	0.074871	0.098863	0.088627	0.094822	0.084838	0.094942	0.105142	0.093288	0.075108	0.078072	0.086282	0.086712	0.075695	0.099153	0.082575	0.089362
fprp	0.111817	0.112584	0.099142	0.121673	0.097519	0.092897	0.096467	0.137498	0.118458	0.111941	0.108885	0.138691	0.128414	0.075923	0.091140	0.093346	0.088310	0.089861	0.110391	0.119893	0.107242
fpru	0.031201	0.038168	0.032595	0.035999	0.026200	0.021712	0.033734	0.031100	0.036038	0.027862	0.029419	0.036683	0.037113	0.017742	0.025424	0.029943	0.025746	0.021672	0.039221	0.027291	0.030243
tprp	0.620144	0.632739	0.603940	0.636427	0.611888	0.612460	0.608316	0.705676	0.635915	0.638791	0.626699	0.671606	0.677774	0.534199	0.583656	0.605837	0.597315	0.603370	0.643031	0.658192	0.625399
tpru	0.534884	0.600775	0.550607	0.571429	0.545455	0.496000	0.612371	0.504570	0.559426	0.549587	0.585687	0.651546	0.543033	0.505792	0.468571	0.516765	0.549323	0.486275	0.600858	0.501953	0.546745
spd	0.181677	0.172164	0.168306	0.183808	0.172815	0.180126	0.155836	0.227754	0.182992	0.191243	0.177935	0.201448	0.209481	0.143451	0.165916	0.165732	0.159481	0.173515	0.177804	0.203544	0.179751
aod	0.082938	0.053190	0.059940	0.075336	0.068876	0.093823	0.029338	0.153752	0.079455	0.086642	0.060239	0.061034	0.113021	0.043294	0.090400	0.076237	0.055278	0.092642	0.056671	0.124420	0.077826
eod	0.085261	0.031964	0.053333	0.064999	0.066434	0.116460	0.004055	0.201106	0.076489	0.089205	0.041012	0.020059	0.134741	0.028407	0.115085	0.089072	0.047992	0.117095	0.042173	0.156239	0.079059
