accuracy	0.900842	0.898655	0.898874	0.897234	0.900295	0.898546	0.901607	0.902044	0.899858	0.897125	0.898218	0.902591	0.892752	0.902154	0.895266	0.896359	0.898437	0.900295	0.896797	0.898437	0.898819
recall	0.689180	0.683410	0.684963	0.683570	0.677313	0.681224	0.688274	0.694375	0.683374	0.678252	0.682879	0.686470	0.682363	0.682919	0.677030	0.680264	0.681692	0.683050	0.673818	0.683568	0.682899
precision	0.792315	0.796042	0.795107	0.795808	0.791166	0.786105	0.803267	0.805463	0.795486	0.803679	0.796481	0.804751	0.777508	0.792368	0.774418	0.786711	0.786119	0.792058	0.781253	0.788921	0.792251
f1score	0.725041	0.720871	0.722008	0.720840	0.714777	0.716889	0.726766	0.732389	0.720823	0.717740	0.720472	0.725626	0.715490	0.719952	0.710562	0.716048	0.717275	0.719852	0.709449	0.719460	0.719617
mcc	0.470320	0.466035	0.467264	0.466054	0.454433	0.455409	0.477901	0.487337	0.465552	0.465323	0.465705	0.476768	0.449921	0.462514	0.440819	0.454681	0.456006	0.462434	0.442207	0.460593	0.462364
srp	0.093525	0.102362	0.086777	0.091912	0.090566	0.093633	0.081395	0.098246	0.074906	0.067669	0.075269	0.076923	0.104651	0.099206	0.091255	0.089431	0.081784	0.082707	0.113402	0.070588	0.088310
sru	0.075657	0.073653	0.074902	0.075155	0.070029	0.073986	0.073687	0.075829	0.073536	0.072064	0.074425	0.071910	0.080099	0.071164	0.075867	0.075272	0.074679	0.073190	0.071251	0.075686	0.074102
fprp	0.026667	0.020833	0.026316	0.013953	0.029268	0.019900	0.029412	0.031674	0.018692	0.014634	0.027650	0.015385	0.020619	0.015957	0.019704	0.020619	0.028302	0.009524	0.052632	0.014634	0.022819
fpru	0.029283	0.027860	0.028227	0.028523	0.026989	0.029713	0.026319	0.026926	0.027749	0.025565	0.027584	0.025736	0.033741	0.027778	0.032428	0.029922	0.029634	0.028579	0.028660	0.029774	0.028550
tprp	0.377358	0.354839	0.307692	0.385965	0.300000	0.318182	0.277778	0.328125	0.301887	0.245902	0.241935	0.307692	0.359375	0.343750	0.333333	0.346154	0.280702	0.357143	0.333333	0.300000	0.320057
tpru	0.409049	0.396739	0.402340	0.395741	0.386278	0.396455	0.409091	0.420909	0.398723	0.389085	0.401802	0.402752	0.400356	0.396371	0.389094	0.392280	0.398892	0.396104	0.379535	0.400909	0.398125
spd	0.017868	0.028709	0.011875	0.016757	0.020537	0.019646	0.007709	0.022416	0.001370	0.004395	0.000844	0.005013	0.024552	0.028043	0.015388	0.014158	0.007105	0.009517	0.042151	0.005098	0.015158
aod	0.017154	0.024463	0.048279	0.012173	0.041999	0.044043	0.064110	0.044018	0.052947	0.077057	0.079900	0.052706	0.027052	0.032220	0.034242	0.027715	0.059761	0.029008	0.011115	0.058025	0.041899
eod	0.031690	0.041900	0.094648	0.009776	0.086278	0.078273	0.131313	0.092784	0.096836	0.143183	0.159866	0.095060	0.040981	0.052621	0.055761	0.046126	0.118190	0.038961	0.046202	0.100909	0.078068
