accuracy	0.648298	0.674770	0.664506	0.659643	0.665046	0.665046	0.653701	0.667207	0.676931	0.663965	0.685575	0.688817	0.670989	0.674770	0.678012	0.659643	0.656942	0.681794	0.663965	0.661264	0.668044
recall	0.640395	0.667664	0.652665	0.650442	0.655228	0.657875	0.643391	0.656507	0.667944	0.656333	0.675136	0.678301	0.660960	0.664814	0.666751	0.649622	0.648095	0.672131	0.656666	0.654026	0.658747
precision	0.651411	0.679751	0.662309	0.659415	0.666895	0.664369	0.653324	0.659939	0.676964	0.660310	0.684577	0.691182	0.668488	0.670934	0.676684	0.661286	0.656422	0.680528	0.666865	0.661071	0.667636
f1score	0.638014	0.666057	0.652933	0.650016	0.654256	0.657928	0.642615	0.657539	0.668156	0.657042	0.675951	0.678409	0.661620	0.665816	0.667375	0.648400	0.647688	0.672853	0.655329	0.653788	0.658589
mcc	0.291598	0.347205	0.314826	0.309727	0.321912	0.322179	0.296549	0.316427	0.344790	0.316618	0.359589	0.369258	0.329362	0.335692	0.343292	0.310689	0.304403	0.352559	0.323370	0.315018	0.326253
srp	0.606504	0.599374	0.654036	0.624233	0.626391	0.581102	0.616085	0.586583	0.620800	0.569892	0.590909	0.626214	0.618033	0.595679	0.624804	0.630435	0.602894	0.609034	0.639935	0.605723	0.611433
sru	0.653722	0.650165	0.620579	0.625521	0.643208	0.619243	0.643456	0.606612	0.619902	0.605000	0.639736	0.641525	0.615633	0.615960	0.630148	0.644573	0.631408	0.622002	0.620968	0.612930	0.628114
fprp	0.457490	0.434615	0.445887	0.445783	0.462810	0.424710	0.460000	0.413793	0.434263	0.399209	0.426295	0.444882	0.444898	0.408163	0.443548	0.469880	0.410256	0.426923	0.494024	0.452000	0.439972
fpru	0.501608	0.464052	0.470000	0.469218	0.472995	0.441275	0.485762	0.425044	0.439597	0.430293	0.432247	0.441624	0.437075	0.433506	0.445205	0.481788	0.481361	0.429809	0.447326	0.442434	0.453611
tprp	0.706522	0.712401	0.781915	0.734491	0.728682	0.688830	0.711491	0.684597	0.745989	0.678392	0.697674	0.752747	0.734247	0.709677	0.740360	0.731646	0.719072	0.732984	0.741667	0.707124	0.722025
tpru	0.807818	0.840000	0.760870	0.782609	0.813421	0.790323	0.801681	0.766719	0.790476	0.768982	0.831746	0.825545	0.776417	0.785256	0.801587	0.807629	0.782680	0.797468	0.792937	0.781759	0.795296
spd	0.047218	0.050791	0.033457	0.001288	0.016817	0.038141	0.027371	0.020028	0.000898	0.035108	0.048827	0.015311	0.002400	0.020281	0.005345	0.014139	0.028514	0.012967	0.018967	0.007206	0.022254
aod	0.072707	0.078518	0.001534	0.035776	0.047462	0.059029	0.057976	0.046686	0.024911	0.060837	0.070012	0.034770	0.017173	0.050461	0.031442	0.043946	0.067356	0.033685	0.002286	0.032535	0.043455
eod	0.101296	0.127599	0.021045	0.048117	0.084738	0.101493	0.090189	0.082122	0.044487	0.090590	0.134072	0.072798	0.042170	0.075579	0.061227	0.075983	0.063608	0.064484	0.051271	0.074635	0.075375
