accuracy	0.836736	0.837842	0.837400	0.838063	0.842191	0.840200	0.839169	0.843223	0.840495	0.842485	0.838874	0.840053	0.840200	0.839906	0.842485	0.839685	0.847498	0.843223	0.842191	0.840790	0.840635
recall	0.761145	0.767219	0.760738	0.764021	0.771432	0.765727	0.768573	0.770162	0.765335	0.767166	0.763196	0.766738	0.766868	0.767690	0.769048	0.766011	0.779274	0.767780	0.772085	0.764566	0.767239
precision	0.789064	0.786222	0.791333	0.787001	0.791113	0.788946	0.786603	0.796928	0.788818	0.792148	0.790915	0.791163	0.792132	0.789497	0.793623	0.788507	0.798780	0.795191	0.790865	0.790628	0.790974
f1score	0.773121	0.775797	0.773675	0.774179	0.780319	0.776005	0.776768	0.781803	0.775723	0.778150	0.775138	0.777465	0.777911	0.777405	0.779865	0.775999	0.788122	0.779680	0.780606	0.775937	0.777683
mcc	0.549501	0.553115	0.551222	0.550543	0.562200	0.554187	0.554883	0.566458	0.553656	0.558756	0.553417	0.557366	0.558429	0.556760	0.562134	0.554061	0.577724	0.562304	0.562637	0.554582	0.557697
srp	0.232501	0.240051	0.230194	0.233567	0.237725	0.233439	0.239600	0.233385	0.230506	0.230147	0.230153	0.233277	0.234342	0.236535	0.232728	0.234478	0.239246	0.227708	0.238721	0.230948	0.233962
sru	0.125680	0.131395	0.130119	0.134377	0.129995	0.125922	0.130108	0.128503	0.135350	0.131687	0.132458	0.134287	0.130802	0.131620	0.132562	0.129101	0.129151	0.137708	0.128664	0.122407	0.130595
fprp	0.093681	0.100336	0.090664	0.095965	0.096067	0.095144	0.099758	0.090623	0.093219	0.091480	0.092025	0.092288	0.093451	0.095935	0.092664	0.096125	0.094116	0.089406	0.097578	0.092143	0.094133
fpru	0.044545	0.047406	0.047708	0.050258	0.051122	0.046337	0.049391	0.043643	0.053729	0.050184	0.045812	0.056347	0.046658	0.050378	0.045568	0.045831	0.042447	0.046095	0.045689	0.047323	0.047823
tprp	0.612883	0.631699	0.610631	0.621860	0.635298	0.625987	0.637229	0.629893	0.623265	0.625166	0.614963	0.624277	0.625769	0.633443	0.625775	0.628958	0.648870	0.618223	0.639280	0.626737	0.627010
tpru	0.560554	0.574324	0.552381	0.568106	0.593407	0.548173	0.548173	0.561290	0.562914	0.561290	0.575251	0.575092	0.561290	0.536050	0.598662	0.539185	0.600000	0.619529	0.576389	0.496894	0.565448
spd	0.106821	0.108657	0.100075	0.099190	0.107730	0.107517	0.109493	0.104881	0.095156	0.098460	0.097696	0.098989	0.103540	0.104915	0.100166	0.105378	0.110095	0.089999	0.110056	0.108541	0.103368
aod	0.050733	0.055152	0.050603	0.049730	0.043418	0.063311	0.069712	0.057791	0.049921	0.052586	0.042963	0.042563	0.055636	0.071475	0.037104	0.070034	0.050270	0.021003	0.057390	0.087332	0.053936
eod	0.052329	0.057374	0.058250	0.053753	0.041891	0.077814	0.089056	0.068603	0.060351	0.063875	0.039712	0.049186	0.064479	0.097392	0.027113	0.089773	0.048870	0.001305	0.062891	0.129843	0.061693
