accuracy	0.837105	0.837105	0.838947	0.838137	0.843886	0.840348	0.839390	0.841675	0.840200	0.840938	0.838800	0.840422	0.840643	0.840348	0.842338	0.841232	0.846318	0.841011	0.842780	0.840422	0.840602
recall	0.761585	0.766827	0.762735	0.764966	0.773965	0.766127	0.768016	0.768933	0.765140	0.766849	0.764125	0.767279	0.768632	0.769475	0.768850	0.768342	0.777186	0.766111	0.771973	0.763617	0.767537
precision	0.789622	0.785010	0.793637	0.786858	0.793484	0.789100	0.787150	0.794367	0.788323	0.789311	0.790449	0.791683	0.792379	0.789780	0.793407	0.790685	0.797243	0.791476	0.791980	0.790234	0.790809
f1score	0.773609	0.775067	0.775805	0.774700	0.782797	0.776311	0.776663	0.780056	0.775408	0.776841	0.775551	0.778002	0.779100	0.778596	0.779658	0.778284	0.786251	0.777216	0.780997	0.775193	0.777805
mcc	0.550493	0.551538	0.555513	0.551389	0.567113	0.554752	0.554836	0.562725	0.552977	0.555706	0.553949	0.558429	0.560508	0.558886	0.561721	0.558580	0.574078	0.557010	0.563598	0.553212	0.557851
srp	0.278979	0.287578	0.278415	0.282208	0.287169	0.284757	0.285375	0.281522	0.276621	0.284291	0.281157	0.282271	0.284017	0.286790	0.279843	0.281189	0.284760	0.275896	0.285870	0.277832	0.282327
sru	0.089179	0.099865	0.082467	0.094318	0.087117	0.083838	0.090044	0.096179	0.092290	0.083258	0.092724	0.088613	0.091468	0.092126	0.092102	0.092216	0.096396	0.094619	0.088848	0.083485	0.090558
fprp	0.119282	0.128393	0.116619	0.125951	0.125314	0.124661	0.126016	0.118660	0.121435	0.123390	0.121325	0.120304	0.120588	0.126644	0.117927	0.122517	0.121029	0.117656	0.124466	0.120681	0.122143
fpru	0.031201	0.037405	0.027119	0.031113	0.026719	0.029033	0.032688	0.032617	0.031372	0.030648	0.031431	0.031775	0.033274	0.029828	0.032614	0.030459	0.030589	0.033024	0.029992	0.026519	0.030971
tprp	0.624613	0.636236	0.624321	0.627671	0.647552	0.637804	0.641509	0.635950	0.625352	0.639845	0.626002	0.634390	0.635520	0.641179	0.639662	0.635021	0.648887	0.627589	0.640598	0.629590	0.634965
tpru	0.521318	0.575581	0.512146	0.575342	0.568182	0.518000	0.542268	0.555759	0.573770	0.512397	0.551789	0.542268	0.557377	0.559846	0.533333	0.564103	0.595745	0.562745	0.581545	0.515625	0.550957
spd	0.189800	0.187713	0.195948	0.187890	0.200053	0.200920	0.195331	0.185343	0.184331	0.201033	0.188433	0.193658	0.192549	0.194664	0.187740	0.188972	0.188363	0.181277	0.197021	0.194347	0.191769
aod	0.095688	0.075822	0.100838	0.073583	0.088983	0.107716	0.096285	0.083117	0.070823	0.110095	0.082054	0.090326	0.082729	0.089075	0.095821	0.081488	0.071792	0.074738	0.076763	0.104064	0.087590
eod	0.103295	0.060655	0.112175	0.052328	0.079371	0.119804	0.099241	0.080191	0.051582	0.127449	0.074213	0.092122	0.078143	0.081333	0.106329	0.070919	0.053143	0.064844	0.059053	0.113965	0.084008
