accuracy	0.770000	0.756667	0.740000	0.743333	0.726667	0.780000	0.710000	0.806667	0.763333	0.753333	0.743333	0.720000	0.753333	0.743333	0.720000	0.780000	0.753333	0.746667	0.766667	0.800000	0.753833
recall	0.675342	0.634699	0.641942	0.646648	0.620385	0.658425	0.614731	0.706402	0.672222	0.632468	0.638083	0.613457	0.659224	0.642792	0.617647	0.692830	0.643290	0.647575	0.674020	0.700410	0.651630
precision	0.721346	0.708477	0.729653	0.677436	0.699352	0.734127	0.692460	0.775881	0.723266	0.683623	0.732711	0.692229	0.744417	0.661422	0.678660	0.756250	0.726687	0.706674	0.756549	0.771800	0.718651
f1score	0.689147	0.647405	0.650203	0.656245	0.625365	0.675941	0.615039	0.727085	0.685836	0.644481	0.646524	0.616228	0.671111	0.649867	0.623296	0.709234	0.655280	0.659172	0.688889	0.720497	0.662842
mcc	0.394012	0.335152	0.361095	0.322619	0.309832	0.385183	0.297194	0.477252	0.392181	0.311924	0.358517	0.295362	0.394548	0.303643	0.289957	0.444580	0.360455	0.349285	0.422585	0.466782	0.363608
srp	0.811224	0.872642	0.848341	0.826531	0.881773	0.873786	0.873239	0.841860	0.816327	0.890547	0.848168	0.895000	0.841026	0.827586	0.858537	0.795122	0.873832	0.861244	0.822115	0.831731	0.849532
sru	0.769231	0.772727	0.808989	0.711538	0.762887	0.765957	0.758621	0.752941	0.759615	0.696970	0.844037	0.750000	0.800000	0.680412	0.757895	0.810526	0.755814	0.703297	0.815217	0.782609	0.762964
fprp	0.553191	0.706897	0.676471	0.591837	0.707692	0.698113	0.742424	0.545455	0.596154	0.714286	0.607843	0.774194	0.688525	0.680000	0.700000	0.508772	0.684211	0.666667	0.543860	0.537037	0.646181
fpru	0.538462	0.535714	0.580645	0.555556	0.625000	0.448276	0.594595	0.464286	0.500000	0.515152	0.717391	0.555556	0.486486	0.379310	0.611111	0.571429	0.571429	0.514286	0.641026	0.516129	0.546092
tprp	0.892617	0.935065	0.930070	0.904762	0.963768	0.934641	0.931973	0.943750	0.895833	0.947368	0.935714	0.949275	0.910448	0.875817	0.924138	0.905405	0.942675	0.934211	0.927152	0.935065	0.925987
tpru	0.907692	0.883333	0.931034	0.794118	0.830769	0.907692	0.880000	0.894737	0.909091	0.787879	0.936508	0.859375	0.970588	0.808824	0.847458	0.950000	0.882353	0.821429	0.943396	0.918033	0.883215
spd	0.041994	0.099914	0.039352	0.114992	0.118887	0.107829	0.114619	0.088919	0.056711	0.193578	0.004131	0.145000	0.041026	0.147174	0.100642	0.015404	0.118018	0.157947	0.006898	0.049122	0.088108
aod	0.000172	0.111457	0.047430	0.073463	0.107846	0.138393	0.099901	0.065091	0.041448	0.179312	0.055171	0.154269	0.070949	0.183842	0.082785	0.053626	0.086552	0.132581	0.056705	0.018970	0.087998
eod	0.015075	0.051732	0.000965	0.110644	0.132999	0.026948	0.051973	0.049013	0.013258	0.159490	0.000794	0.089900	0.060140	0.066993	0.076680	0.044595	0.060322	0.112782	0.016244	0.017032	0.057879
