accuracy	0.900732	0.899530	0.898327	0.896469	0.899639	0.898874	0.899858	0.901170	0.898983	0.897781	0.897890	0.900295	0.893517	0.902700	0.893954	0.895266	0.898765	0.901607	0.898218	0.898983	0.898628
recall	0.683074	0.680982	0.673631	0.675221	0.667758	0.677265	0.676522	0.685068	0.673558	0.672598	0.675413	0.671270	0.676716	0.678188	0.663518	0.670483	0.679622	0.680392	0.675006	0.678297	0.675729
precision	0.794965	0.801938	0.799152	0.797005	0.793184	0.789649	0.801678	0.807010	0.796812	0.811609	0.799406	0.802501	0.783329	0.797801	0.773768	0.786435	0.788681	0.800204	0.787573	0.794378	0.795354
f1score	0.720529	0.720045	0.712906	0.713748	0.706668	0.714308	0.716100	0.724749	0.712473	0.714055	0.714501	0.711571	0.712101	0.717080	0.698763	0.707451	0.716111	0.719379	0.711882	0.716166	0.714029
mcc	0.464760	0.467527	0.455816	0.456253	0.443549	0.453187	0.461532	0.476729	0.453935	0.463823	0.458343	0.455233	0.447521	0.460716	0.423160	0.441961	0.455427	0.465423	0.448674	0.458199	0.455588
srp	0.111511	0.106299	0.095041	0.099265	0.098113	0.108614	0.089147	0.105263	0.089888	0.071429	0.100358	0.089069	0.100775	0.095238	0.117871	0.097561	0.092937	0.093985	0.123711	0.082353	0.098421
sru	0.071598	0.070842	0.068501	0.070761	0.065075	0.070721	0.068737	0.071090	0.068356	0.067447	0.069463	0.065618	0.075599	0.067791	0.068775	0.070554	0.072651	0.069474	0.069670	0.071413	0.069707
fprp	0.026667	0.010417	0.031579	0.018605	0.029268	0.024876	0.024510	0.031674	0.018692	0.009756	0.036866	0.015385	0.020619	0.015957	0.039409	0.025773	0.037736	0.014286	0.057018	0.019512	0.025430
fpru	0.027357	0.026062	0.024891	0.026458	0.024687	0.027792	0.024779	0.024865	0.025565	0.022724	0.025135	0.023688	0.030650	0.025484	0.029095	0.027867	0.028223	0.025759	0.026989	0.027079	0.026258
tprp	0.471698	0.403226	0.326923	0.403509	0.333333	0.363636	0.333333	0.359375	0.377358	0.278689	0.322581	0.365385	0.343750	0.328125	0.383333	0.365385	0.298246	0.392857	0.365079	0.340000	0.357791
tpru	0.389658	0.386775	0.374437	0.375333	0.361842	0.383396	0.380000	0.397273	0.372263	0.372359	0.379279	0.366055	0.386121	0.384909	0.354898	0.368941	0.392428	0.385900	0.378605	0.385455	0.378796
spd	0.039913	0.035457	0.026540	0.028504	0.033038	0.037894	0.020411	0.034173	0.021532	0.003981	0.030895	0.023451	0.025176	0.027447	0.049095	0.027007	0.020285	0.024511	0.054041	0.010940	0.028715
aod	0.040675	0.000402	0.020413	0.010161	0.011964	0.011338	0.023468	0.015544	0.000889	0.053319	0.022484	0.004487	0.026201	0.033156	0.019374	0.002825	0.042335	0.002258	0.008252	0.026511	0.018803
eod	0.082040	0.016450	0.047514	0.028176	0.028509	0.019759	0.046667	0.037898	0.005096	0.093671	0.056699	0.000670	0.042371	0.056784	0.028435	0.003556	0.094183	0.006957	0.013525	0.045455	0.037721
