accuracy	0.639114	0.677472	0.646137	0.653160	0.659643	0.650459	0.646677	0.652080	0.679092	0.652620	0.687736	0.664506	0.665586	0.674770	0.669908	0.652080	0.660184	0.663965	0.656942	0.658563	0.660535
recall	0.632335	0.670405	0.636110	0.643028	0.650388	0.643493	0.636086	0.640941	0.669567	0.646656	0.676240	0.655083	0.657031	0.664334	0.659722	0.642097	0.650657	0.655338	0.649986	0.651429	0.651546
precision	0.639776	0.682578	0.641820	0.653405	0.660289	0.648903	0.645972	0.644162	0.679896	0.648549	0.687959	0.663623	0.662116	0.671126	0.667244	0.652975	0.660618	0.661029	0.658748	0.658119	0.659445
f1score	0.630847	0.668890	0.636460	0.641987	0.649625	0.643424	0.635006	0.641839	0.669646	0.647173	0.676899	0.655079	0.657755	0.665323	0.660382	0.640730	0.649982	0.655922	0.648790	0.651196	0.651348
mcc	0.272009	0.352774	0.277871	0.296251	0.310519	0.292347	0.281885	0.285086	0.349310	0.295199	0.364010	0.318591	0.319106	0.335392	0.326879	0.294871	0.311116	0.316316	0.308609	0.309475	0.310881
srp	0.611268	0.642857	0.625683	0.674221	0.638728	0.602857	0.662050	0.608815	0.725989	0.562162	0.653179	0.640541	0.652299	0.661111	0.666667	0.650430	0.610619	0.621083	0.646724	0.633634	0.639546
sru	0.620989	0.629580	0.608754	0.626836	0.627907	0.602265	0.630201	0.598790	0.603206	0.577988	0.629236	0.617151	0.589488	0.601610	0.604082	0.635819	0.634921	0.601333	0.615333	0.603426	0.612946
fprp	0.492063	0.440678	0.511811	0.525424	0.365217	0.447154	0.487603	0.467213	0.552632	0.396825	0.483333	0.472000	0.491525	0.480000	0.507692	0.560000	0.393701	0.452991	0.471545	0.471074	0.473524
fpru	0.476447	0.453581	0.453125	0.474044	0.483740	0.448087	0.488981	0.435746	0.425648	0.416667	0.432773	0.450000	0.418182	0.422031	0.428775	0.472527	0.480663	0.431944	0.460403	0.442334	0.449785
tprp	0.676856	0.745690	0.686192	0.748936	0.774892	0.687225	0.750000	0.680498	0.808333	0.647541	0.743363	0.726531	0.734783	0.757447	0.749004	0.700893	0.740566	0.705128	0.741228	0.726415	0.726576
tpru	0.763612	0.807229	0.749040	0.772846	0.766623	0.749025	0.764398	0.734895	0.773560	0.725744	0.806574	0.775296	0.744924	0.760101	0.764323	0.789406	0.776650	0.757692	0.768212	0.755442	0.765280
spd	0.009722	0.013277	0.016929	0.047385	0.010821	0.000592	0.031849	0.010025	0.122782	0.015826	0.023943	0.023390	0.062811	0.059501	0.062585	0.014611	0.024301	0.019749	0.031390	0.030208	0.031585
aod	0.035570	0.037221	0.002081	0.013735	0.055127	0.031366	0.007888	0.011465	0.080878	0.049022	0.006325	0.013383	0.031601	0.027657	0.031799	0.000520	0.061523	0.015759	0.007921	0.000143	0.026049
eod	0.086756	0.061539	0.062847	0.023910	0.008269	0.061800	0.014398	0.054397	0.034773	0.078203	0.063211	0.048765	0.010141	0.002654	0.015319	0.088513	0.036084	0.052564	0.026984	0.029027	0.043008
